zbroj	zbroj	Ncmsn
vrijednosti	vrijednost	Ncfsg
tih	taj	Pd-npg
ulaganja	ulaganje	Ncnpg
za	za	Sa
sve	sav	Agpmpay
takve	takav	Pd-mpa
izdavatelje	izdavatelj	Ncmpa
ne	ne	Qz
smije	smjeti	Vmr3s
prijeći	prijeći	Vmn
40	40	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg

2.	2.	Mdo
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sa
depozite	depozit	Ncmpa
kod	kod	Sg
jedne	jedan	Agpmpay
te	te	Cc
iste	isti	Agpfsgy
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
uzima	uzimati	Vmr3s
i	i	Qo
novac	novac	Ncmsan
na	na	Sl
računima	račun	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
izloženost	izloženost	Ncfsn
fonda	fond	Ncmsg
riziku	rizik	Ncmsd
druge	drugi	Agpfsgy
ugovorne	ugovoran	Agpfsgy
strane	strana	Ncfsg
kod	kod	Sg
transakcija	transakcija	Ncfpg
s	sa	Si
OTC	o	Agpfpiy
izvedenicama	izvedenica	Ncfpi
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veća	velik	Agcfsny
od	od	Sg
:	:	Z

a	a	Cc
)	)	Z
10	10	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
druga	drugi	Mlofsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc

b	b	Npmsn
)	)	Z
5	5	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
druga	drugi	Mlofsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
neka	neki	Pi-fsn
druga	drugi	Mlofsn
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
podtočke	podtočka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
ograničenje	ograničenje	Ncnsa
od	od	Sg
40	40	Mdc
%	%	Z
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
