VI	VI	Mrc
.	.	Z

NAMETNIČKE	nametnički	Agpfpny
BOLESTI	bolest	Ncfpn
DIVLJIH	divlji	Agpfpgy
ŽIVOTINJA	životinja	Ncfpg

1.	1.	Mdo
Ehinokokoza	ehinokokoza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
nalaza	nalaz	Ncmsg
patoanatomskih	patoanatomski	Agpfpgy
promjena	promjena	Ncfpg
koje	koji	Pi-fpn
upućuju	upućivati	Vmr3p
na	na	Sa
ehinokokozu	ehinokokoza	Ncfsa
u	u	Sl
objektu	objekt	Ncmsl
za	za	Sa
obradu	obrada	Ncfsa
i	i	Cc
rasijecanje	rasijecanje	Ncnsa
divljači	divljač	Ncfsg
,	,	Z
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
promijenjene	promijeniti	Agpmpay
parenhimske	parenhimski	Agpmpay
organe	organ	Ncmpa
(	(	Z
pluća	pluća	Ncnpg
,	,	Z
jetra	jetra	Ncfsn
)	)	Z
radi	radi	Sg
parazitološke	parazitološki	Agpfsgy
pretrage	pretraga	Ncfsg
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
u	u	Sl
objektu	objekt	Ncmsl
za	za	Sa
obradu	obrada	Ncfsa
i	i	Cc
rasijecanje	rasijecanje	Ncnsa
divljači	divljač	Ncfsg
mora	morati	Vmr3s
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
svakom	svaki	Pi-msl
utvrđenom	utvrditi	Agpmsly
slučaju	slučaj	Ncmsl
ehinokokoze	ehinokokoza	Ncfsg
divljih	divlji	Agpfpgy
životinja	životinja	Ncfpg
te	te	Cc
o	o	Sl
nalazu	nalaz	Ncmsl
izvijestiti	izvijestiti	Vmn
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
iz	iz	Sg
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
o	o	Sl
istome	isti	Ncmsl
mora	morati	Vmr3s
izvijestiti	izvijestiti	Vmn
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
u	u	Sl
