njegov	njegov	Ps3msan
položaj	položaj	Ncmsan
unutar	unutar	Sg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
.	.	Z

Za	za	Sa
tipove	tip	Ncmpa
linkova	link	Ncmpg
0	0	Mdc
i	i	Cc
1	1	Mdc
,	,	Z
prvi	prvi	Mlomsn
link	link	Ncmsn
koji	koji	Pi-msn
počinje	počinjati	Vmr3s
u	u	Sl
ishodištu	ishodište	Ncnsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
ima	imati	Vmr3s
redni	redni	Agpmsayn
broj	broj	Ncmsan
1.	1.	Mdo
Slijedeći	slijediti	Agpmsny
link	link	Ncmsn
ima	imati	Vmr3s
redni	redni	Agpmsayn
broj	broj	Ncmsan
2	2	Mdc
,	,	Z
te	te	Cc
svaki	svaki	Pi-msn
slijedeći	slijediti	Rr
dobiva	dobivati	Vmr3s
broj	broj	Ncmsan
»	»	Z
prethodni	prethodan	Agpmsny
+1	+1	Ncmsn
«	«	Z
sve	sve	Qo
do	do	Sg
zadnjeg	zadnji	Agpmsgy
linka	link	Ncmsg
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
.	.	Z

Za	za	Sa
linkove	link	Ncmpa
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
predviđeni	predvidjeti	Appmpny
su	biti	Var3p
redni	redni	Agpmpny
brojevi	broj	Ncmpn
od	od	Sg
1	1	Mdc
do	do	Sg
500.	500.	Mdo

Redni	redni	Agpmpny
brojevi	broj	Ncmpn
linkova	link	Ncmpg
tipa	tip	Ncmsg
2	2	Mdc
rastu	rasti	Vmr3p
u	u	Sl
smjeru	smjer	Ncmsl
obrnutom	obrnuti	Appmsly
od	od	Sg
smjera	smjer	Ncmsg
glavnog	glavni	Agpmsgy
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
,	,	Z
tj.	tj.	Y
u	u	Sl
smjeru	smjer	Ncmsl
rasta	rast	Ncmsg
njihove	njihov	Ps3fsg
stacionaže	stacionaža	Ncfsg
.	.	Z

Za	za	Sa
linkove	link	Ncmpa
tipa	tip	Ncmsg
2	2	Mdc
predviđeni	predvidjeti	Appmpny
su	biti	Var3p
redni	redni	Agpmpny
brojevi	broj	Ncmpn
od	od	Sg
501	501	Mdc
na	na	Sa
više	mnogo	Rgc
.	.	Z

Zbog	zbog	Sg
nekontinuiranog	nekontinuiran	Agpnsgy
pojavljivanja	pojavljivanje	Ncnsg
u	u	Sl
glavnom	glavni	Agpmsly
cestovnom	cestovan	Agpmsly
pravcu	pravac	Ncmsl
,	,	Z
svako	svaki	Pi-nsn
novo	nov	Agpnsay
grananje	grananje	Ncnsa
,	,	Z
tj.	tj.	Y
odvajanje	odvajanje	Ncnsa
od	od	Sg
glavnog	glavni	Agpmsgy
pravca	pravac	Ncmsg
počinje	počinjati	Vmr3s
sa	sa	Si
skokom	skok	Ncmsi
od	od	Sg
50	50	Mdc
(	(	Z
551	551	Mdc
,	,	Z
601	601	Mdc
,	,	Z
651	651	Mdc
…	…	Z
)	)	Z
.	.	Z

Linkovi	link	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
ne	ne	Qz
nalaze	nalaziti	Vmr3p
u	u	Sl
