evidenciju	evidencija	Ncfsa
zahtjeva	zahtjev	Ncmpg
.	.	Z

Članak	članak	Ncmsn
78.	78.	Mdo

Matična	matičan	Agpfsny
knjiga	knjiga	Ncfsn
sadrži	sadržati	Vmr3s
:	:	Z

1.	1.	Mdo
opće	opći	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
pružatelju	pružatelj	Ncmsl
usluga	usluga	Ncfpg
i	i	Cc
matičnoj	matičan	Agpfsly
knjizi	knjiga	Ncfsl
(	(	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsn
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
i	i	Cc
podružnice	podružnica	Ncfpa
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
,	,	Z
redni	redni	Agpmsny
broj	broj	Ncmsn
matične	matičan	Agpfsgy
knjige	knjiga	Ncfsg
,	,	Z
podatak	podatak	Ncmsn
o	o	Sl
matičnim	matičan	Agpmply
brojevima	broj	Ncmpl
i	i	Cc
razdoblju	razdoblje	Ncnsl
koje	koji	Pi-mpa
knjiga	knjiga	Ncfpg
obuhvaća	obuhvaćati	Vmr3s
,	,	Z
te	te	Cc
osobno	osoban	Agpnsay
ime	ime	Ncnsa
i	i	Cc
potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
u	u	Sa
vrijeme	vrijeme	Ncnsa
početka	početak	Ncmsg
vođenja	vođenje	Ncnsg
knjige	knjiga	Ncfsg
i	i	Cc
u	u	Sa
vrijeme	vrijeme	Ncnsa
završetka	završetak	Ncmsg
vođenja	vođenje	Ncnsg
knjige	knjiga	Ncfsg
)	)	Z

2.	2.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

3.	3.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
,	,	Z
ime	ime	Ncnsa
oca	oac	Ncmsg
/	/	Z
majke	majka	Ncfsg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z

4.	4.	Mdo
datum	datum	Ncmsan
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
država	država	Ncfsn
rođenja	rođenje	Ncnsg
,	,	Z
državljanstvo	državljanstvo	Ncnsa
,	,	Z

5.	5.	Mdo
prebivalište	prebivalište	Ncnsa
/	/	Z
boravište	boravište	Ncnsn
,	,	Z

6.	6.	Mdo
stručnu	stručan	Agpfsay
spremu	sprema	Ncfsa
i	i	Cc
zvanje	zvanje	Ncnsa
za	za	Sa
odrasle	odrastao	Agpmpay
,	,	Z
za	za	Sa
djecu	dijete	Ncnpa
škola	škola	Ncfpg
i	i	Cc
razred	razred	Ncmsan
koji	koji	Pi-msn
pohađa	pohađati	Vmr3s
te	te	Cc
vrsta	vrsta	Ncfsn
programa	program	Ncmsg
,	,	Z

7.	7.	Mdo
bračno	bračni	Agpnsny
stanje	stanje	Ncnsn
,	,	Z
za	za	Sa
djecu	dijete	Ncnpa
podaci	podatak	Ncmpn
o	o	Sl
strukturi	struktura	Ncfsl
obitelji	obitelj	Ncfsg
(	(	Z
jednoroditeljska	jednoroditeljski	Agpfsny
obitelj	obitelj	Ncfsn
,	,	Z
obitelj	obitelj	Ncfsn
s	sa	Si
oba	oba	Ncnsg
roditelja	roditelj	Ncmsg
koji	koji	Pi-mpn
žive	živjeti	Vmr3p
u	u	Sl
zajednici	zajednica	Ncfsl
,	,	Z
obitelj	obitelj	Ncfsn
s	sa	Si
oba	oba	Ncnsg
roditelja	roditelj	Ncmsg
koji	koji	Pi-mpn
žive	živjeti	Vmr3p
odvojeno	odvojeno	Rgp
)	)	Z
,	,	Z

8.	8.	Mdo
vrstu	vrsta	Ncfsa
ovisnosti	ovisnost	Ncfsg
(	(	Z
alkohol	alkohol	Ncmsn
,	,	Z
droga	droga	Ncfsn
,	,	Z
kockanje	kockanje	Ncnsn
,	,	Z
drugi	drugi	Mlompn
oblici	oblik	Ncmpn
ovisnosti	ovisnost	Ncfsg
)	)	Z
,	,	Z

9.	9.	Mdo
pravni	pravni	Agpmsny
temelj	temelj	Ncmsn
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
(	(	Z
Zakon	zakon	Ncmsn
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
Obiteljski	obiteljski	Agpmsny
zakon	zakon	Ncmsn
,	,	Z
Zakon	zakon	Ncmsn
o	o	Sl
sudovima	sud	Ncmpl
za	za	Sa
mladež	mladež	Ncfsa
)	)	Z
,	,	Z

10.	10.	Mdo
rješenje	rješenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
skrbništvu	skrbništvo	Ncnsl
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z

11.	11.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
skrbniku	skrbnik	Ncmsl
(	(	Z
osobno	osoban	Agpnsny
ime	ime	Ncnsn
,	,	Z
prebivalište	prebivalište	Ncnsa
/	/	Z
boravište	boravište	Ncnsn
,	,	Z
srodstvo	srodstvo	Ncnsn
)	)	Z
,	,	Z

12.	12.	Mdo
rješenje	rješenje	Ncnsa
nadležnog	nadležan	Agpmsgy
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
priznavanju	priznavanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
uslugu	usluga	Ncfsa
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
ugovor	ugovor	Ncmsn
sklopljen	sklopiti	Appmsnn
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
,	,	Z

13.	13.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
stručnom	stručan	Agpmsly
radniku	radnik	Ncmsl
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
zaduženom	zadužen	Agpnsly
za	za	Sa
korisnika	korisnik	Ncmpg
(	(	Z
osobno	osoban	Agpnsay
ime	ime	Ncnsa
)	)	Z
,	,	Z

14.	14.	Mdo
vrstu	vrsta	Ncfsa
usluge	usluga	Ncfsg
/	/	Z
a	a	Cc
,	,	Z

15.	15.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

16.	16.	Mdo
datum	datum	Ncmsan
prestanka	prestanak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

17.	17.	Mdo
razlog	razlog	Ncmsn
prestanka	prestanak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
.	.	Z

Članak	članak	Ncmsn
79.	79.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
pomoćnu	pomoćan	Agpfsay
knjigu	knjiga	Ncfsa
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
abecednim	abecedni	Agpmsiy
redom	red	Ncmsi
osobno	osoban	Agpnsay
ime	ime	Ncnsa
svakog	svaki	Pi-msg
