ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
79.	79.	Mdo

Osnovicu	osnovica	Ncfsa
za	za	Sa
obračun	obračun	Ncmsan
naknade	naknada	Ncfsg
zbog	zbog	Sg
bolovanja	bolovanje	Ncnsg
čini	činiti	Vmr3s
plaća	plaća	Ncfsn
isplaćena	isplatiti	Appfsny
radniku	radnik	Ncmsd
u	u	Sa
prethodnih	prethodan	Agpmpgy
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
koji	koji	Pi-mpn
prethode	prethoditi	Vmr3p
nastupu	nastup	Ncfsa
bolovanja	bolovanje	Ncnsg
.	.	Z

Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
bolovanja	bolovanje	Ncnsg
i	i	Cc
liječenja	liječenje	Ncnsg
do	do	Sg
42	42	Mdc
dana	dan	Ncmpg
(	(	Z
na	na	Sa
teret	teret	Ncmsan
poslodavca	poslodavac	Ncmsg
)	)	Z
,	,	Z
koju	koji	Pi-fsa
obračunava	obračunavati	Vmr3s
i	i	Cc
isplaćuje	isplaćivati	Vmr3s
poslodavac	poslodavac	Ncmsn
iznosi	iznositi	Vmr3s
:	:	Z

•	•	Z
85	85	Mdc
%	%	Z
od	od	Sg
osnovice	osnovica	Ncfsg
–	–	Z
za	za	Sa
naknadu	naknada	Ncfsa
zbog	zbog	Sg
bolesti	bolest	Ncfsg
ili	ili	Cc
povrede	povreda	Ncfsg
izvan	izvan	Sg
rada	rad	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
drugim	drugi	Agpmsiy
Zakonom	zakon	Ncmsi
propisanim	propisati	Agpmpiy
slučajevima	slučaj	Ncmpi
.	.	Z

Članak	članak	Ncmsn
80.	80.	Mdo

Radniku	radnik	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
doživio	doživjeti	Vmp-sm
povredu	povreda	Ncfsa
na	na	Sl
radu	rad	Ncmsl
pripada	pripadati	Vmr3s
naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
100	100	Mdc
%	%	Z
od	od	Sg
osnovice	osnovica	Ncfsg
.	.	Z

Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
do	do	Sg
isteka	istek	Ncmsg
18	18	Mdc
mjeseci	mjesec	Ncmpg
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
teret	teret	Ncmsan
sredstava	sredstvo	Ncnpg
HZZO-a	HZZO	Npmsg
,	,	Z
a	a	Cc
od	od	Sg
prvog	prvi	Mlomsg
slijedećeg	slijedeći	Agpmsgy
dana	dan	Ncmsg
nakon	nakon	Sg
isteka	istek	Ncmsg
18	18	Mdc
mjeseci	mjesec	Ncmpg
razlika	razlika	Ncfpg
do	do	Sg
100	100	Mdc
%	%	Z
od	od	Sg
osnovice	osnovica	Ncfsg
na	na	Sa
teret	teret	Ncmsan
poslodavca	poslodavac	Ncmsg
.	.	Z

Članak	članak	Ncmsn
81.	81.	Mdo

Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
koju	koji	Pi-fsa
radniku	radnik	Ncmsd
isplaćuje	isplaćivati	Vmr3s
poslodavac	poslodavac	Ncmsn
,	,	Z
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
zajedno	zajedno	Rgp
s	sa	Si
plaćom	plaća	Ncfsi
.	.	Z

Članak	članak	Ncmsn
82.	82.	Mdo

Ako	ako	Cs
radnik	radnik	Ncmsn
odbije	odbiti	Vmr3s
raditi	raditi	Vmn
zato	zato	Cs
što	što	Cs
nisu	biti	Var3p
provedene	provesti	Appfpny
propisane	propisati	Appfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
u	u	Sl
visini	visina	Ncfsl
kao	kao	Cs
da	da	Cs
je	biti	Var3s
radio	radio	Ncmsn
.	.	Z

Pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
radnik	radnik	Ncmsn
ostvaruje	ostvarivati	Vmr3s
sve	sav	Agpnsay
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
provedu	provesti	Vmr3p
propisane	propisati	Agpfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
.	.	Z

Rokovi	rok	Ncmpn
i	i	Cc
razdoblje	razdoblje	Ncnsa
isplate	isplata	Ncfsg
plaće	plaća	Ncfsg

Članak	članak	Ncmsn
83.	83.	Mdo

Plaća	plaća	Ncfsn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
svakog	svaki	Pi-msg
mjeseca	mjesec	Ncmsg
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

Rok	rok	Ncmsn
za	za	Sa
prispijeće	prispijeće	Ncnsa
sredstava	sredstvo	Ncnpg
za	za	Sa
plaću	plaća	Ncfsa
na	na	Sa
račun	račun	Ncmsan
radnika	radnik	Ncmpg
je	biti	Var3s
do	do	Sg
dvadesetog	dvadeseti	Mlomsg
u	u	Sl
tekućem	tekući	Agpmsly
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
kašnjenja	kašnjenje	Ncnsg
s	sa	Si
isplatom	isplata	Ncfsi
plaće	plaća	Ncfsg
poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
isplatiti	isplatiti	Vmn
radniku	radnik	Ncmsd
zakonske	zakonski	Agpfsgy
zatezne	zatezni	Agpfsgy
kamate	kamata	Ncfsg
.	.	Z

Članak	članak	Ncmsn
84.	84.	Mdo

Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
prigodom	prigoda	Ncfsi
isplate	isplata	Ncfsg
svake	svaki	Pi-fsg
plaće	plaća	Ncfsg
,	,	Z
naknade	naknada	Ncfpa
plaće	plaća	Ncfsg
ili	ili	Cc
otpremnine	otpremnina	Ncfsg
uručiti	uručiti	Vmn
radniku	radnik	Ncmsl
pisani	pisan	Agpmsayn
obračun	obračun	Ncmsan
sa	sa	Si
svim	sav	Agpmpiy
elementima	element	Ncmpi
propisanim	propisati	Appmply
posebnim	poseban	Agpmsiy
pravilnikom	pravilnik	Ncmsi
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
rad	rad	Ncmsan
.	.	Z

X.	xi	Agpnpay
MATERIJALNA	materijalan	Agpnpay
PRAVA	pravo	Ncnpa
RADNIKA	radnik	Ncmpg

Dodatak	dodatak	Ncmsn
za	za	Sa
godišnji	godišnji	Agpmsayn
odmor	odmor	Ncmsan

Članak	članak	Ncmsn
85.	85.	Mdo

Radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
dodatak	dodatak	Ncmsan
za	za	Sa
godišnji	godišnji	Agpmsayn
odmor	odmor	Ncmsan
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
2.500,00	2.500,00	Mdc
kn	KN	Ncmsan
neto	neto	Rgp
po	po	Sl
radniku	radnik	Ncmsl
.	.	Z

Dodatak	dodatak	Ncmsn
za	za	Sa
godišnji	godišnji	Agpmsayn
odmor	odmor	Ncmsan
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
lipnju	lipanj	Ncmsl
s	sa	Si
plaćom	plaća	Ncfsi
za	za	Sa
svibanj	svibanj	Ncmsan
i	i	Cc
nije	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
plaće	plaća	Ncfsg
.	.	Z

Radnik	radnik	Ncmsn
koji	koji	Pi-msn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
razmjerni	razmjeran	Agpmsayn
dio	dio	Ncmsan
godišnjeg	godišnji	Agpmsgy
odmora	odmor	Ncmsg
,	,	Z
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
cjelokupni	cjelokupan	Agpmsayn
iznos	iznos	Ncmsan
dodatka	dodatak	Ncmsg
za	za	Sa
godišnji	godišnji	Agpmsayn
odmor	odmor	Ncmsan
iz	iz	Sg
1.	1.	Mdo
stavka	stavak	Ncmsg
,	,	Z
već	već	Rgp
na	na	Sa
njegov	njegov	Ps3msan
razmjerni	razmjeran	Agpmsayn
dio	dio	Ncmsan
,	,	Z
a	a	Cc
koji	koji	Pi-msn
se	sebe	Px--sa
izračunava	izračunavati	Vmr3s
na	na	Sa
isti	isti	Agpmsayn
način	način	Ncmsan
kao	kao	Cs
i	i	Cc
razmjerno	razmjeran	Agpnsny
trajanje	trajanje	Ncnsn
godišnjeg	godišnji	Agpmsgy
odmora	odmor	Ncmsg
.	.	Z

Članak	članak	Ncmsn
86.	86.	Mdo

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
radnicima	radnik	Ncmpd
za	za	Sa
Uskrs	Uskrs	Npmsan
isplatiti	isplatiti	Vmn
u	u	Sl
naravi	narav	Ncfsl
iznos	iznos	Ncmsn
od	od	Sg
400,00	400,00	Mdc
kuna	kuna	Ncfpg
neto	neto	Agpfsny
po	po	Sl
radniku	radnik	Ncmsl
.	.	Z

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
radnicima	radnik	Ncmpd
povodom	povod	Sg
Božića	Božić	Npmsg
isplatiti	isplatiti	Vmn
1.200,00	1.200,00	Mdc
kn	KN	Ncmsan
neto	neto	Agpnsny
po	po	Sl
radniku	radnik	Ncmsl
.	.	Z

Isplata	isplata	Ncfsn
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
prosincu	prosinac	Ncmsl
s	sa	Si
plaćom	plaća	Ncfsi
za	za	Sa
studeni	studeni	Ncmsan
i	i	Cc
sastavni	sastavan	Agpmsny
je	biti	Var3s
dio	dio	Ncmsn
plaće	plaća	Ncfsg
.	.	Z

Naknada	naknada	Ncfsn
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg

Članak	članak	Ncmsn
87.	87.	Mdo

Radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
na	na	Sa
posao	posao	Ncmsan
i	i	Cc
s	sa	Sg
posla	posao	Ncmsg
za	za	Sa
udaljenost	udaljenost	Ncfsa
do	do	Sg
50	50	Mdc
km	km	Y
u	u	Sl
jednom	jedan	Mlcmsl
smjeru	smjer	Ncmsl
u	u	Sl
visini	visina	Ncfsl
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
javnim	javan	Agpmsiy
,	,	Z
odnosno	odnosno	Rgp
gradskim	gradski	Agpmsiy
prometom	promet	Ncmsi
u	u	Sl
visini	visina	Ncfsl
cijene	cijena	Ncfsg
one	onaj	Pd-fsg
vrste	vrsta	Ncfsg
prijevoza	prijevoz	Ncmsg
koja	koji	Pi-fsn
je	biti	Var3s
najpovoljnija	povoljan	Agsfsny
za	za	Sa
poslodavca	poslodavac	Ncmsay
.	.	Z

Radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
stvarnih	stvaran	Agpmpgy
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
za	za	Sa
odlazak	odlazak	Ncmsan
na	na	Sa
intervenciju	intervencija	Ncfsa
dok	dok	Cs
je	biti	Var3s
u	u	Sl
pogonskoj	pogonski	Agpfsly
pripravnosti	pripravnost	Ncfsl
,	,	Z
a	a	Cc
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
isplati	isplata	Ncfsl
naknade	naknada	Ncfsg
odlučuje	odlučivati	Vmr3s
direktor	direktor	Ncmsn
organizacijske	organizacijski	Agpfsgy
jedinice	jedinica	Ncfsg
(	(	Z
radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
iz	iz	Sg
ovog	ovaj	Pd-msg
stavka	stavak	Ncmsg
i	i	Cc
u	u	Sl
mjesecu	mjesec	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
ne	ne	Qz
isplaćuje	isplaćivati	Vmr3s
naknada	naknada	Ncfsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
)	)	Z
.	.	Z

Radnik	radnik	Ncmsn
svoje	svoj	Px-nsa
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
dokazuje	dokazivati	Vmr3s
ispravom	isprava	Ncfsi
o	o	Sl
prebivalištu	prebivalište	Ncnsl
/	/	Z
uobičajenom	uobičajen	Agpnsly
boravištu	boravište	Ncnsl
,	,	Z
uz	uz	Sa
predočenje	predočenje	Ncnsa
mjesečne	mjesečan	Agpfsgy
karte	karta	Ncfsg
ili	ili	Cc
potvrde	potvrda	Ncfpa
o	o	Sl
cijeni	cijena	Ncfsl
mjesečne	mjesečan	Agpfsgy
karte	karta	Ncfsg
,	,	Z
ovjerene	ovjeriti	Appfpny
žigom	žig	Ncmsi
i	i	Cc
potpisom	potpis	Ncmsi
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
prijevoznika	prijevoznik	Ncmpg
.	.	Z

Ako	ako	Cs
na	na	Sl
određenom	određen	Agpnsly
području	područje	Ncnsl
odnosno	odnosno	Rgp
udaljenosti	udaljenost	Ncfsg
nema	nemati	Vmr3s
organiziranog	organiziran	Agpmsgy
prijevoza	prijevoz	Ncmsg
,	,	Z
naknada	naknada	Ncfsn
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
na	na	Sa
