aktivnosti	aktivnost	Ncfpa
vektora	vektor	Ncmpg
BPJ	BPJ	Npfsg
(	(	Z
travanj	travanj	Ncmsn
–	–	Z
prosinac	prosinac	Ncmsn
)	)	Z
,	,	Z
a	a	Cc
naročito	naročito	Rgp
tijekom	tijekom	Sg
rujna	rujan	Ncmsg
i	i	Cc
listopada	listopad	Ncmsg
,	,	Z
kada	kada	Cs
je	biti	Var3s
aktivnost	aktivnost	Ncfsn
vektora	vektor	Ncmsg
BPJ	BPJ	Npmsn
najveća	velik	Agsfsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Radi	radi	Sg
otkrivanja	otkrivanje	Ncnsg
prisutnosti	prisutnost	Ncfsg
virusa	virus	Ncmpg
uzročnika	uzročnik	Ncmpg
bolesti	bolest	Ncfsg
plavog	plav	Agpmsgy
jezika	jezik	Ncmsg
,	,	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
provedba	provedba	Ncfsn
Programa	program	Ncmsg
nadziranja	nadziranje	Ncnsg
bolesti	bolest	Ncfsg
plavog	plav	Agpmsgy
jezika	jezik	Ncmsg
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1918	01/1918	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0244	10/0244	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
proširenosti	proširenost	Ncfsg
vektora	vektor	Ncmpg
,	,	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
provedba	provedba	Ncfsn
Programa	program	Ncmsg
entomološkog	entomološki	Agpnsgy
istraživanja	istraživanje	Ncnsg
populacije	populacija	Ncfsg
vektora	vektor	Ncmsg
virusa	virus	Ncmpg
bolesti	bolest	Ncfsg
plavog	plav	Agpmsgy
jezika	jezik	Ncmsg
,	,	Z
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1919	01/1919	Mdc
;	;	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

14.	14.	Mdo

Q-groznica	q-groznica	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
otkrivanja	otkrivanje	Ncnsg
Q-groznice	q-groznica	Ncfsg
,	,	Z
svaki	svaki	Pi-msn
pobačaj	pobačaj	Ncmsn
krave	krava	Ncfsg
,	,	Z
ovce	ovca	Ncfpn
i	i	Cc
koze	koza	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
prijavljen	prijaviti	Appmsnn
veterinaru	veterinar	Ncmsd
.	.	Z

Od	od	Sg
životinje	životinja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
mora	morati	Vmr3s
uzeti	uzeti	Vmn
uzorke	uzorak	Ncmpa
,	,	Z
te	te	Cc
iste	isti	Agpfpay
dostaviti	dostaviti	Vmn
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
radi	radi	Sg
pretrage	pretraga	Ncfsg
na	na	Sa
Q-groznicu	q-groznica	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

15.	15.	Mdo

Genitalna	genitalni	Agpfsny
kampilobakterioza	kampilobakterioza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
otkivanja	otkivanje	Ncnsg
genitalne	genitalni	Agpfsgy
kampilobakterioze	kampilobakterioza	Ncfsg
,	,	Z
svaki	svaki	Pi-msn
pobačaj	pobačaj	Ncmsn
goveda	govedo	Ncnsg
,	,	Z
ovaca	ovca	Ncfpg
i	i	Cc
koza	koza	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
