zabilježena	zabilježiti	Appfsny
su	biti	Var3p
daljnja	daljnji	Agpnpny
negativna	negativan	Agpnpny
kretanja	kretanje	Ncnpn
.	.	Z

(...)	(...)	Ncfsn

U	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
,	,	Z
nameće	nametati	Vmr3s
se	sebe	Px--sa
i	i	Cc
nužnost	nužnost	Ncfsn
preispitivanja	preispitivanje	Ncnsg
troškova	trošak	Ncmpg
rada	rad	Ncmsg
u	u	Sl
državnoj	državni	Agpfsly
službi	služba	Ncfsl
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
.	.	Z

Da	da	Cs
bi	biti	Vaa3s
javna	javan	Agpfsny
vlast	vlast	Ncfsn
u	u	Sl
promijenjenim	promijeniti	Ncmsl
gospodarskim	gospodarski	Agpmply
i	i	Cc
socijalnim	socijalan	Agpfply
okolnostima	okolnost	Ncfpl
djelotvorno	djelotvorno	Rgp
zaštitila	zaštititi	Vmp-sf
dobrobiti	dobrobit	Ncfpa
pojedinaca	pojedinac	Ncmpg
i	i	Cc
same	sam	Agpfsgy
društvene	društven	Agpfsgy
zajednice	zajednica	Ncfsg
,	,	Z
osiguravajući	osiguravajući	Agpmsny
pri	pri	Sl
tome	taj	Pd-nsl
ostvarenje	ostvarenje	Ncnsa
navedenih	naveden	Agpfpgy
temeljnih	temeljan	Agpfpgy
vrednota	vrednota	Ncfpg
,	,	Z
njezina	njezin	Ps3fsn
ustavna	ustavan	Agpfsny
ovlast	ovlast	Ncfsn
i	i	Cc
dužnost	dužnost	Ncfsn
je	biti	Var3s
prilagoditi	prilagoditi	Vmn
zakonsko	zakonski	Agpnsay
uređenje	uređenje	Ncnsa
tim	taj	Pd-fpi
novim	nov	Agpfpiy
prilikama	prilika	Ncfpi
,	,	Z
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
i	i	Cc
redefiniranje	redefiniranje	Ncnsa
određenih	određen	Agpnpgy
prava	pravo	Ncnpg
.	.	Z

U	u	Sl
ovom	ovaj	Pd-msl
trenutku	trenutak	Ncmsl
se	sebe	Px--sa
na	na	Sl
području	područje	Ncnsl
rada	rad	Ncmsg
državnih	državni	Agpfpgy
i	i	Cc
javnih	javan	Agpfpgy
službi	služba	Ncfpg
primjenjuje	primjenjivati	Vmr3s
niz	niz	Ncmsan
kolektivnih	kolektivan	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
sporazuma	sporazum	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
ugovora	ugovor	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
zaključivani	zaključivati	Appmpny
u	u	Sa
vrijeme	vrijeme	Ncnsa
boljeg	dobar	Agpnsgy
gospodarskog	gospodarski	Agpnsgy
stanja	stanje	Ncnsg
,	,	Z
rasta	rast	Ncmsg
plaća	plaća	Ncfpg
i	i	Cc
drugih	drugi	Mlonpg
materijalnih	materijalan	Agpnpgy
prava	pravo	Ncnpg
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
u	u	Sa
vrijeme	vrijeme	Ncnsa
recesije	recesija	Ncfsg
i	i	Cc
nužnih	nužan	Agpfpgy
mjera	mjera	Ncfpg
štednje	štednja	Ncfsg
,	,	Z
više	mnogo	Rgc
nije	biti	Var3s
moguće	moguć	Agpnsny
u	u	Sl
potpunosti	potpunost	Ncfsl
poštivati	poštivati	Vmn
.	.	Z

Zbog	zbog	Sg
održanja	održanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
stabilnosti	stabilnost	Ncfsg
troškova	trošak	Ncmpg
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
uočeni	uočiti	Agpmsny
problem	problem	Ncmsn
nedostataka	nedostatak	Ncmpg
sredstava	sredstvo	Ncnpg
za	za	Sa
poštivanje	poštivanje	Ncnsa
ugovorenih	ugovoriti	Agpnpgy
materijalnih	materijalan	Agpnpgy
prava	pravo	Ncnpg
,	,	Z
moguće	moguć	Agpnpny
je	biti	Var3s
riješiti	riješiti	Vmn
ili	ili	Cc
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
privremeno	privremeno	Rgp
ograniče	ograničiti	Vmr3p
neka	neka	Qo
od	od	Sg
tih	taj	Pd-fpg
ugovorenih	ugovoriti	Agpnpgy
prava	pravo	Ncnpg
ili	ili	Cc
da	da	Cs
se	sebe	Px--sa
smanjenjem	smanjenje	Ncnsi
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
smanje	smanjiti	Vmr3p
ukupni	ukupan	Agpmpny
troškovi	trošak	Ncmpn
zaposlenih	zaposlen	Agpmpgy
.	.	Z

Zbog	zbog	Sg
održavanja	održavanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
održivosti	održivost	Ncfsg
sustava	sustav	Ncmsg
državnih	državni	Agpmpgy
i	i	Cc
javnih	javan	Agpfpgy
službi	služba	Ncfpg
,	,	Z
koji	koji	Pi-msn
bi	biti	Vaa3s
ujedno	ujedno	Rgp
omogućio	omogućiti	Vmp-sm
održavanje	održavanje	Ncnsa
postojeće	postojeći	Agpfsgy
razine	razina	Ncfsg
zaposlenosti	zaposlenost	Ncfsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
smanjiti	smanjiti	Vmn
ukupna	ukupan	Agpnpay
sredstva	sredstvo	Ncnpa
troškova	trošak	Ncmpg
rada	rad	Ncmsg
.	.	Z

Obzirom	obzir	Ncmsi
da	da	Cs
su	biti	Var3p
neka	neki	Pi-npn
materijalna	materijalan	Agpnpny
prava	pravo	Ncnpn
i	i	Cc
uvećanja	uvećanje	Ncnsg
plaća	plaća	Ncfpg
u	u	Sl
državnim	državni	Agpfply
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
ugovorena	ugovoriti	Appnpny
nizom	niz	Ncmsi
kolektivnih	kolektivan	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
od	od	Sg
kojih	koji	Pi-mpg
su	biti	Var3p
neki	neki	Pi-mpn
i	i	Qo
otkazani	otkazati	Appmpny
,	,	Z
a	a	Cc
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
još	još	Rgp
u	u	Sl
otkaznom	otkazni	Agpmsly
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
,	,	Z
uvažavajući	uvažavati	Rr
okolnost	okolnost	Ncfsa
da	da	Cs
se	sebe	Px--sa
materijalna	materijalan	Agpnpay
prava	pravo	Ncnpa
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnim	državni	Agpmply
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
financiraju	financirati	Vmr3p
u	u	Sl
pravilu	pravilo	Ncnsl
od	od	Sg
istovjetnih	istovjetan	Agpfpgy
