med	med	Ncmsn
.	.	Z
dent	dent	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

DODATAK	dodatak	Ncmsn

PRILOG	prilog	Ncmsn
III	III	Mrc
.	.	Z

POPIS	popis	Ncmsn
PSIHOTROPNIH	psihotropni	Agpfpgy
TVARI	tvar	Ncfpg
ZA	za	Sa
KOJE	koji	Pi-fpa
SE	sebe	Px--sa
NE	ne	Qz
VODE	voditi	Vmr3p
OČEVIDNICI	očevidnik	Ncmpn
O	o	Sl
DROGAMA	droga	Ncfpl
I	i	Cc
PSIHOTROPNIM	psihotropni	Agpfply
TVARIMA	tvar	Ncfpl

Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
(	(	Z
hrvatski	hrvatski	Agpmsny
)	)	Z
Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
(	(	Z
međunarodno	međunarodni	Agpnsny
nezaštićeno	nezaštićen	Agpnsny
ime	ime	Ncnsn
)	)	Z
Psihotropna	psihotropni	Agpfsny
tvar	tvar	Ncfsn
(	(	Z
kemijsko	kemijski	Agpnsny
ime	ime	Ncnsn
,	,	Z
hrvatski	hrvatski	Agpmsny
)	)	Z
alprazolam	alprazolam	Ncmsan
Alprazolam	Alprazolam	Npmsn
8-klor	8-klor	Npmsn
-1-metil	-1-metil	Npmsn
-6-fenil	-6-fenil	Npmsn
-4	-4	Npmsn
H-s-triazolo	H-s-triazolo	Npmsn
[	[	Z
4,3-a	4,3	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin	benzodiazepin	Ncmsn
bromazepam	bromazep	Ncmsi
Bromazepam	Bromazep	Npmsi
7-brom	7-br	Npmsi
-1,3-dihidro	-1,3-dihidro	Xf
-5	-5	Xf
-	-	Z
(	(	Z
2-piridil	2-piridil	Npmsn
)	)	Z
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
brotizolam	brotizol	Ncmsi
Brotizolam	Brotizol	Npmsi
2-brom	2-br	Npmsi
-4	-4	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-9-metil	-9-metii	Agpnsny
-6	-6	Ncnsn
H-tieno	h-tien	Agpnsny
[	[	Z
3,2-f	3,2-f	Npmsn
]	]	Z
-	-	Z
s-triazolo	s-triazoti	Vmp-sn
[	[	Z
4,3-a	4,3	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
diazepin	diazepin	Ncmsn
delorazepam	delorazepam	Xf
Delorazepam	Delorazepam	Xf
7-klor	7-klor	Xf
-5	-5	Xf
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-2	-2	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
diazepam	diazepam	Pp1-pd
Diazepam	Diazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npfsg
-2-one	-2-ona	Npfsg
estazolam	estazolam	Pp1-pd
Estazolam	Estazolam	Npmsn
8-klor	8-klor	Npmsn
-6-fenil	-6-fenil	Npmsn
-4	-4	Npmsn
H-s-triazolo	H-s-triazolo	Npmsn
[	[	Z
4,3-a	4,3	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin	benzodiazepin	Ncmsn
etil-loflazepat	etil-loflazepat	Xf
Ethyl	Ethyl	Xf
loflazepate	loflazepate	Xf
etil-7-klor-5	etil-7-klor-5	Xf
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-2,3-dihidro	-2,3-dihidr	Agpnsny
-2-okso	-2-okso	Ncnsn
-1	-1	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-3-karboksilat	-3-karboksilat	Npmsn
fludiazepam	fludiazepam	Pp1-pd
Fludiazepam	Fludiazepam	Npmsn
7-klor	7-klor	Npmsn
-5	-5	Npmsn
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-1-metil	-1-metil	Ncnsn
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
flurazepam	flurazepam	Pp1-pd
Flurazepam	Flurazepam	Npmsn
7-klor	7-klor	Npmsn
-1	-1	Mdc
-	-	Z
[	[	Z
2	2	Mdc
-	-	Z
(	(	Z
dietilamino	dietilamino	Ncmsn
)	)	Z
etil	etil	Ncmsan
]	]	Z
-5	-5	Mds
-	-	Z
(	(	Z
o-fluorofenil	o-fluorofenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-2	-2	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
halazepam	halazepam	Pp1-pd
Halazepam	Halazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
-	-	Z
(	(	Z
2,2,2-trifluoretil	2,2,2-trifluoretil	Npmsn
)	)	Z
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
haloksazolam	haloksazol	Ncmsi
Haloxazolam	Haloxazol	Npmsi
10-brom	10-br	Npmsi
-11	-11	Mdc
b	b	Y
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahidrooksazolo	b-tetrahidrooksazoti	Vmp-sn
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
on	on	Pp3msn
kamazepam	kamazepam	Agpmsny
Camazepam	Camazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-3-hidroksi	-3-hidroksi	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
-	-	Z
dimetilkarbamat	dimetilkarbamat	Ncmsn
(	(	Z
ester	ester	Xf
)	)	Z
ketazolam	ketazolam	Agpmsny
Ketazolam	ketazolam	Agpmsny
11-klor	11-klor	Ncmsn
-8,12	-8,12	Mdc
b-dihidro-2	b-dihidro-2	Mdm
,	,	Z
8-dimetil	8-dimetil	Npfsn
-12	-12	Npfsn
b-fenil-4H	b-fenil-4H	Npfsn
-	-	Z
[	[	Z
1,3	1,3	Mdc
]	]	Z
oksazino	oksazin	Agpnsny
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-4	benzodiazepin-i	Agpnsny
,	,	Z
7	7	Mdc
(	(	Z
6	6	Mdc
H	h	Y
)	)	Z
-	-	Z
dion	dion	Agpmsny
klobazam	klobazam	Agpmsny
Clobazam	Clobazam	Npmsn
7-klor	7-klor	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
H-1	H-1	Npmsn
,	,	Z
5-benzodiazepin	5-benzodiazepin	Npmsn
-2,4	-2,4	Mdc
(	(	Z
3	3	Mdc
H	h	Y
,	,	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
dion	dion	Xf
kloksazolam	kloksazolam	Xf
Cloxazolam	Cloxazolam	Xf
10-klor	10-klor	Xf
-11	-11	Xf
b	b	Xf
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahidrooksazolo	b-tetrahidrooksazol	Agpnsny
-	-	Z
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
on	on	Pp3msn
klonazepam	klonazepam	Agpmsny
Clonazepam	Clonazepam	Npmsn
5	5	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-7-nitro	-7-nitar	Agpnsny
-2	-2	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
klorazepat	klorazepat	Xf
Clorazepate	Clorazepate	Xf
7-klor	7-klor	Xf
-2,3-dihidro	-2,3-dihidro	Xf
-2-okso	-2-okso	Xf
-5-fenil	-5-fenil	Xf
-1	-1	Xf
H-1	H-1	Xf
,	,	Z
4-benzodiazepin	4-benzodiazepii	Agpfsny
-3-karboksilna	-3-karboksilan	Agpfsny
kiselina	kiselina	Ncfsn
klordiazepoksid	klordiazepoksid	Sg
Chlordiazepoxide	Chlordiazepoxida	Npmsg
7-klor	7-klor	Xf
-2	-2	Xf
-	-	Z
(	(	Z
metilamino	metilamino	Ncmsn
)	)	Z
-5-fenil	-5-fenii	Agpnsny
-3	-3	Ncnsn
H-1	h-i	Agpnsny
,	,	Z
4-benzodiazepin	4-benzodiazepin	Aspmsnn
-4-oksid	-4-oksid	Agpmsny
klotiazepam	klotiazepam	Ncmsn
Clotiazepam	Clotiazepam	Npmsn
5	5	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-7-etil	-7-etil	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-1-metil	-1-metil	Npmsn
-2	-2	Mdc
H-tieno	h-tien	Agpnsny
[	[	Z
2,3-e	2,3-a	Npfsg
]	]	Z
-1,4-diazepin	-1,4-diazepin	Npmsn
-2-on	-2-on	Npmsn
loprazolam	loprazolamti	Vmr3s
Loprazolam	Loprazolam	Npmsn
6	6	Mdc
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-2,4-dihidro	-2,4-dihidro	Rgp
-2	-2	Mdc
-	-	Z
[	[	Z
(	(	Z
4-metil	4-metil	Npmsn
-1-piperazinil	-1-piperazinil	Npmsn
)	)	Z
metilen	metilen	Ncmsan
]	]	Z
-8-nitro	-8-nitar	Agpnsny
-1	-1	Ncnsn
H-imidazo	h-imidaz	Agpnsny
[	[	Z
1,2-a	1,2	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-1-on	benzodiazepin-1-on	Xf
lorazepam	lorazepam	Xf
Lorazepam	Lorazepam	Xf
7-klor	7-klor	Xf
-5	-5	Xf
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidro	Agpmsny
-3-hidroksi	-3-hidroks	Agpmsny
-2	-2	Agpmsny
H-1	h-1	Ncmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
lormetazepam	lormetazepam	Pp1-pd
Lormetazepam	Lormetazepam	Npmsn
7-klor	7-klor	Npmsn
-5	-5	Npmsn
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidro	Agpmsny
-3-hidroksi	-3-hidroks	Agpmsny
-1-metil	-1-metil	Agpmsny
-2	-2	Agpmsny
H-1	h-1	Ncmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
medazepam	medazepam	Pp1-pd
Medazepam	Medazepam	Npmsn
7-klor	7-klor	Npmsn
-2,3-dihidro	-2,3-dihidro	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Aspmsnn
midazolam	midazolam	Agpmsny
Midazolam	Midazolam	Npmsn
8-klor	8-klor	Npmsn
-6	-6	Npmsn
-	-	Z
(	(	Z
o-fluorfenil	o-fluorfenil	Npmsn
)	)	Z
-1-metil	-1-metil	Agpmsny
-4	-4	Agpmsny
H-imidazo	h-imidazo	Ncmsn
[	[	Z
1,5-a	1,5	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin	benzodiazepin	Ncmsn
nabilon	nabilo	Ncfsg
Nabilone	Nabilona	Npfsg
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
,	,	Z
10	10	Mdc
aR	ar	Ncmsn
)	)	Z
-1-hidroxi	-1-hidroxi	Agpmsny
-6,6-dimetil	-6,6-dimetil	Npmsn
-3	-3	Mdc
-	-	Z
(	(	Z
2-metiloktan	2-metiloktan	Npmsn
-2-il	-2-il	Npmsn
)	)	Z
-7,8,10,10	-7,8,10,10	Mdc
a-tetrahidro-6aH-benzo	a-tetrahidro-6ah-benzo	Ncfpg
[	[	Z
c	C	X
]	]	Z
kromen-9-on	kromen-9-on	Agpmsnn
nimetazepam	nimetazepam	Agpmsny
Nimetazepam	Nimetazepam	Npmsn
1,3-dihidro	1,3-dihidro	Npmsn
-1-metil	-1-metil	Npmsn
-7-nitro	-7-nitro	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
nitrazepam	nitrazepam	Pp1-pd
Nitrazepam	Nitrazepam	Npmsn
1,3-dihidro	1,3-dihidro	Npmsn
-7-nitro	-7-nitro	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
nordazepam	nordazepam	Pp1-pd
Nordazepam	Nordazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
oksazepam	oksazepam	Pp1-pd
Oxazepam	Oxazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-3-hidroksi	-3-hidroksa	Ncfsl
-5-fenil	-5-feni	Npmsg
-2	-	Npmsg
H-1	H-	Npmsg
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
oksazolam	oksazolam	Pp1-pd
Oxazolam	Oxazolam	Npmsn
10-klor	10-klor	Npmsn
-2,3,7,11	-2,3,7,11	Mdc
b-tetrahidro-2-metil-11b-feniloksazolo	b-tetrahidro-2-metil-11b-feniloksazoti	Vmp-sn
[	[	Z
3,2-d	3,2-d	Ncmsn
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin-6	benzodiazepin-6	Mdm
(	(	Z
5	5	Mdc
H	h	Y
)	)	Z
-	-	Z
on	on	Pp3msn
pinazepam	pinazepam	Agpmsny
Pinazepam	Pinazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-5-fenil	-5-fenil	Npmsn
-1	-1	Npmsn
-	-	Z
(	(	Z
2-propinil	2-propinil	Npmsn
)	)	Z
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
prazepam	prazepam	Pp1-pd
Prazepam	Prazepam	Npmsn
7-klor	7-klor	Npmsn
-1	-1	Npmsn
-	-	Z
(	(	Z
ciklopropilmetil	ciklopropilmetil	Ncmsn
)	)	Z
-1,3-dihidro	-1,3-dihidr	Agpnsny
-5-fenil	-5-fenil	Ncnsn
-2	-2	X
H-1	H-1	X
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
temazepam	temazepam	Pp1-pd
Temazepam	Temazepam	Npmsn
7-klor	7-klor	Npmsn
-1,3-dihidro	-1,3-dihidro	Npmsn
-3-hidroksi	-3-hidroksi	Npmsn
-1-metil	-1-metil	Npmsn
-5-fenil	-5-fenil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Agpmsayn
-2-on	-2-on	Agpmsayn
tetrahidrokanabinol	tetrahidrokanabinol	Ncmsan
(	(	Z
THC	THC	Npmsn
)	)	Z
dronabinol	dronabino	Ncmsl
Delta-9-tetrahydrocannabinol	Delta-9-tetrahydrocannabinol	Npmsn
Dronabinol	Dronabinol	Npmsn
(	(	Z
6	6	Mdc
aR	ar	Ncmsn
,	,	Z
10	10	Mdc
aR	ar	Ncmsn
)	)	Z
-6,6,9-trimetil	-6,6,9-trimetil	Npmsn
-3-pentil	-3-pentil	Npmsn
-6	-6	Npmsn
a	a	Cc
,	,	Z
7,8,10	7,8,10	Mdc
a-tetrahidro-6H-benzo	a-tetrahidro-6H-benzo	Npfpg
[	[	Z
c	C	X
]	]	Z
kromen-1-ol	kromen-1-ol	Cc
tetrazepam	tetrazepai	Agpfsny
Tetrazepam	Tetrazepam	Npfsn
7-klor	7-klor	Npfsn
-5	-5	Npfsn
-	-	Z
(	(	Z
1-cikloheksen	1-cikloheksen	Npmsn
-1-il	-1-il	Npmsn
)	)	Z
-1,3-dihidro	-1,3-dihidro	Npmsn
-1-metil	-1-metil	Npmsn
-2	-2	Npmsn
H-1	H-1	Npmsn
,	,	Z
4-benzodiazepin	4-benzodiazepin	Npmsn
-2-on	-2-on	Npmsn
triazolam	triazolam	Pp1-pd
Triazolam	Triazolam	Npmsn
8-klor	8-klor	Npmsn
-6	-6	Npmsn
-	-	Z
(	(	Z
o-klorfenil	o-klorfenil	Npmsn
)	)	Z
-1-metil	-1-metii	Agpnsny
-4	-4	Ncnsn
H-s-triazolo	h-s-triazoti	Vmp-sn
[	[	Z
4,3-a	4,3	Npmsg
]	]	Z
[	[	Z
1,4	1,4	Mdc
]	]	Z
benzodiazepin	benzodiazepin	Ncmsn
zolpidem	zolpid	Ncmsi
Zolpidem	Zolpid	Npmsi
N	N	X
,	,	Z
N	i	Agpnsny
,	,	Z
6-trimetil	6-trimetil	Npmsn
-2-p	-2-p	Npmsn
-	-	Z
tolilimidazo	tolilimidazo	Rgp
[	[	Z
1,2-a	1,2	Npmsg
]	]	Z
piridin-3-acetamid	piridin-3-acetamii	Agpnsny

