Ekg	Ekg	Npmsn
2,21	2,21	Mdc
486,20	486,20	Mdc
KD006	KD006	Mdc
Transezofafagealna	transezofafagealan	Agpfsny
ehokardiografija	ehokardiografija	Ncfsn
(	(	Z
TEE	TEE	Npmsn
)	)	Z
6,50	6,50	Mdc
1.430,00	1.430,00	Mdc
KD007	KD007	Mdc
Arterijska	arterijski	Agpfsny
pletizmografija	pletizmografija	Ncfsn
1,21	1,21	Mdc
266,20	266,20	Mdc
KD008	KD008	Mdc
Venozna	venozan	Agpfsny
pletizmografija	pletizmografija	Ncfsn
1,04	1,04	Mdc
228,80	228,80	Mdc
KD009	kd0i	Agpmsgy
Studija	studij	Ncmsg
disinkronije	disinkronija	Ncfsg
miokarda	miokarda	Ncfsn
Pretragu	pretraga	Ncfsa
može	moći	Vmr3s
izvoditi	izvoditi	Vmn
kardiolog	kardiolog	Ncmsn
u	u	Sl
Referentnom	referentan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
ili	ili	Cc
akreditiranom	akreditiran	Agpmsly
ehokardiografskom	ehokardiografski	Agpmsly
laboratoriju	laboratorij	Ncmsl
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
)	)	Z
kardiolog	kardiolog	Ncmsn
akreditiran	akreditirati	Appmsnn
za	za	Sa
izvođenje	izvođenje	Ncnsa
kompleksnih	kompleksan	Agpfpgy
pretraga	pretraga	Ncfpg
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
ili	ili	Cc
europskog	europski	Agpnsgy
udruženja	udruženje	Ncnsg
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
)	)	Z
.	.	Z
8,24	8,24	Mdc
1.812,80	1.812,80	Mdc
KD010	KD010	Sg
Studija	studij	Ncmsg
deformacije	deformacija	Ncfsg
miokarda	miokarda	Ncfsn
Pretragu	pretraga	Ncfsa
može	moći	Vmr3s
izvoditi	izvoditi	Vmn
kardiolog	kardiolog	Ncmsn
u	u	Sl
Referentnom	referentan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
ili	ili	Cc
akreditiranom	akreditiran	Agpmsly
ehokardiografskom	ehokardiografski	Agpmsly
laboratoriju	laboratorij	Ncmsl
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
