uskrate	uskratiti	Vmr3p
suglasnosti	suglasnost	Ncfpn
iz	iz	Sg
članaka	članak	Ncmpg
63.	63.	Mdo
i	i	Cc
64.	64.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

c.	ci	Agpnsny
Utvrđivanje	utvrđivanje	Ncnsn
očinstva	očinstvo	Ncnsg
sudskom	sudski	Agpfsiy
odlukom	odluka	Ncfsi

Utvrđivanje	utvrđivanje	Ncnsn
očinstva	očinstvo	Ncnsg
sudskom	sudski	Agpfsiy
odlukom	odluka	Ncfsi

Članak	članak	Ncmsn
70.	70.	Mdo

Ako	ako	Cs
očinstvo	očinstvo	Ncnsn
nije	biti	Var3s
utvrđeno	utvrditi	Appnsny
presumpcijom	presumpcija	Ncfsi
bračnog	bračni	Agpnsgy
očinstva	očinstvo	Ncnsg
ili	ili	Cc
priznanjem	priznanje	Ncnsi
,	,	Z
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
sudskom	sudski	Agpmsly
postupku	postupak	Ncmsl
.	.	Z

Pravo	pravo	Ncnsn
na	na	Sa
tužbu	tužba	Ncfsa
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
očinstva	očinstvo	Ncnsg

Članak	članak	Ncmsn
71.	71.	Mdo

Tužbu	tužba	Ncfsa
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
očinstva	očinstvo	Ncnsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
:	:	Z

1.	1.	Mdo
dijete	dijete	Ncnsn

2.	2.	Mdo
majka	majka	Ncfsn
djeteta	dijete	Ncnsg

3.	3.	Mdo
muškarac	muškarac	Ncmsn
koji	koji	Pi-msn
sebe	sebe	Px--sa
smatra	smatrati	Vmr3s
ocem	oac	Ncmsi
djeteta	dijete	Ncnsg
ili	ili	Cc

4.	4.	Mdo
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

Pravo	pravo	Ncnsa
na	na	Sa
tužbu	tužba	Ncfsa
nakon	nakon	Sg
smrti	smrt	Ncfsg
osobe	osoba	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
otac	otac	Ncmsn
djeteta	dijete	Ncnsg

Članak	članak	Ncmsn
72.	72.	Mdo

Ako	ako	Cs
osoba	osoba	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
otac	otac	Ncmsn
djeteta	dijete	Ncnsg
nije	biti	Var3s
živa	živ	Agpfsny
,	,	Z
tužba	tužba	Ncfsn
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
očinstva	očinstvo	Ncnsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
protiv	protiv	Sg
njezinih	njezin	Ps3mpg
nasljednika	nasljednik	Ncmpg
.	.	Z

Rokovi	rok	Ncmpn
za	za	Sa
pokretanje	pokretanje	Ncnsa
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
73.	73.	Mdo

Rokovi	rok	Ncmpn
za	za	Sa
podnošenje	podnošenje	Ncnsa
tužbe	tužba	Ncfsg
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
očinstva	očinstvo	Ncnsg
propisani	propisati	Appmpny
su	biti	Var3p
odredbama	odredba	Ncfpi
članaka	članak	Ncmpg
383.	383.	Mdo
do	do	Sg
387.	387.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Troškovi	trošak	Ncmpn
trudnoće	trudnoća	Ncfsg
i	i	Cc
poroda	porod	Ncmsg
izvanbračnog	izvanbračni	Agpnsgy
