upisa	upis	Ncmsg
.	.	Z

Propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl

Članak	članak	Ncmsn
176.	176.	Mdo

Do	do	Sg
donošenja	donošenje	Ncnsg
propisa	propis	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
174.	174.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
149/09.	149/09.	Mds
,	,	Z
127/10.	127/10.	Mds
,	,	Z
120/12.	120/12.	Mds
i	i	Cc
148/13.	148/13.	Mds
)	)	Z
:	:	Z

1.	1.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
Upisniku	Upisnik	Npmsl
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
76/11.	76/11.	Mds
i	i	Cc
42/13.	42/13.	Mds
)	)	Z

2.	2.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
dopunskim	dopunski	Agpfply
djelatnostima	djelatnost	Ncfpl
na	na	Sl
obiteljskim	obiteljski	Agpmply
poljoprivrednim	poljoprivredni	Agpmply
gospodarstvima	gospodarstvo	Ncmpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
76/14.	76/14.	Mds
)	)	Z

3.	3.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
prodaji	prodaja	Ncfsl
vlastitih	vlastit	Agpmpgy
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
proizvedenih	proizvesti	Appmpgy
na	na	Sl
obiteljskom	obiteljski	Agpnsly
poljoprivrednom	poljoprivredni	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
76/14.	76/14.	Mds
i	i	Cc
