kontekstu	kontekst	Ncmsd
već	već	Rgp
Nacionalni	nacionalan	Agpmsny
program	program	Ncmsn
za	za	Sa
željezničku	željeznički	Agpfsay
infrastrukturu	infrastruktura	Ncfsa
(	(	Z
NPŽI	NPŽI	Npmsn
)	)	Z
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
period	period	Ncmsan
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
godine	godina	Ncfsg
trebao	trebati	Vmp-sm
je	biti	Var3s
bitno	bitno	Rgp
doprinijeti	doprinijeti	Vmn
poboljšanju	poboljšanje	Ncnsd
stanja	stanje	Ncnsg
kolosiječne	kolosiječan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
što	što	Cs
u	u	Sl
najvećoj	velik	Agpfsly
mjeri	mjera	Ncfsl
nije	biti	Var3s
realizirano	realizirati	Agpnsny
.	.	Z

U	u	Sl
Tablici	tablica	Ncfsl
1.	1.	Mdo
dan	dan	Ncmsn
je	biti	Var3s
detaljan	detaljan	Agpmsnn
pregled	pregled	Ncmsn
stanja	stanje	Ncnsg
realizacije	realizacija	Ncfsg
toga	taj	Pd-nsg
Nacionalnog	nacionalan	Agpmsgy
programa	program	Ncmsg
za	za	Sa
period	period	Ncmsan
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
godine	godina	Ncfsg
.	.	Z

Tablica	tablica	Ncfsn
1.	1.	Mdo
Pregled	pregled	Ncmsn
realizacije	realizacija	Ncfsg
programa	program	Ncmsg
za	za	Sa
željezničku	željeznički	Agpfsay
infrastrukturu	infrastruktura	Ncfsa
prema	prema	Sl
Nacionalnom	nacionalan	Agpmsly
programu	program	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
period	period	Ncmsan
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
godine	godina	Ncfsg

1.	1.	Mdo
Program	program	Ncmsn
obnove	obnova	Ncfsg
i	i	Cc
osuvremenjivanja	osuvremenjivanje	Ncnsg
pruga	pruga	Ncfpg
značajnih	značajan	Agpfpgy
za	za	Sa
međunarodni	međunarodni	Agpmsayn
promet	promet	Ncmsan
Prema	prema	Sl
NPŽI	npža	Ncfsl
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
planirani	planiran	Agpmsny
završetak	završetak	Ncmsn
Ugovorom	Ugovor	Npmsi
definirani	definirati	Agpmsny
početak	početak	Ncmsn
Ugovorom	ugovor	Ncmsi
definirani	definirati	Agpmsny
kraj	kraj	Ncmsn
Kašnjenje	kašnjenje	Ncnsn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
NPŽI	npža	Ncfsl
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo

Vrijednost	vrijednost	Ncfsn
ugovora	ugovor	Ncmsg
1.1.	1.1.	Mdo

Osuvremenjivanje	osuvremenjivanje	Ncnsn
pruga	pruga	Ncfpg
na	na	Sl
ogranku	ogranak	Ncmsl
V.	i	Agpmsgy
b	b	Agpmsgy
koridora	koridor	Ncmsg
1.1.1.	1.1.1.	Mdo

Izmjena	izmjena	Ncfsn
sustava	sustav	Ncmsg
električne	električan	Agpfsgy
vuče	vuča	Ncfsg
na	na	Sl
dionici	dionica	Ncfsl
Moravice	moravica	Ncfsg
–	–	Z
Rijeka	Rijeka	Npfsn
–	–	Z
Šapjane	Šapjana	Npfsg
kraj	kraj	Ncmsan
2011.	2011.	Mdo
12/2007.	12/2007.	Mdo
12/2013.	12/2013.	Mdo
2	2	Mdc
godine	godina	Ncfsg
637	637	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.2.	1.1.2.	Mds

Izmjena	izmjena	Ncfsn
sustava	sustav	Ncmsg
električne	električan	Agpfsgy
vuče	vuča	Ncfsg
na	na	Sl
dionici	dionica	Ncfsl
Škrljevo	Škrljevo	Npnsn
–	–	Z
Bakar	bakar	Ncmsn
1.1.3.	1.1.3.	Mdo

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
dotrajalog	dotrajao	Agpmsgy
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Križevci	Križevca	Npfsl
–	–	Z
Koprivnica	Koprivnica	Npfsn
–	–	Z
DG	DG	Npmsn
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
8/2014.	8/2014.	Mdo
2/2016.	2/2016.	Mdo
4	4	Mdc
godine	godina	Ncfsg
116	116	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.4.	1.1.4.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
dotrajalog	dotrajao	Agpmsgy
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Zdenčina	Zdenčin	Npmsg
–	–	Z
Jastrebarsko	jastrebarski	Agpnsny
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
4/2013.	4/2013.	Mdo
11/2014.	11/2014.	Mdo
1	1	Mdc
godina	godina	Ncfpg
80	80	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.5.	1.1.5.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
dotrajalog	dotrajao	Agpmsgy
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Lokve	lokva	Ncfsg
–	–	Z
Drivenik	drivenik	Ncmsn
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
11/2010.	11/2010.	Mdo
7/2013.	7/2013.	Mdo
7	7	Mdc
mjeseci	mjesec	Ncmpg
130	130	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.6.	1.1.6.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
dotrajalog	dotrajao	Agpmsgy
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Moravice	Moravica	Npfsg
–	–	Z
Skrad	skrad	Ncmsn
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
7/2013.	7/2013.	Mdo
9/2014.	9/2014.	Mdo
2	2	Mdc
godine	godina	Ncfsg
188	188	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.7.	1.1.7.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
dotrajalog	dotrajao	Agpmsgy
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Ogulin	Ogulin	Npfsg
–	–	Npfsg
Moravice	Moravica	Npfsg
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
7/2014.	7/2014.	Mdo
u	u	Sl
tijeku	tijek	Ncmsl
