pogrebničkoj	pogrebničkoj	Agpfpay
djelatnosti	djelatnost	Ncfpa

–	–	Sa
presliku	preslika	Ncfsa
rodnog	rodan	Agpmsgy
lista	list	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prijavnica	prijavnica	Ncfsn
za	za	Sa
ispit	ispit	Ncmsan
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
sadrži	sadržati	Vmr3s
:	:	Z
znak	znak	Ncmsn
i	i	Cc
naziv	naziv	Ncmsn
Hrvatska	hrvatski	Agpfsny
obrtnička	obrtnički	Agpfsny
komora	komora	Ncfsn
,	,	Z
ime	ime	Ncnsn
,	,	Z
očevo	očev	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ispitanika	ispitanik	Ncmpg
,	,	Z
OIB	OIB	Npmsn
,	,	Z
datum	datum	Ncmsan
,	,	Z
mjesto	mjesto	Ncnsa
,	,	Z
općina	općina	Ncfsn
i	i	Cc
županija	županija	Ncfsn
rođenja	rođenje	Ncnsg
,	,	Z
državljanstvo	državljanstvo	Ncnsa
,	,	Z
adresa	adresa	Ncfsn
stanovanja	stanovanje	Ncnsg
,	,	Z
telefon	telefon	Ncmsn
,	,	Z
naziv	naziv	Ncmsn
zanimanja	zanimanje	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
ispit	ispit	Ncmsn
osposobljenosti	osposobljenost	Ncfsg
polaže	polagati	Vmr3s
,	,	Z
redni	redni	Agpmsny
broj	broj	Ncmsn
pristupa	pristup	Ncmsg
ispitu	ispit	Ncmsd
,	,	Z
mjesto	mjesto	Ncnsn
i	i	Cc
nadnevak	nadnevak	Ncmsn
,	,	Z
vlastoručni	vlastoručan	Agpmsayn
potpis	potpis	Ncmsan
te	te	Cc
popis	popis	Ncmsan
i	i	Cc
naziv	naziv	Ncmsn
dokumenata	dokument	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
prilažu	prilagati	Vmr3p
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prijave	prijava	Ncfpn
za	za	Sa
svaki	svaki	Pi-msan
ispitni	ispitan	Agpmsayn
rok	rok	Ncmsan
zaključuju	zaključivati	Vmr3p
se	sebe	Px--sa
15	15	Mdc
dana	dan	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
ispita	ispit	Ncmpg
u	u	Sl
određenom	određen	Agpmsly
ispitnom	ispitan	Agpmsly
roku	rok	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
zaključenja	zaključenje	Ncnsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Predsjednik	predsjednik	Ncmsn
komisije	komisija	Ncfsg
utvrđuje	utvrđivati	Vmr3s
listu	lista	Ncfsa
kandidata	kandidat	Ncmpg
koji	koji	Pi-mpn
udovoljavaju	udovoljavati	Vmr3p
uvjetima	uvjet	Ncmpd
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Lista	lista	Ncfsn
prijavljenih	prijaviti	Agpmpgy
ispitanika	ispitanik	Ncmpg
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
sadrži	sadržati	Vmr3s
:	:	Z
znak	znak	Ncmsn
i	i	Cc
naziv	naziv	Ncmsn
Hrvatska	hrvatski	Agpfsny
obrtnička	obrtnički	Agpfsny
komora	komora	Ncfsn
,	,	Z
rok	rok	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
ispit	ispit	Ncfsn
polaže	polagati	Vmr3s
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
,	,	Z
sastav	sastav	Ncmsn
ispitne	ispitan	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
datum	datum	Ncmsan
sjednice	sjednica	Ncfsg
na	na	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
utvrđena	utvrditi	Appfsny
lista	lista	Ncfsn
ispitanika	ispitanik	Ncmpg
,	,	Z
redni	redni	Agpmsny
broj	broj	Ncmsn
,	,	Z
ime	ime	Ncnsn
,	,	Z
očevo	očev	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ispitanika	ispitanik	Ncmpg
,	,	Z
mjesto	mjesto	Ncnsa
,	,	Z
nadnevak	nadnevak	Ncmsn
i	i	Cc
potpis	potpis	Ncmsan
predsjednika	predsjednik	Ncmsg
komisije	komisija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kandidata	kandidat	Ncmsay
koji	koji	Pi-msn
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpd
za	za	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
,	,	Z
Hrvatska	hrvatski	Agpfsny
obrtnička	obrtnički	Agpfsny
komora	komora	Ncfsn
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
obavještava	obavještavati	Vmr3s
o	o	Sl
pojedinostima	pojedinost	Ncfpl
vezanim	vezan	Agpfply
za	za	Sa
provedbu	provedba	Ncfsa
ispita	ispitati	Vmr3s
najkasnije	kasno	Rgs
7	7	Mdc
dana	dan	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obavijest	obavijest	Ncfsn
ispitaniku	ispitanik	Ncmsd
o	o	Sl
polaganju	polaganje	Ncnsl
ispita	ispit	Ncmsg
stručne	stručan	Agpfsgy
osposobljenosti	osposobljenost	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
pogrebničke	pogrebnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
sadrži	sadržati	Vmr3s
:	:	Z
znak	znak	Ncmsn
i	i	Cc
naziv	naziv	Ncmsn
Hrvatska	hrvatski	Agpfsny
obrtnička	obrtnički	Agpfsny
komora	komora	Ncfsn
,	,	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ispitanika	ispitanik	Ncmpg
,	,	Z
adresu	adresa	Ncfsa
,	,	Z
nadnevak	nadnevak	Ncmsan
sjednice	sjednica	Ncfsg
ispitne	ispitan	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
mjesto	mjesto	Ncnsa
održavanja	održavanje	Ncnsg
sjednice	sjednica	Ncfsg
,	,	Z
nadnevak	nadnevak	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
održavanja	održavanje	Ncnsg
ispita	ispit	Ncmsg
,	,	Z
vrijeme	vrijeme	Ncnsa
pristupa	pristup	Ncmsg
ispitu	ispit	Ncmsd
,	,	Z
popis	popis	Ncmsn
potrebnih	potreban	Agpnpgy
pomagala	pomagalo	Ncnpg
za	za	Sa
pismeni	pismen	Agpmsayn
dio	dio	Ncmsan
ispita	ispit	Ncmpg
i	i	Cc
vlastoručni	vlastoručan	Agpmsayn
potpis	potpis	Ncmsan
predsjednika	predsjednik	Ncmsg
ispitne	ispitan	Agpfsgy
komisije	komisija	Ncfsg
.	.	Z

V.	V.	Y
POLAGANJE	polaganje	Ncnsa
ISPITA	ispit	Ncmpg
O	o	Sl
STRUČNOJ	stručan	Agpfsly
OSPOSOBLJENOSTI	osposobljenost	Ncfsl
ZA	za	Sa
ZANIMANJE	zanimanje	Ncnsa
POGREBNIK	pogrebnik	Ncmsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispit	ispit	Ncmsn
se	sebe	Px--sa
polaže	polagati	Vmr3s
prema	prema	Sl
programu	program	Ncmsl
koji	koji	Pi-msn
utvrđuje	utvrđivati	Vmr3s
pravilnikom	pravilnik	Ncmsi
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poduzetništvo	poduzetništvo	Ncnsa
i	i	Cc
obrt	obrt	Ncmsan
na	na	Sa
prijedlog	prijedlog	Ncmsan
Hrvatske	hrvatski	Agpfsgy
obrtničke	obrtnički	Agpfsgy
komore	komora	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ispit	ispit	Ncmsn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
općeg	opći	Agpmsgy
dijela	dio	Ncmsg
,	,	Z
koji	koji	Pi-msn
obuhvaća	obuhvaćati	Vmr3s
kompetencije	kompetencija	Ncfpa
nužne	nužan	Agpfpay
za	za	Sa
bavljenje	bavljenje	Ncnsa
obrtom	obrt	Ncmsi
i	i	Cc
poduzetništvom	poduzetništvo	Ncnsi
,	,	Z
te	te	Cc
posebnog	poseban	Agpmsgy
dijela	dio	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
pogrebničku	pogrebnički	Agpfsay
djelatnost	djelatnost	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Opći	opći	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmpg
