trenutku	trenutak	Ncmsl
deaktivacije	deaktivacija	Ncfsg
farme	farma	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
priložiti	priložiti	Vmn
IKG	IKG	Npmsan
,	,	Z
HPA	HPA	Pi-nsn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
staviti	staviti	Vmn
zabilješku	zabilješka	Ncfsa
na	na	Sa
prijavu	prijava	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
na	na	Sl
farmi	farma	Ncfsl
postoji	postojati	Vmr3s
više	mnogo	Rgc
posjednika	posjednik	Ncmpg
,	,	Z
a	a	Cc
potrebno	potreban	Agpnsny
je	biti	Var3s
deaktivirati	deaktivirati	Vmn
pojedinog	pojedini	Agpmsgy
posjednika	posjednik	Ncmsg
(	(	Z
pojedini	pojedini	Agpmsny
IKG	ikg	Ncmsn
na	na	Sl
jednom	jedan	Mlcmsl
JIBG-u	JIBG	Npmsl
)	)	Z
,	,	Z
isti	isti	Agpmsny
se	sebe	Px--sa
deaktivira	deaktivirati	Vmr3s
prijavom	prijava	Ncfsi
pojedinog	pojedini	Agpmsgy
posjednika	posjednik	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Deaktivacija	deaktivacija	Ncfsn
farme	farma	Ncfsg
–	–	Z
inspekcija	inspekcija	Ncfsn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadležna	nadležan	Agpfsny
veterinarska	veterinarski	Agpfsny
inspekcija	inspekcija	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
(	(	Z
b	b	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
može	moći	Vmr3s
deaktivarati	deaktivarati	Vmn
farmu	farma	Ncfsa
ili	ili	Cc
pojedinog	pojedini	Agpmsgy
posjednika	posjednik	Ncmsg
unutar	unutar	Sg
jedne	jedan	Mlcfsg
farme	farma	Ncfsg
ako	ako	Cs
su	biti	Var3p
zadovoljeni	zadovoljiti	Appmpny
uvjeti	uvjet	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
istoga	isti	Agpmsgy
članka	članak	Ncmsg
sukladno	sukladno	Rgp
procedurama	procedura	Ncfpi
koje	koji	Pi-nsn
donosi	donositi	Vmr3s
čelnik	čelnik	Ncmsn
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osim	osim	Cs
u	u	Sl
slučajevima	slučaj	Ncmpl
navedenima	naveden	Agpmply
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležna	nadležan	Agpfsny
veterinarska	veterinarski	Agpfsny
inspekcija	inspekcija	Ncfsn
može	moći	Vmr3s
deaktivirati	deaktivirati	Vmn
farmu	farma	Ncfsa
ili	ili	Cc
pojedinog	pojedini	Agpmsgy
posjednika	posjednik	Ncmsg
unutar	unutar	Sg
farme	farma	Ncfsg
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Rgp
u	u	Sl
registrima	registar	Ncmpl
životinja	životinja	Ncfpg
postoje	postojati	Vmr3p
registrirane	registriran	Agpfpay
životinje	životinja	Ncfpa
kojih	koji	Pi-mpg
na	na	Sl
farmi	farma	Ncfsl
nema	nemati	Vmr3s
,	,	Z
sukladno	sukladno	Rgp
procedurama	procedura	Ncfpi
koje	koji	Pi-nsn
donosi	donositi	Vmr3s
čelnik	čelnik	Ncmsn
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
navedenima	naveden	Agpmply
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
/	/	Z
ili	ili	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležna	nadležan	Agpfsny
veterinarska	veterinarski	Agpfsny
inspekcija	inspekcija	Ncfsn
obavezna	obavezan	Agpfsny
je	biti	Var3s
na	na	Sl
farmi	farma	Ncfsl
obaviti	obaviti	Vmn
inspekcijski	inspekcijski	Agpmsayn
nadzor	nadzor	Ncmsan
te	te	Cc
utvrđene	utvrditi	Appfpny
činjenice	činjenica	Ncfpn
unijeti	unijeti	Vmn
u	u	Sa
zapisnik	zapisnik	Ncmsan
koji	koji	Pi-msan
uz	uz	Sa
priloženi	priložiti	Appmpny
IKG	IKG	Agpmsay
posjednika	posjednik	Ncmpg
dostavljaju	dostavljati	Vmr3p
u	u	Sa
HPA	HPA	Pd-nsa
od	od	Sg
koje	koji	Pi-fsg
zahtijevaju	zahtijevati	Vmr3p
deaktivaciju	deaktivacija	Ncfsa
farme	farma	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
posjednik	posjednik	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
priložiti	priložiti	Vmn
IKG	IKG	Npmsan
,	,	Z
inspektor	inspektor	Ncmsn
o	o	Sl
tome	taj	Pd-nsl
stavlja	stavljati	Vmr3s
zabilješku	zabilješka	Ncfsa
u	u	Sa
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prije	prije	Sg
deaktivacije	deaktivacija	Ncfsg
farme	farma	Ncfsg
,	,	Z
dužna	dužan	Agpfsny
je	biti	Var3s
deaktivirati	deaktivirati	Vmn
sve	sav	Agpfpay
životinje	životinja	Ncfpa
registrirane	registriran	Agpmpay
u	u	Sl
JRDŽ-u	jrdž-e	Ncnsl
na	na	Sl
toj	taj	Pd-fsl
farmi	farma	Ncfsl
.	.	Z

Deaktivacija	deaktivacija	Ncfsn
farme	farma	Ncfsg
–	–	Z
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
ovlaštene	ovlašten	Agpfsgy
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
