brojnom	brojan	Agpnsly
stanju	stanje	Ncnsl
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

II	ii	Mrc
.	.	Z

PROVEDBA	provedba	Ncfsn
MJERA	mjera	Ncfpg

1.	1.	Mdo
Kontrola	kontrola	Ncfsn
i	i	Cc
suzbijanje	suzbijanje	Ncnsa
varooze	varooza	Ncfsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjerom	mjera	Ncfsi
Kontrola	Kontrol	Npmsg
i	i	Cc
suzbijanje	suzbijanje	Ncnsn
varooze	varooza	Ncfsg
korisnik	korisnik	Ncmsn
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
potporu	potpora	Ncfsa
za	za	Sa
nabavu	nabava	Ncfsa
odobrenih	odobren	Agpmpgy
veterinarsko-medicinskih	veterinarsko-medicinski	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
VMP	VMP	Npmsn
)	)	Z
,	,	Z
kiselina	kiselina	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
tretiranje	tretiranje	Ncnsa
protiv	protiv	Sg
varooze	varooz	Agpfsgy
(	(	Z
mliječne	mliječan	Agpfpny
,	,	Z
mravlje	mravlji	Agpnsny
,	,	Z
octene	octen	Agpmpay
i	i	Cc
oksalne	oksalni	Agpfpay
kiseline	kiselina	Ncfpa
)	)	Z
i	i	Cc
konzumnog	konzumni	Agpmsgy
šećera	šećer	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
konvencionalni	konvencionalan	Agpmpny
i	i	Cc
ekološki	ekološki	Agpmpny
pčelari	pčelar	Ncmpn
upisani	upisati	Appmpny
u	u	Sa
Evidenciju	evidencija	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Potpora	potpora	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
ostvariti	ostvariti	Vmn
prema	prema	Sl
broju	broj	Ncmsl
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
upisanih	upisati	Appfpgy
u	u	Sa
Evidenciju	evidencija	Ncfsa
za	za	Sa
nabavu	nabava	Ncfsa
:	:	Z

a	a	Cc
)	)	Z
VMP-a	VMP	Npmsg

b	b	Npmsn
)	)	Z
VMP-a	VMP	Npmsg
i	i	Cc
kiselina	kiselina	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

c	C	Npmsn
)	)	Z
VMP-a	VMP	Npmsg
i	i	Cc
konzumnog	konzumni	Agpmsgy
šećera	šećer	Ncmsg
ili	ili	Cc

d	d	Npmsn
)	)	Z
VMP-a	VMP	Npmsg
,	,	Z
kiselina	kiselina	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
konzumnog	konzumni	Agpmsgy
šećera	šećer	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Potpora	potpora	Ncfsn
za	za	Sa
kiseline	kiselina	Ncfpa
iz	iz	Sg
