izbivanjima	izbivanje	Ncnpl
,	,	Z
odnosno	odnosno	Rgp
samovoljnom	samovoljan	Agpnsly
napuštanju	napuštanje	Ncnsl
prostora	prostor	Ncmsg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
osobno	osoban	Agpnsay
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
datum	datum	Ncmsan
i	i	Cc
vrijeme	vrijeme	Ncnsa
napuštanja	napuštanje	Ncnsg
prostora	prostor	Ncmsg
pružatelja	pružatelj	Ncmpg
usluga	usluga	Ncfpg
,	,	Z
odobrenje	odobrenje	Ncnsn
stručnog	stručan	Agpmsgy
radnika	radnik	Ncmsg
/	/	Z
terapeuta	terapeut	Ncmsg
,	,	Z
mjesto	mjesto	Ncnsa
gdje	gdje	Cs
će	htjeti	Var3s
boraviti	boraviti	Vmn
i	i	Cc
kod	kod	Sg
koga	tko	Ncmsg
,	,	Z
te	te	Cc
vrijeme	vrijeme	Ncnsa
povratka	povratak	Ncmsg
u	u	Sa
prostor	prostor	Ncmsan
pružatelja	pružatelj	Ncmpg
usluga	usluga	Ncfpg
.	.	Z

Članak	članak	Ncmsn
83.	83.	Mdo

Evidencija	evidencija	Ncfsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
vodi	voditi	Vmr3s
se	sebe	Px--sa
zasebno	zaseban	Agpnsny
za	za	Sa
usluge	usluga	Ncfpa
smještaja	smještaj	Ncmsg
i	i	Cc
organiziranog	organiziran	Agpnsgy
stanovanja	stanovanje	Ncnsg
i	i	Cc
sadrži	sadržati	Vmr3s
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

2.	2.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
osobe	osoba	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsn
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsan
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

4.	4.	Mdo
vrsta	vrsta	Ncfsn
usluge	usluga	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsn
(	(	Z
smještaj	smještaj	Ncmsn
,	,	Z
organizirano	organiziran	Agpnsny
stanovanje	stanovanje	Ncnsn
,	,	Z
grupna	grupni	Agpfsny
i	i	Cc
individualna	individualan	Agpfsny
psihosocijalna	psihosocijalan	Agpfsny
podrška	podrška	Ncfsn
te	te	Cc
savjetovanje	savjetovanje	Ncnsn
i	i	Cc
pomaganje	pomaganje	Ncnsa
obitelji	obitelj	Ncfsg
)	)	Z
,	,	Z

5.	5.	Mdo
osnova	osnova	Ncfsn
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
(	(	Z
rješenje	rješenje	Ncnsn
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
odnosno	odnosno	Rgp
ugovor	ugovor	Ncmsn
sklopljen	sklopiti	Appmsnn
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
)	)	Z
,	,	Z

6.	6.	Mdo
zahtjevana	zahtjevan	Agpfsny
hitnost	hitnost	Ncfsn
(	(	Z
iskazan	iskazati	Appmsnn
interes	interes	Ncmsn
za	za	Sa
hitno	hitan	Agpnsay
osiguranje	osiguranje	Ncnsa
usluge	usluga	Ncfsg
ili	ili	Cc
osiguranje	osiguranje	Ncnsn
za	za	Sa
buduće	budući	Agpnsay
vrijeme	vrijeme	Ncnsa
)	)	Z
.	.	Z

Sadržaj	sadržaj	Ncmsn
dokumentacije	dokumentacija	Ncfsg
usluge	usluga	Ncfsg
smještaja	smještaj	Ncmsg

Članak	članak	Ncmsn
84.	84.	Mdo

Dokumentacija	dokumentacija	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
dosjea	dosje	Ncmsg
korisnika	korisnik	Ncmpg
(	(	Z
broj	broj	Ncmsn
dosjea	dosje	Ncmsg
je	biti	Var3s
korisnikov	korisnikov	Agpmsnn
broj	broj	Ncmsn
iz	iz	Sg
matične	matičan	Agpfsgy
knjige	knjiga	Ncfsg
)	)	Z
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
:	:	Z

1.	1.	Mdo
osobnog	osoban	Agpmsgy
lista	list	Ncmsg
korisnika	korisnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
80.	80.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

2.	2.	Mdo
individualnog	individualan	Agpmsgy
plana	plan	Ncmsg

3.	3.	Mdo
rodnog	rodan	Agpmsgy
lista	list	Ncmsg
,	,	Z

4.	4.	Mdo
zdravstvene	zdravstven	Agpfsgy
iskaznice	iskaznica	Ncfsg
,	,	Z

5.	5.	Mdo
socijalne	socijalan	Agpfsgy
anamneze	anamneza	Ncfsg
,	,	Z

6.	6.	Mdo
rješenja	rješenje	Ncnsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
sklopljenog	sklopiti	Appmsgy
između	između	Sg
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
i	i	Cc
korisnika	korisnik	Ncmpg
,	,	Z

7.	7.	Mdo
školske	školski	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
(	(	Z
za	za	Sa
dijete	dijete	Ncnsa
)	)	Z
,	,	Z

8.	8.	Mdo
preslike	preslika	Ncfsg
rješenja	rješenje	Ncnsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
skrbništvu	skrbništvo	Ncnsl
,	,	Z

9.	9.	Mdo
evidencije	evidencija	Ncfsg
odjeće	odjeća	Ncfsg
i	i	Cc
obuće	obuća	Ncfsg
,	,	Z

10.	10.	Mdo
evidencije	evidencija	Ncfsg
novčanih	novčan	Agpmpgy
primitaka	primitak	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
,	,	Z

11.	11.	Mdo
ostale	ostali	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
(	(	Z
prepiske	prepiska	Ncfpn
s	sa	Si
roditeljima	roditelj	Ncmpi
,	,	Z
sudovima	sud	Ncmpi
,	,	Z
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
skrbnikom	skrbnik	Ncmsi
)	)	Z
,	,	Z

12.	12.	Mdo
evidencija	evidencija	Ncfsn
o	o	Sl
kontaktima	kontakt	Ncmpl
s	sa	Si
roditeljima	roditelj	Ncmpi
,	,	Z
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
sudom	sud	Ncmsi
za	za	Sa
maloljetnike	maloljetnik	Ncmpa
i	i	Cc
školom	škola	Ncfsi
.	.	Z

Sadržaj	sadržaj	Ncmsn
evidencije	evidencija	Ncfsg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
–	–	Z
usluge	usluga	Ncfpa
grupne	grupni	Agpfsgy
i	i	Cc
individualne	individualan	Agpfsgy
psihosocijalne	psihosocijalan	Agpfsgy
podrške	podrška	Ncfsg
i	i	Cc
usluge	usluga	Ncfpa
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg
obitelji	obitelj	Ncfsg

Članak	članak	Ncmsn
85.	85.	Mdo

Pružatelj	pružatelj	Ncmsn
usluge	usluga	Ncfsg
grupne	grupni	Agpfsgy
i	i	Cc
individualne	individualan	Agpfsgy
psihosocijalne	psihosocijalan	Agpfsgy
podrške	podrška	Ncfsg
i	i	Cc
usluge	usluga	Ncfpa
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg
obitelji	obitelj	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
korisnicima	korisnik	Ncmpl
i	i	Cc
vrstama	vrsta	Ncfpl
usluga	usluga	Ncfpg
i	i	Cc
to	taj	Pd-nsn
:	:	Z

1.	1.	Mdo
evidenciju	evidencija	Ncfsa
zaprimljenih	zaprimiti	Agpmpgy
zahtjeva	zahtjev	Ncmpg
,	,	Z

2.	2.	Mdo
upisnik	upisnik	Ncmsn
korisnika	korisnik	Ncmpg
,	,	Z

3.	3.	Mdo
dosje	dosje	Ncmsan
korisnika	korisnik	Ncmpg
,	,	Z

4.	4.	Mdo
izvješće	izvješće	Ncnsn
o	o	Sl
provedenoj	provesti	Agpfsly
usluzi	usluga	Ncfsl
.	.	Z

Članak	članak	Ncmsn
86.	86.	Mdo

Evidencija	evidencija	Ncfsn
zaprimljenih	zaprimiti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
85.	85.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

2.	2.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsan
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

4.	4.	Mdo
nadležni	nadležan	Agpmsayn
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z

5.	5.	Mdo
vrstu	vrsta	Ncfsa
usluge	usluga	Ncfsg
,	,	Z

6.	6.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

7.	7.	Mdo
napomenu	napomena	Ncfsa
o	o	Sl
promjenama	promjena	Ncfpl
od	od	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
.	.	Z

Članak	članak	Ncmsn
87.	87.	Mdo

Upisnik	upisnik	Ncmsn
korisnika	korisnik	Ncmpg
usluge	usluga	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
85.	85.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
opće	opći	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
pružatelju	pružatelj	Ncmsl
usluga	usluga	Ncfpg
(	(	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsn
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
i	i	Cc
podružnice	podružnica	Ncfpa
pružatelja	pružatelj	Ncmpg
usluge	usluga	Ncfsg
,	,	Z
redni	redni	Agpmsny
broj	broj	Ncmsn
upisnika	upisnik	Ncmpg
,	,	Z
podatak	podatak	Ncmsn
o	o	Sl
brojevima	broj	Ncmpl
upisnika	upisnik	Ncmpg
i	i	Cc
razdoblju	razdoblje	Ncnsl
koje	koji	Pi-mpa
knjiga	knjiga	Ncfpg
obuhvaća	obuhvaćati	Vmr3s
,	,	Z
te	te	Cc
osobno	osoban	Agpnsay
ime	ime	Ncnsa
i	i	Cc
potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
u	u	Sa
vrijeme	vrijeme	Ncnsa
početka	početak	Ncmsg
vođenja	vođenje	Ncnsg
upisnika	upisnik	Ncmsg
i	i	Cc
u	u	Sa
vrijeme	vrijeme	Ncnsa
završetka	završetak	Ncmsg
vođenja	vođenje	Ncnsg
upisnika	upisnik	Ncmsg
)	)	Z
,	,	Z

2.	2.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

3.	3.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z

4.	4.	Mdo
datum	datum	Ncmsan
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

5.	5.	Mdo
nadležni	nadležan	Agpmsayn
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z

6.	6.	Mdo
vrsta	vrsta	Ncfsn
usluge	usluga	Ncfsg
,	,	Z

7.	7.	Mdo
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
rješenja	rješenje	Ncnsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z

8.	8.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

9.	9.	Mdo
datum	datum	Ncmsan
završetka	završetak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
.	.	Z

Članak	članak	Ncmsn
88.	88.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dosje	dosje	Ncnsn
korisnika	korisnik	Ncmpg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
osobnog	osoban	Agpmsgy
lista	list	Ncmsg
korisnika	korisnik	Ncmpg
,	,	Z
dokumentacije	dokumentacija	Ncfsg
koju	koji	Pi-fsa
pružatelju	pružatelj	Ncmsl
usluge	usluga	Ncfsg
dostavlja	dostavljati	Vmr3s
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
prije	prije	Sg
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
koju	koji	Pi-fsa
vodi	voditi	Vmr3s
pružatelj	pružatelj	Ncmsn
usluge	usluga	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
