osigurati	osigurati	Vmn
dostupnost	dostupnost	Ncfsa
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
u	u	Sa
svrhu	svrha	Ncfsa
provedbe	provedba	Ncfsg
kontrole	kontrola	Ncfsg
;	;	Z

c	C	Npmsn
)	)	Z
sačuvati	sačuvati	Vmn
ulaganje	ulaganje	Ncnsa
prihvatljivim	prihvatljiv	Agpmsiy
u	u	Sl
istoj	isti	Agpfsly
svrsi	svrha	Ncfsl
i	i	Cc
namjeni	namjena	Ncfsl
.	.	Z

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
izdaje	izdaja	Ncfsg
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
uslijed	uslijed	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
Natječajem	natječaj	Ncmsi
i	i	Cc
Odlukom	odluka	Ncfsi
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
;	;	Z

b	b	Npmsn
)	)	Z
ako	ako	Cs
dokumentacija	dokumentacija	Ncfsn
tražena	tražiti	Appfsny
putem	put	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
ili	ili	Cc
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
ili	ili	Cc
nije	biti	Var3s
potpuna	potpun	Agpfsny
ili	ili	Cc
nije	biti	Var3s
prihvatljiva	prihvatljiv	Agpfsny
;	;	Z

c	C	Npmsn
)	)	Z
uslijed	uslijed	Sg
neprihvatljivosti	neprihvatljivost	Ncfsg
aktivnosti	aktivnost	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
troškova	trošak	Ncmpg
utvrđenih	utvrditi	Appmpgy
u	u	Sl
listi	lista	Ncfsl
odobrenih	odobren	Agpmpgy
troškova	trošak	Ncmpg
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Odluke	odluka	Ncfsg
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
;	;	Z

d	d	Npmsn
)	)	Z
uslijed	uslijed	Sg
dostavljanja	dostavljanje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
nakon	nakon	Sg
propisanog	propisati	Agpmsgy
roka	rok	Ncmsg
;	;	Z

e	e	I
)	)	Z
ako	ako	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
prethodno	prethodan	Agpnsny
financiranje	financiranje	Ncnsn
projekta	projekt	Ncmsg
iz	iz	Sg
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
potpore	potpora	Ncfsg
za	za	Sa
troškove	trošak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
predmet	predmet	Ncmsn
Prijave	prijava	Ncfsg
na	na	Sa
Natječaj	natječaj	Ncmsan
;	;	Z

f	f	Npmsn
)	)	Z
uslijed	uslijed	Sg
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
te	te	Cc
pristupa	pristup	Ncmsg
prilikom	prilikom	Sg
kontrole	kontrola	Ncfsg
dobavljačima	dobavljač	Ncmpi
;	;	Z

g	g	Npmsn
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
nakon	nakon	Sg
obavljene	obaviti	Agpfsgy
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
utvrđeno	utvrditi	Agpnsay
nepoštivanje	nepoštivanje	Ncnsa
i	i	Cc
neispunjavanje	neispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
propisanih	propisati	Agpmpgy
Pravilnikom	pravilnik	Ncmsi
;	;	Z

h	h	Npmsn
)	)	Z
uslijed	uslijed	Sg
korištenja	korištenje	Ncnsg
ulaganja	ulaganje	Ncnsg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
