njihovu	njihov	Ps3fsa
radu	rada	Ncfsa
i	i	Cc
zalaganju	zalaganje	Ncnsl
u	u	Sl
zaštiti	zaštita	Ncfsl
štićenikovih	štićenikov	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
dobrobiti	dobrobit	Ncfsl
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
ih	oni	Pp3-pg
je	biti	Var3s
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
zaposlenik	zaposlenik	Ncmsn
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
svoj	svoj	Px-msan
rad	rad	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pravo	pravo	Ncnsn
na	na	Sa
naknadu	naknada	Ncfsa
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nema	nemati	Vmr3s
skrbnik	skrbnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
poseban	poseban	Agpmsnn
skrbnik	skrbnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
dužan	dužan	Agpmsnn
uzdržavati	uzdržavati	Vmn
štićenika	štićenik	Ncmsay
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Naknada	naknada	Ncfsn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
iz	iz	Sg
sredstava	sredstvo	Ncnpg
navedenih	naveden	Agpfpgy
u	u	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
256.	256.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
time	taj	Pd-nsi
ne	ne	Qz
ugrožava	ugrožavati	Vmr3s
namirenje	namirenje	Ncnsa
osnovnih	osnovan	Agpfpgy
životnih	životan	Agpfpgy
potreba	potreba	Ncfpg
štićenika	štićenik	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Skrbnik	skrbnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
zaposlenik	zaposlenik	Ncmsn
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
opravdanih	opravdati	Appmpgy
troškova	trošak	Ncmpg
koju	koji	Pi-fsa
mu	on	Pp3msd
odobri	odobriti	Vmr3s
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
iz	iz	Sg
sredstava	sredstvo	Ncnpg
navedenih	navesti	Appmpgy
u	u	Sl
članku	članak	Ncmsl
256.	256.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točkama	točka	Ncfpl
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
time	taj	Pd-nsi
ne	ne	Qz
ugrožava	ugrožavati	Vmr3s
namirenje	namirenje	Ncnsa
osnovnih	osnovan	Agpfpgy
životnih	životan	Agpfpgy
potreba	potreba	Ncfpg
štićenika	štićenik	Ncmpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Skrbnik	skrbnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
zaposlen	zaposliti	Appmsnn
u	u	Sl
centru	centar	Ncmsl
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
poslove	posao	Ncmpa
skrbništva	skrbništvo	Ncnsg
koje	koji	Pi-nsn
uz	uz	Sa
posebno	poseban	Agpnsay
odobrenje	odobrenje	Ncnsa
ravnatelja	ravnatelj	Ncmsg
obavlja	obavljati	Vmr3s
izvan	izvan	Sg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
.	.	Z

Naknada	naknada	Ncfsn
iz	iz	Sg
sredstava	sredstvo	Ncnpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg

Članak	članak	Ncmsn
264.	264.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
sredstva	sredstvo	Ncnpn
za	za	Sa
naknade	naknada	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
263.	263.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
mogu	moći	Vmr3p
namiriti	namiriti	Vmn
iz	iz	Sg
sredstava	sredstvo	Ncnpg
predviđenih	predvidjeti	Appmpgy
u	u	Sl
članku	članak	Ncmsl
256.	256.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točkama	točka	Ncfpl
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
namirit	namiriti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sa
teret	teret	Ncmsan
sredstava	sredstvo	Ncnpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
propisat	propisati	Vmn
će	htjeti	Var3s
pravilnikom	pravilnik	Ncmsi
visinu	visina	Ncfsa
iznosa	iznos	Ncmsg
i	i	Cc
način	način	Ncmsan
isplate	isplata	Ncfsg
naknade	naknada	Ncfsg
i	i	Cc
troškova	trošak	Ncmpg
za	za	Sa
skrbnika	skrbnik	Ncmsay
i	i	Cc
