Luminex	Luminex	Si
metodom	metoda	Ncfsi
19,45	19,45	Mdc
4.279,00	4.279,00	Mdc
LG097	LG097	Mdc
HLA	hl	Ncmpg
tipizacija	tipizacija	Ncfpg
(	(	Z
DNA	DNA	Npfsn
)	)	Z
116,64	116,64	Mdc
25.660,80	25.660,80	Mdc
LG098	LG098	Mdo
Tipizacija	tipizacija	Ncfsn
antigena	antigen	Ncmsg
HLA-A	HLA-	Npmsg
,	,	Z
-	-	Z
B	b	X
–	–	Z
CDC	CDC	Npmsn
metoda	metoda	Ncfsn
8,48	8,48	Mdc
1.865,60	1.865,60	Mdc
LG099	LG099	Mdo
Tipizacija	tipizacija	Ncfsn
antigena	antigen	Ncmsg
HLA-A	HLA-	Npmsg
,	,	Z
-	-	Z
B	b	I
,	,	Z
-	-	Z
C	C	X
–	–	Z
CDC	CDC	Npmsn
metoda	metoda	Ncfsn
11,54	11,54	Mdc
2.538,80	2.538,80	Mdc
LG100	LG100	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmsg
HLA-A	HLA-	Npmsg
,	,	Z
B	b	X
,	,	Z
C	C	Xf
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
–	–	Z
niska	nizak	Agpfsny
rezolucija	rezolucija	Ncfsn
41,80	41,80	Mdc
9.196,00	9.196,00	Mdc
LG101	LG101	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DRB	hla-drb	Ncfpg
,	,	Z
DQ	DQ	Npmsn
,	,	Z
DP	DP	Npmsn
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
–	–	Z
visoka	visok	Agpfsny
rezolucija	rezolucija	Ncfsn
78,78	78,78	Mdc
17.331,60	17.331,60	Mdc
LG102	LG102	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-A	HLA-	Npmsg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
12,04	12,04	Mdc
2.648,80	2.648,80	Mdc
LG103	LG103	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-B	hla-b	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
16,76	16,76	Mdc
3.687,20	3.687,20	Mdc
LG104	LG104	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-C	hla-c	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
12,35	12,35	Mdc
2.717,00	2.717,00	Mdc
LG105	LG105	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DRB1	hla-drb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
11,89	11,89	Mdc
2.615,80	2.615,80	Mdc
LG106	LG106	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DQB1	hla-dqb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
8,56	8,56	Mdc
1.883,20	1.883,20	Mdc
LG107	LG107	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DPB1	hla-dpb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
16,35	16,35	Mdc
3.597,00	3.597,00	Mdc
LG108	LG108	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DQA1	hla-dqa1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-visoka	metoda-visok	Agpfsny
rezolucija	rezolucija	Ncfsn
15,01	15,01	Mdc
3.302,20	3.302,20	Mdc
LG109	LG109	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-A	HLA-	Npmsg
–	–	Z
PCR	PCR	Npmsn
metoda-visoka	metoda-visok	Agpfsny
rezolucija	rezolucija	Ncfsn
18,90	18,90	Mdc
4.158,00	4.158,00	Mdc
LG110	LG110	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-B	hla-b	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-visoka	metoda-visok	Agpfsny
rezolucija	rezolucija	Ncfsn
21,98	21,98	Mdc
4.835,60	4.835,60	Mdc
LG111	LG111	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-C	hla-c	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
-	-	Z
visoka	visok	Agpfsny
rezolucija	rezolucija	Ncfsn
15,89	15,89	Mdc
3.495,80	3.495,80	Mdc
LG112	LG112	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DRB1	hla-drb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
-	-	Z
visoka	visok	Agpfsny
rezolucija	rezolucija	Ncfsn
22,23	22,23	Mdc
4.890,60	4.890,60	Mdc
LG113	LG113	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DQB1	hla-dqb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
-	-	Z
visoka	visok	Agpfsny
rezolucija	rezolucija	Ncfsn
12,44	12,44	Mdc
2.736,80	2.736,80	Mdc
LG114	LG114	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DPB1	hla-dpb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda	metoda	Ncfsn
-	-	Z
visoka	visok	Agpfsny
rezolucija	rezolucija	Ncfsn
7,38	7,38	Mdc
1.623,60	1.623,60	Mdc
LG115	LG115	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-A	HLA-	Npmsg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
11,99	11,99	Mdc
2.637,80	2.637,80	Mdc
LG116	LG116	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-B	hla-b	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
11,99	11,99	Mdc
2.637,80	2.637,80	Mdc
LG117	LG117	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-C	hla-c	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
13,79	13,79	Mdc
3.033,80	3.033,80	Mdc
LG118	LG118	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DRB1	hla-drb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
11,99	11,99	Mdc
2.637,80	2.637,80	Mdc
LG119	LG119	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DQB1	hla-dqb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
13,77	13,77	Mdc
3.029,40	3.029,40	Mdc
LG120	LG120	Mdo
Tipizacija	tipizacija	Ncfsn
gena	gen	Ncmpg
HLA-DPB1	hla-dpb1	Ncfpg
–	–	Z
PCR	PCR	Npmsn
metoda-niska	metoda-niski	Agpfsny
rezolucija	rezolucija	Ncfsn
PCR-SSO	pcr-ssi	Agpfsny
METODA	metoda	Ncfsn
LUMINEX	luminti	Appfsny
SERIJA	serija	Ncfsn
8	8	Mdc
UZORAKA	uzorak	Ncmpg
15,81	15,81	Mdc
3.478,20	3.478,20	Mdc
LG121	LG121	Mdc
Kratkotrajna	kratkotrajan	Agpfsny
kultura	kultura	Ncfsn
krvotvornih	krvotvoran	Agpfpgy
stanica	stanica	Ncfpg
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
zaračunati	zaračunati	Vmn
uz	uz	Sa
kariogram	kariogram	Ncmsan
.	.	Z
10,43	10,43	Mdc
2.294,60	2.294,60	Mdc
LG122	lg12i	Agpnsny
Kultiviranje	kultiviranje	Ncnsn
plodove	plod	Ncmpa
vode	voda	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
biokemijskih	biokemijski	Agpfpgy
i	i	Cc
molekularnih	molekularan	Agpfpgy
analiza	analiza	Ncfpg
Višetjedna	višetjedni	Agpfsny
kultura	kultura	Ncfsn
stanica	stanica	Ncfpg
iz	iz	Sg
plodne	plodan	Agpfsgy
vode	voda	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
citogenetskih	citogenetska	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
biokemijskih	biokemijski	Agpfpgy
pretraga	pretraga	Ncfpg
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
zaračunati	zaračunati	Vmn
uz	uz	Sa
kariogram	kariogram	Ncmsan
.	.	Z
14,55	14,55	Mdc
3.201,00	3.201,00	Mdc
LG123	lg12i	Agpnsny
Kultiviranje	kultiviranje	Ncnsn
ostala	ostali	Agpnpny
tkiva	tkivo	Ncnpn
za	za	Sa
potrebe	potreba	Ncfpa
biokemijskih	biokemijski	Agpfpgy
i	i	Cc
molekularnih	molekularan	Agpfpgy
analiza	analiza	Ncfpg
Višetjedna	višetjedni	Agpfsny
kultura	kultura	Ncfsn
stanica	stanica	Ncfpg
iz	iz	Sg
kože	koža	Ncfsg
i	i	Cc
drugih	drugi	Mlonpg
tkiva	tkivo	Ncnpg
za	za	Sa
potrebe	potreba	Ncfpa
citogenetskih	citogenetska	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
biokemijskih	biokemijski	Agpfpgy
pretraga	pretraga	Ncfpg
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
zaračunati	zaračunati	Vmn
uz	uz	Sa
kariogram	kariogram	Ncmsan
.	.	Z
14,55	14,55	Mdc
3.201,00	3.201,00	Mdc
LG124	lg124	Agpmsny
Kariotip	kariotip	Ncmsn
periferne	periferan	Agpfsgy
krvi	krv	Ncfsg
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
24,73	24,73	Mdc
5.440,60	5.440,60	Mdc
LG125	lg125	Agpmsny
Kariotip	kariotip	Ncmsn
,	,	Z
koštana	koštan	Agpfsny
srž	srž	Ncfsn
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
28,45	28,45	Mdc
6.259,00	6.259,00	Mdc
LG126	lg126	Agpmsny
Kariotip	kariotip	Ncmsn
plodova	plod	Ncmpg
voda	vod	Ncmsg
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
37,25	37,25	Mdc
8.195,00	8.195,00	Mdc
LG127	lg127	Agpmsny
Kariotip	kariotip	Ncmsn
korionske	korionski	Agpfsgy
resice	resica	Ncfsg
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
28,45	28,45	Mdc
6.259,00	6.259,00	Mdc
LG128	lg128	Agpmsayn
Kariotip	kariotip	Ncmsan
,	,	Z
ostala	ostati	Vmp-sf
tkiva	tkivo	Ncnpn
–	–	Z
spontani	spontan	Agpmsny
pobačaj	pobačaj	Ncmsn
,	,	Z
tumorsko	tumorski	Agpnsny
tkivo	tkivo	Ncnsn
i	i	Cc
biopsija	biopsija	Ncfsn
kože	koža	Ncfsg
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
37,25	37,25	Mdc
8.195,00	8.195,00	Mdc
LG129	lg129	Agpmsayn
Kariotip	kariotip	Ncmsan
,	,	Z
ostala	ostati	Vmp-sf
tkiva	tkivo	Ncnsa
(	(	Z
7	7	Mdc
,	,	Z
8	8	Mdc
)	)	Z
37,25	37,25	Mdc
8.195,00	8.195,00	Mdc
LG130	LG130	Mdc
FISH	fisi	Agpfsgy
analiza-numeričke	analiza-numerički	Agpfsgy
aberacije	aberacija	Ncfsg
(	(	Z
7	7	Mdc
)	)	Z
20,57	20,57	Mdc
4.525,40	4.525,40	Mdc
LG131	LG131	Mdc
FISH	fis	Agpfpgy
analiza	analiza	Ncfpg
-	-	Z
strukturne	strukturni	Agpfsgy
aberacije	aberacija	Ncfsg
(	(	Z
7	7	Mdc
)	)	Z
23,95	23,95	Mdc
