Svaki	svaki	Pi-msn
odabrani	odabrati	Agpmsny
ponuditelj	ponuditelj	Ncmsn
dobiva	dobivati	Vmr3s
u	u	Sa
zakup	zakup	Ncmsan
fizički	fizički	Agpmsayn
neodređeni	neodređen	Agpmsayn
dio	dio	Ncmsan
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
u	u	Sl
površini	površina	Ncfsl
proporcionalnoj	proporcionalan	Agpfsly
broju	broj	Ncmsl
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsl
kojih	koji	Pi-mpg
je	biti	Var3s
vlasnik	vlasnik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
proporcionalno	proporcionalno	Rgp
broju	broj	Ncmsd
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
čiji	čiji	Pi-mpn
su	biti	Var3p
vlasnici	vlasnik	Ncmpn
članovi	član	Ncmpn
zadruge	zadruga	Ncfsg
a	a	Cc
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
,	,	Z
ukoliko	ukoliko	Cs
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
grla	grlo	Ncnsg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsl
ponuditelja	ponuditelj	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
utvrđeni	utvrditi	Agpmsayn
maksimalni	maksimalan	Agpmsayn
broj	broj	Ncmsan
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsg
za	za	Sa
površinu	površina	Ncfsa
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
iz	iz	Sg
javnog	javan	Agpmsgy
poziva	poziv	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
grla	grlo	Ncnsg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsg
iz	iz	Sg
zahtjeva	zahtjev	Ncmpg
ponuditelja	ponuditelj	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prelazi	prelaziti	Vmr3s
utvrđeni	utvrditi	Agpmsayn
maksimalni	maksimalan	Agpmsayn
broj	broj	Ncmsan
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsg
za	za	Sa
površinu	površina	Ncfsa
zajedničkog	zajednički	Agpmsgy
