unaprijed	unaprijed	Rgp
,	,	Z
prilikom	prilikom	Sg
planiranja	planiranje	Ncnsg
natječaja	natječaj	Ncmsg
,	,	Z
predvidjeti	predvidjeti	Vmn
financijski	financijski	Agpmsayn
okvir	okvir	Ncmsan
dodjele	dodjela	Ncfsg
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
udrugama	udruga	Ncfpi
po	po	Sl
objavljenom	objavljen	Agpmsly
natječaju	natječaj	Ncmsl
,	,	Z
koji	koji	Pi-msn
obuhvaća	obuhvaćati	Vmr3s
:	:	Z

–	–	Z
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z

–	i	Agpmpay
iznose	iznos	Ncmpa
predviđene	predvidjeti	Appmpay
za	za	Sa
pojedina	pojedini	Agpnpay
programska	programski	Agpnpay
područja	područje	Ncnpa
(	(	Z
djelatnosti	djelatnost	Ncfpn
)	)	Z
ako	ako	Cs
se	sebe	Px--sa
natječaj	natječaj	Ncmsn
raspisuje	raspisivati	Vmr3s
za	za	Sa
više	mnogo	Rgc
programskih	programski	Agpnpgy
područja	područje	Ncnpg
,	,	Z

–	–	Npmsn
najniži	nizak	Agsmsny
i	i	Cc
najviši	visok	Agsmsny
iznos	iznos	Ncmsn
pojedinačnih	pojedinačan	Agpmpgy
ugovora	ugovor	Ncmpg
o	o	Sl
dodjeli	dodjela	Ncfsl
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
i	i	Cc

–	–	Pd-nsn
očekivani	očekivati	Agpmsayn
broj	broj	Ncmsan
udruga	udruga	Ncfpg
s	sa	Si
kojima	koji	Pi-mpi
će	htjeti	Var3s
se	sebe	Px--sa
ugovoriti	ugovoriti	Vmn
provedba	provedba	Ncfsn
programa	program	Ncmsg
ili	ili	Cc
projekta	projekt	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
pojedinog	pojedini	Agpmsgy
natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Očekivani	očekivati	Agpmsny
broj	broj	Ncmsn
udruga	udruga	Ncfpg
s	sa	Si
kojima	koji	Pi-mpi
će	htjeti	Var3s
se	sebe	Px--sa
ugovoriti	ugovoriti	Vmn
