svaki	svaki	Pi-msn
od	od	Sg
kriterija	kriterij	Ncmpg
zasebno	zaseban	Agpnsny

–	i	Agpfpay
matrice	matrica	Ncfpa
s	sa	Si
uspoređenim	usporediti	Agpmpiy
rizicima	rizik	Ncmpi
na	na	Sl
određenom	određen	Agpnsly
području	područje	Ncnsl

–	i	Agpnsay
vrednovanje	vrednovanje	Ncnsa
rizika	rizik	Ncmsg

–	–	Agpmsny
kartografski	kartografski	Agpmsny
prikaz	prikaz	Ncmsn
rizika	rizik	Ncmsg

–	–	Z
popis	popis	Ncmsn
sudionika	sudionik	Ncmpg
izrade	izrada	Ncfsg
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
za	za	Sa
pojedine	pojedini	Agpmpay
rizike	rizik	Ncmpa
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Smjernice	smjernica	Ncfpn
za	za	Sa
izradu	izrada	Ncfsa
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
donosi	donositi	Vmr3s
župan	župan	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
gradonačelnik	gradonačelnik	Ncmsn
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
a	a	Cc
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
kriterija	kriterij	Ncmsg
za	za	Sa
izradu	izrada	Ncfsa
procjena	procjena	Ncfpg
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smjernice	smjernica	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
u	u	Sl
postupcima	postupak	Ncmpl
izrade	izrada	Ncfsg
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
za	za	Sa
županiju	županija	Ncfsa
i	i	Cc
Grad	grad	Ncmsan
Zagreb	Zagreb	Npmsn
kao	kao	Cs
i	i	Qo
za	za	Sa
sve	sav	Agpfpay
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfpay
samouprave	samouprava	Ncfpa
na	na	Sl
području	područje	Ncnsl
županije	županija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Smjernice	smjernica	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
izrađene	izraditi	Appfpny
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
bi	biti	Vaa3s
cijeli	cijel	Agpmsny
postupak	postupak	Ncmsn
izrade	izrada	Ncfsg
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
bio	biti	Vap-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
HRN	HRN	Npmsn
ISO	ISO	Npmsn
31000:2012	31000:2012	Mdc
–	–	Z
Upravljanje	upravljanje	Ncnsn
rizicima	rizik	Ncmpi
–	–	Z
Načela	načelo	Ncnsg
i	i	Cc
smjernice	smjernica	Ncfpa
(	(	Z
Prilog	prilog	Ncmsn
I.	I.	Mro
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Smjernice	smjernica	Ncfpn
za	za	Sa
izradu	izrada	Ncfsa
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
na	na	Sl
područjima	područje	Ncnpl
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpn
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
opis	opis	Ncmsan
načina	način	Ncmsg
izrade	izrada	Ncfsg
,	,	Z
prijedlog	prijedlog	Ncmsan
metoda	metoda	Ncfpg
te	te	Cc
načela	načelo	Ncnpg
izrade	izrada	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Suglasnost	suglasnost	Ncfsn
na	na	Sa
smjernice	smjernica	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
daje	davati	Vmr3s
središnje	središnji	Agpnsay
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
14	14	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
.	.	Z

III	III	Mrc
.	.	Z

NOSITELJI	nositelj	Ncmpn
IZRADE	izrada	Ncfsg
PROCJENA	procjena	Ncfsn
RIZIKA	rizik	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nositelji	nositelj	Ncmpn
izrade	izrada	Ncfsg
Procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
katastrofa	katastrofa	Ncfpg
za	za	Sa
područje	područje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
su	biti	Var3p
središnje	središnji	Agpnsay
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
kao	kao	Cs
glavni	glavni	Agpmsny
koordinator	koordinator	Ncmsn
uz	uz	Sa
suradnju	suradnja	Ncfsa
ministarstava	ministarstvo	Ncnpg
i	i	Cc
tijela	tijelo	Ncnsg
iz	iz	Sg
javnog	javan	Agpmsgy
sektora	sektor	Ncmsg
sukladno	sukladno	Rgp
posebnoj	poseban	Agpfsly
odluci	odluka	Ncfsl
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nositelji	nositelj	Ncmpn
izrade	izrada	Ncfsg
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
za	za	Sa
područja	područje	Ncnpa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpn
su	biti	Var3p
izvršna	izvršan	Agpfpny
tijela	tijelo	Ncnpn
tih	taj	Pd-fpg
jedinica	jedinica	Ncfpg
kao	kao	Cs
glavni	glavni	Agpmpny
koordinatori	koordinator	Ncmpn
uz	uz	Sa
suradnju	suradnja	Ncfsa
sudionika	sudionik	Ncmpg
sukladno	sukladno	Rgp
posebnoj	poseban	Agpfsly
odluci	odluka	Ncfsl
izvršnog	izvršan	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
izradi	izrada	Ncfsl
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nositelji	nositelj	Ncmpn
izrade	izrada	Ncfsg
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
tijekom	tijekom	Sg
rada	rad	Ncmsg
na	na	Sl
dokumentu	dokument	Ncmsl
mogu	moći	Vmr3p
ugovorom	ugovor	Ncmsi
angažirati	angažirati	Vmn
ovlaštenika	ovlaštenik	Ncmsay
za	za	Sa
prvu	prvi	Mlofsa
grupu	grupa	Ncfsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
u	u	Sl
području	područje	Ncnsl
planiranja	planiranje	Ncnsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
u	u	Sl
svojstvu	svojstvo	Ncnsl
konzultanta	konzultant	Ncmsg
.	.	Z

IV	IV	Mrc
.	.	Z

ROKOVI	rok	Ncmpn
I	i	Cc
PODACI	podatak	Ncmpn
ZA	za	Sa
PROCJENU	procjena	Ncfsa
RIZIKA	rizik	Ncmsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Podaci	podatak	Ncmpn
za	za	Sa
vrijednost	vrijednost	Ncfsa
nekretnina	nekretnina	Ncfpg
i	i	Cc
pokretnina	pokretnina	Ncfpg
za	za	Sa
procjenu	procjena	Ncfsa
rizika	rizik	Ncmsg
za	za	Sa
područje	područje	Ncnsa
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpa
pomoću	pomoć	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
određuje	određivati	Vmr3s
šteta	šteta	Ncfsn
prouzročena	prouzročiti	Appfsny
nekim	neki	Agpmsiy
događajem	događaj	Ncmsi
određuju	određivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
razini	razina	Ncfsl
županije	županija	Ncfsg
te	te	Cc
su	biti	Var3p
sve	sav	Agpfpny
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
dužne	dužan	Agpfsgy
koristiti	koristiti	Vmn
samo	samo	Rgp
taj	taj	Pd-msan
izvor	izvor	Ncmsan
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Procjene	procjena	Ncfpn
rizika	rizik	Ncmpg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
za	za	Sa
područja	područje	Ncnpa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
najmanje	malo	Rgs
jednom	jednom	Rgp
u	u	Sa
tri	tri	Mlc
godine	godina	Ncfsg
te	te	Cc
se	sebe	Px--sa
njihovo	njihov	Ps3nsn
usklađivanje	usklađivanje	Ncnsn
i	i	Cc
usvajanje	usvajanje	Ncnsa
mora	morati	Vmr3s
provesti	provesti	Vmn
do	do	Sg
kraja	kraj	Ncmsg
mjeseca	mjesec	Ncmsg
ožujka	ožujak	Ncmsg
,	,	Z
a	a	Cc
županijskih	županijski	Agpmpgy
do	do	Sg
početka	početak	Ncmsg
rujna	rujan	Ncmsg
u	u	Sl
svakom	svaki	Pi-msl
trogodišnjem	trogodišnji	Agpmsly
ciklusu	ciklus	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Procjene	procjena	Ncfpn
rizika	rizik	Ncmpg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
za	za	Sa
područja	područje	Ncnpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfpn
mogu	moći	Vmr3p
se	sebe	Px--sa
izrađivati	izrađivati	Vmn
i	i	Qo
češće	često	Rgc
,	,	Z
ukoliko	ukoliko	Cs
u	u	Sl
trogodišnjem	trogodišnji	Agpmsly
periodu	period	Ncmsl
nastupi	nastupiti	Vmr3s
značajna	značajan	Agpfsny
promjena	promjena	Ncfsn
ulaznih	ulazan	Agpmpgy
parametara	parametar	Ncmpg
u	u	Sl
korištenim	koristiti	Agpmply
scenarijima	scenarij	Ncmpl
i	i	Cc
postupcima	postupak	Ncmpi
analiziranja	analiziranje	Ncnsg
rizika	rizik	Ncmsg
ili	ili	Cc
ako	ako	Cs
se	sebe	Px--sa
prepozna	prepoznati	Vmr3s
nova	nov	Agpfsny
prijetnja	prijetnja	Ncfsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prve	prvi	Mlofsg
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
