indicirane	indicirati	Appfpny
i	i	Cc
efektivne	efektivan	Agpfpny
snage	snaga	Ncfpn
motora	motor	Ncmsg
;	;	Z

–	i	Agpnsny
Otklanjanje	otklanjanje	Ncnsn
havarije	havarija	Ncfsg
na	na	Sl
motoru	motor	Ncmsl
i	i	Cc
utvrđivanje	utvrđivanje	Ncnsa
uzroka	uzrok	Ncmsg
havarije	havarija	Ncfsg
;	;	Z

–	–	Z
Proračun	proračun	Ncmsn
zaliha	zaliha	Ncfpg
i	i	Cc
potrošnje	potrošnja	Ncfsg
goriva	gorivo	Ncnsg
i	i	Cc
maziva	mazivo	Ncnsg
;	;	Z

–	–	Z
Automatizacija	automatizacija	Ncfsn
motora	motor	Ncmpg
u	u	Sl
funkciji	funkcija	Ncfsl
sigurnosti	sigurnost	Ncfsg
rada	rad	Ncmsg
motornog	motoran	Agpnsgy
postrojenja	postrojenje	Ncnsg
;	;	Z

BROJ	broj	Ncmsn
SATI	sat	Ncmpg
:	:	Z
TEORIJA	teorija	Ncfsn
=	=	Z
8	8	Mdc

b	b	Npmsn
)	)	Z
Brodska	brodski	Agpfsny
elektrotehnika	elektrotehnika	Ncfsn
i	i	Cc
automatizacija	automatizacija	Ncfsn
pogona	pogon	Ncmsg
–	–	Z
usmeni	usmen	Agpmsayn
ispit	ispit	Ncmsan

–	–	Z
Brodska	brodski	Agpfsny
električna	električan	Agpfsny
centrala	centrala	Ncfsn
;	;	Z

–	–	Agpmpny
Akumulatori	akumulator	Ncmpn
;	;	Z

–	–	Z
Istosmjerna	istosmjeran	Agpfsny
struja	struja	Ncfsn
;	;	Z

–	–	Agpmpny
Generatori	generator	Ncmpn
istosmjerne	istosmjeran	Agpfsgy
struje	struja	Ncfsg
;	;	Z

–	–	Agpmpny
Elektromotori	elektromotor	Ncmpn
istosmjerne	istosmjeran	Agpfsgy
struje	struja	Ncfsg
;	;	Z

–	i	Agpfsny
Automatizacija	automatizacija	Ncfsn
u	u	Sl
funkciji	funkcija	Ncfsl
sigurnosti	sigurnost	Ncfsg
i	i	Cc
zaštiti	zaštita	Ncfsl
električnih	električan	Agpmpgy
strojeva	stroj	Ncmpg
i	i	Cc
elektroinstalacija	elektroinstalacija	Ncfpg
;	;	Z

–	i	Agpfsny
Elektroinstalacija	elektroinstalacija	Ncfsn
;	;	Z

BROJ	broj	Ncmsn
SATI	sat	Ncmpg
:	:	Z
TEORIJA	teorija	Ncfsn
=	=	Z
8	8	Mdc

c	C	Npmsn
)	)	Z
Brodski	brodski	Agpmpny
pomoćni	pomoćan	Agpmpny
strojevi	stroj	Ncmpn
i	i	Cc
uređaji	uređaj	Ncmpn
–	–	Z
usmeni	usmen	Agpmsayn
ispit	ispit	Ncmsan

–	i	Agpfsny
Podjela	podjela	Ncfsn
pomoćnih	pomoćan	Agpmpgy
strojeva	stroj	Ncmpg
prema	prema	Sl
namjeni	namjena	Ncfsl
i	i	Cc
vrsti	vrsta	Ncfsl
pogona	pogon	Ncmsg
;	;	Z

–	–	Sg
Brodske	brodski	Agpfsgy
sisaljke	sisaljka	Ncfsg
–	–	Z
podjela	podjela	Ncfsn
;	;	Z

–	–	Pd-mpn
Ventilatori	ventilator	Ncmpn
za	za	Sa
izmjenu	izmjena	Ncfsa
zraka	zrak	Ncmsg
u	u	Sl
strojarnici	strojarnica	Ncfsl
;	;	Z

–	–	Agpmpny
Separatori	separator	Ncmpn
motornog	motoran	Agpnsgy
ulja	ulje	Ncnsg
,	,	Z
goriva	gorivo	Ncnsg
i	i	Cc
zamuljene	zamuljiti	Agpfsgy
