dobiven	dobiven	Npfsn
od	od	Sg
brašna	brašno	Ncnsg
,	,	Z
vode	voda	Ncfsg
ili	ili	Cc
druge	drugi	Mlofsg
odgovarajuće	odgovarajući	Agpfsgy
tekućine	tekućina	Ncfsg
,	,	Z
masti	mast	Ncfsg
ili	ili	Cc
ulja	ulje	Ncnsg
,	,	Z
šećera	šećer	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
sastojaka	sastojak	Ncmpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Vučeno	vući	Appnsny
ili	ili	Cc
tanko	tanak	Agpnsny
tijesto	tijesto	Ncnsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
od	od	Sg
brašna	brašno	Ncnsg
,	,	Z
vode	voda	Ncfsg
ili	ili	Cc
druge	drugi	Mlofpa
zamjenske	zamjenski	Agpfpay
tekućine	tekućina	Ncfpa
i	i	Cc
dodatnih	dodatan	Agpmpgy
sastojaka	sastojak	Ncmpg
istanjeno	istanjiti	Appnsny
vučenjem	vučenje	Ncnsi
ili	ili	Cc
nekim	neki	Pi-msi
drugim	drugi	Mlomsi
tehnološkim	tehnološki	Agpmsiy
postupkom	postupak	Ncmsi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Krumpirovo	krumpirov	Agpnsny
tijesto	tijesto	Ncnsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
od	od	Sg
brašna	brašno	Ncnsg
žitarica	žitarica	Ncfpg
,	,	Z
krumpira	krumpir	Ncmsg
ili	ili	Cc
proizvoda	proizvod	Ncmpg
od	od	Sg
krumpira	krumpir	Ncmsg
,	,	Z
vode	voda	Ncfsg
ili	ili	Cc
druge	drugi	Mlofsg
tekućine	tekućina	Ncfsg
te	te	Cc
drugih	drugi	Mlompg
sastojaka	sastojak	Ncmpg
.	.	Z

Krumpirovo	krumpirov	Sa
tijesto	tijesto	Ncnsa
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
najmanje	malo	Rgs
40	40	Mdc
%	%	Z
svježeg	svjež	Agpmsgy
krumpira	krumpir	Ncmsg
ili	ili	Cc
odgovarajuću	odgovarajući	Agpfsay
količinu	količina	Ncfsa
proizvoda	proizvod	Ncmpg
od	od	Sg
krumpira	krumpir	Ncmsg
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
svih	sav	Agpmpgy
sastojaka	sastojak	Ncmpg
