službenim	služben	Agpfpiy
internet	internet	Ncmsn
stranicama	stranica	Ncfpl
objaviti	objaviti	Vmn
godišnji	godišnji	Agpmsayn
plan	plan	Ncmsan
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc
ispitnih	ispitan	Agpmpgy
rokova	rok	Ncmpg
po	po	Sl
pojedinim	pojedini	Agpfply
stručnim	stručan	Agpfply
cjelinama	cjelina	Ncfpl
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svojim	svoj	Px-mpi
raspoloživim	raspoloživ	Agpmpiy
kapacitetima	kapacitet	Ncmpi
,	,	Z
organizacija	organizacija	Ncfsn
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
provesti	provesti	Vmn
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
svakog	svaki	Pi-msg
polaznika	polaznik	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
postupak	postupak	Ncmsan
pokrenuo	pokrenuti	Vmp-sm
na	na	Sa
vrijeme	vrijeme	Ncnsa
i	i	Cc
ispunjava	ispunjavati	Vmr3s
sve	sav	Agpmpay
druge	drugi	Mlompa
uvjete	uvjet	Ncmpa
definirane	definirati	Agpmpay
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Uvjeti	uvjet	Ncmpn
koje	koji	Pi-mpa
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
organizacija	organizacija	Ncfsn
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa

Članak	članak	Ncmsn
4.	4.	Mdo

U	u	Sl
cilju	cilj	Ncmsl
provođenja	provođenje	Ncnsg
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
organizacija	organizacija	Ncfpg
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
:	:	Z

a	a	Cc
)	)	Z
odgovarajuće	odgovarajući	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
opremu	oprema	Ncfsa
,	,	Z
uređaje	uređaj	Ncmpa
i	i	Cc
druga	drugi	Mlonpa
sredstva	sredstvo	Ncnpa

b	b	Npmsn
)	)	Z
odgovarajuću	odgovarajući	Agpfsay
organizacijsku	organizacijski	Agpfsay
strukturu	struktura	Ncfsa
na	na	Sl
čelu	čelo	Ncnsl
s	sa	Si
voditeljem	voditelj	Ncmsi

c		Npmpn
)	)	Z
instruktore	instruktor	Ncmpa
i	i	Cc
/	/	Z
ili	ili	Cc
mentore	mentor	Ncmpa
za	za	Sa
provedbu	provedba	Ncfsa
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
po	po	Sl
pojedinim	pojedini	Agpnply
područjima	područje	Ncnpl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
programom	program	Ncmsi
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa

d	d	Npmsn
)	)	Z
odgovarajuću	odgovarajući	Agpfsay
stručnu	stručan	Agpfsay
literaturu	literatura	Ncfsa
i	i	Cc
priručnike	priručnik	Ncmpa

e	e	I
)	)	Z
odgovarajuću	odgovarajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
provedenom	provesti	Agpnsly
stručnom	stručan	Agpnsly
osposobljavanju	osposobljavanje	Ncnsl
i	i	Cc
ispitima	ispit	Ncmpi
,	,	Z
po	po	Sl
pojedinim	pojedini	Agpfply
stručnim	stručan	Agpfply
cjelinama	cjelina	Ncfpl
,	,	Z
za	za	Sa
svakog	svaki	Pi-msg
polaznika	polaznik	Ncmsg
posebno	posebno	Rgp

f	f	Npmsn
)	)	Z
operativni	operativan	Agpmsny
priručnik	priručnik	Ncmsn
organizacije	organizacija	Ncfsg
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa

g	g	Npmsn
)	)	Z
program	program	Ncmsan
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
i	i	Cc

h	h	I
)	)	Z
potvrde	potvrda	Ncfpa
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
.	.	Z

Odgovarajuće	odgovarajući	Agpfpny
prostorije	prostorija	Ncfpn
,	,	Z
oprema	opremati	Vmr3s
,	,	Z
uređaji	uređaj	Ncmpn
i	i	Cc
druga	drugi	Mlonpn
sredstva	sredstvo	Ncnpa
potrebna	potreban	Agpfsny
za	za	Sa
izvođenje	izvođenje	Ncnsa
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prostorije	prostorija	Ncfpn
namijenjene	namijenjen	Agpfpny
za	za	Sa
izvođenje	izvođenje	Ncnsa
teorijskog	teorijski	Agpnsgy
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
moraju	morati	Vmr3p
biti	biti	Van
izvedene	izvesti	Appfpny
i	i	Cc
opremljene	opremiti	Appfpny
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
