informacije	informacija	Ncfpa
o	o	Sl
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
zaprimljenim	zaprimiti	Appmpdy
zahtjevima	zahtjev	Ncmpd
za	za	Sa
provjeru	provjera	Ncfsa
i	i	Cc
zahtjevima	zahtjev	Ncmpi
za	za	Sa
ISV	ISV	Npmsan
;	;	Z

(	(	Z
b	b	X
)	)	Z
zahtjevima	zahtjev	Ncmpl
za	za	Sa
ocjenu	ocjena	Ncfsa
sukladnosti	sukladnost	Ncfsg
i	i	Cc
prikladnosti	prikladnost	Ncfsg
za	za	Sa
uporabu	uporaba	Ncfsa
interoperabilnih	interoperabilan	Agpmpgy
sastavnih	sastavan	Agpmpgy
dijelova	dio	Ncmpg
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
izdanim	izdan	Agpmpiy
ili	ili	Cc
uskraćenim	uskratiti	Appfply
ISV-ima	isv-	Ncmpd
;	;	Z

(	(	Z
d	a	Ncfpn
)	)	Z
izdanim	izdan	Agpmpiy
ili	ili	Cc
uskraćenim	uskratiti	Appfply
potvrdama	potvrda	Ncfpl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
»	»	Z
EZ	EZ	Npmsn
«	«	Z
potvrdama	potvrda	Ncfpl
o	o	Sl
prikladnosti	prikladnost	Ncfsl
za	za	Sa
uporabu	uporaba	Ncfsa
;	;	Z

(	(	Z
e	e	I
)	)	Z
izdanim	izdan	Agpmpiy
ili	ili	Cc
uskraćenim	uskratiti	Appfply
potvrdama	potvrda	Ncfpi
o	o	Sl
provjeri	provjera	Ncfsl
.	.	Z

2.8.	2.8.	Mdo

Jezik	jezik	Ncmsn

Dokumentacija	dokumentacija	Ncfsn
i	i	Cc
dopisi	dopis	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
postupak	postupak	Ncmsan
»	»	Z
EZ	EZ	Npmsan
«	«	Z
provjere	provjera	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
sastavljeni	sastaviti	Appmpny
na	na	Sl
službenom	služben	Agpmsly
jeziku	jezik	Ncmsl
države	država	Ncfsg
članice	članica	Ncfsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
ima	imati	Vmr3s
poslovni	poslovan	Agpmsayn
nastan	nastan	Ncmsan
ili	ili	Cc
na	na	Sl
službenom	služben	Agpmsly
jeziku	jezik	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
koji	koji	Pi-msn
prihvati	prihvatiti	Vmr3s
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
.	.	Z

3.	3.	Mdo
POTVRDA	potvrda	Ncfsn
O	o	Sl
PROVJERI	provjera	Ncfsl
KOJU	KOJ	Npmsl
IZDAJE	izdavati	Vmr3s
IMENOVANO	imenovati	Agpnsny
TIJELO	tijelo	Ncnsn

3.1.	3.1.	Mdo

Uvod	uvod	Ncmsn

U	u	Sl
slučaju	slučaj	Ncmsl
primjene	primjena	Ncfsg
prijavljenih	prijaviti	Agpnpgy
nacionalnih	nacionalan	Agpnpgy
pravila	pravilo	Ncnpg
,	,	Z
provjera	provjera	Ncfsn
uključuje	uključivati	Vmr3s
postupak	postupak	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
tijelo	tijelo	Ncnsa
imenovano	imenovati	Appnsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
37.	37.	Mdo
stavkom	stavak	Ncmsi
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
(	(	Z
imenovano	imenovati	Agpnsny
tijelo	tijelo	Ncnsn
)	)	Z
provjerava	provjeravati	Vmr3s
i	i	Cc
potvrđuje	potvrđivati	Vmr3s
sukladnost	sukladnost	Ncfsa
