koju	koji	Pi-fsa
je	biti	Var3s
korisnik	korisnik	Ncmsn
obavezan	obavezati	Appmsnn
učitati	učitati	Vmn
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
nije	biti	Var3s
moguća	moguć	Agpfsny
dopuna	dopuna	Ncfsn
dokumentacije	dokumentacija	Ncfsg
propisane	propisati	Appfsgy
natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Neće	htjeti	Var3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
dopunom	dopuna	Ncfsi
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sljedeće	sljedeći	Agpfsgy
:	:	Z

1.	1.	Mdo
dostava	dostava	Ncfsn
dijela	dio	Ncmsg
dokumenta	dokument	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
natječajem	natječaj	Ncmsi
ukoliko	ukoliko	Cs
dokument	dokument	Ncmsn
nije	biti	Var3s
učitan	učitati	Appmsnn
u	u	Sl
AGRONET	agronee	Ncnsl
u	u	Sl
cijelosti	cijelost	Ncfsl
i	i	Cc

2.	2.	Mdo
dostava	dostava	Ncfsn
dokumenta	dokument	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
natječajem	natječaj	Ncmsi
jer	jer	Cs
učitani	učitati	Agpmsny
dokument	dokument	Ncmsn
nije	biti	Var3s
čitak	čitak	Agpmsnn
ili	ili	Cc
iz	iz	Sg
istoga	isti	Agpnsgy
nije	biti	Var3s
moguće	moguć	Agpnsny
utvrditi	utvrditi	Vmn
činjenično	činjeničan	Agpnsay
stanje	stanje	Ncnsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
ne	ne	Qz
učita	učitati	Vmr3s
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
tražiti	tražiti	Vmn
dodatna	dodatan	Agpnpay
obrazloženja	obrazloženje	Ncnpa
/	/	Z
ispravke	ispravka	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
slanja	slanje	Ncnsg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
dostaviti	dostaviti	Vmn
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Temeljem	temelj	Ncmsi
zahtjeva	zahtjev	Ncmpg
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
dostaviti	dostaviti	Vmn
:	:	Z

–	–	Pi-nsn
pisano	pisan	Agpnsny
objašnjenje	objašnjenje	Ncnsn

–		Agsmsayn
pisani	pisan	Agpmsayn
ispravak	ispravak	Ncmsan

–	–	Agpmsny
novi	nov	Agpmsny
dokument	dokument	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
bio	biti	Vap-sm
propisan	propisati	Appmsnn
natječajem	natječaj	Ncmsi
ili	ili	Cc

–	–	Mlomsn
dokument	dokument	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
natječajem	natječaj	Ncmsi
jer	jer	Cs
učitani	učitati	Agpmsny
dokument	dokument	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
natječajem	natječaj	Ncmsi
nije	biti	Var3s
učitan	učitati	Appmsnn
u	u	Sl
cijelosti	cijelost	Ncfsl
,	,	Z
nije	biti	Var3s
čitak	čitak	Agpmsnn
ili	ili	Cc
iz	iz	Sg
istoga	isti	Agpnsgy
nije	biti	Var3s
moguće	moguć	Agpnsny
utvrditi	utvrditi	Vmn
činjenično	činjeničan	Agpnsay
stanje	stanje	Ncnsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
traženo	tražen	Agpnsny
obrazloženje	obrazloženje	Ncnsn
/	/	Z
ispravak	ispravak	Ncmsan
ne	ne	Qz
dostavi	dostaviti	Vmr3s
sukladno	sukladno	Rgp
stavku	stavak	Ncmsl
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
za	za	Sa
sve	sav	Agpmpay
pravovremene	pravovremen	Agpmpay
,	,	Z
potpune	potpun	Agpfpay
i	i	Cc
prihvatljive	prihvatljiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
izraditi	izraditi	Vmn
rang	rang	Ncmsan
listu	lista	Ncfsa
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
navedeni	navesti	Appmpny
u	u	Sl
Prilogu	prilog	Ncmsl
IV	IV	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
ne	ne	Qz
učita	učitati	Vmr3s
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
,	,	Z
a	a	Cc
na	na	Sl
temelju	temelj	Ncmsl
koje	koji	Pi-fpn
se	sebe	Px--sa
dodjeljuju	dodjeljivati	Vmr3p
bodovi	bod	Ncmpn
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
,	,	Z
zahtjevu	zahtjev	Ncmsl
se	sebe	Px--sa
neće	htjeti	Var3s
dodijeliti	dodijeliti	Vmn
bodovi	bod	Ncmpn
za	za	Sa
određeni	određen	Agpmsayn
kriterij	kriterij	Ncmsan
odabira	odabir	Ncmsg
što	što	Pi3n-n
će	htjeti	Var3s
rezultirati	rezultirati	Vmn
manjim	mali	Agcmsiy
ukupnim	ukupan	Agpmsiy
brojem	broj	Ncmsi
bodova	bod	Ncmpg
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Prednost	prednost	Ncfsn
na	na	Sa
rang	rang	Ncmsan
listi	lista	Ncfsl
ima	imati	Vmr3s
korisnik	korisnik	Ncmsn
s	sa	Si
ostvarenim	ostvariti	Agpmsiy
većim	velik	Agcmsiy
brojem	broj	Ncmsi
bodova	bod	Ncmpg
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Ako	ako	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
isti	isti	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
,	,	Z
prednost	prednost	Ncfsn
na	na	Sa
rang	rang	Ncmsan
listi	lista	Ncfsl
imaju	imati	Vmr3p
ranije	rano	Rgc
podneseni	podnijeti	Appmpny
zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
(	(	Z
datum	datum	Ncmsan
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Ako	ako	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
i	i	Cc
jednako	jednak	Agpnsay
vrijeme	vrijeme	Ncnsa
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
navedeno	navedeno	Rgp
uvjetuje	uvjetovati	Vmr3s
dodjelu	dodjela	Ncfsa
potpore	potpora	Ncfsg
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
izvlačenja	izvlačenje	Ncnsg
slučajnim	slučajan	Agpmsiy
odabirom	odabir	Ncmsi
,	,	Z
u	u	Sl
prisutnosti	prisutnost	Ncfsl
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
.	.	Z

(	(	Z
16	16	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
administrativnom	administrativan	Agpfsiy
kontrolom	kontrola	Ncfsi
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
prihvatljiv	prihvatljiv	Agpmsnn
i	i	Cc
da	da	Cs
su	biti	Var3p
za	za	Sa
predmetni	predmetni	Agpmsayn
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
raspoloživa	raspoloživ	Agpnpay
sredstva	sredstvo	Ncnpa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
