planirale	planirati	Vmp-pf
buduće	budući	Agpfpny
aktivnosti	aktivnost	Ncfpn
ili	ili	Cc
doradile	doraditi	Agpfsgy
procedure	procedura	Ncfsg
.	.	Z

3.6.	3.6.	Mdo

Kontinuitet	kontinuitet	Ncmsn
poslovanja	poslovanje	Ncnsg

Ključni	ključan	Agpmpny
zahtjevi	zahtjev	Ncmpn
:	:	Z

3.6.1.	3.6.1.	Mdo

Definiran	definirati	Appmsnn
je	biti	Var3s
način	način	Ncmsn
postupanja	postupanje	Ncnsg
u	u	Sl
pogledu	pogled	Ncmsl
osiguranja	osiguranje	Ncnsg
kontinuiteta	kontinuitet	Ncmsg
rada	rad	Ncmsg
.	.	Z

3.6.2.	3.6.2.	Mdo

Uspostavljen	uspostaviti	Appmsnn
je	biti	Var3s
proces	proces	Ncmsn
upravljanja	upravljanje	Ncnsg
opremom	oprema	Ncfsi
koji	koji	Pi-msn
uključuje	uključivati	Vmr3s
primjeren	primjeren	Agpmsann
odabir	odabir	Ncmsan
,	,	Z
nabavu	nabava	Ncfsa
,	,	Z
održavanje	održavanje	Ncnsa
i	i	Cc
sigurno	siguran	Agpnsny
korištenje	korištenje	Ncnsn
opreme	oprema	Ncfsg
(	(	Z
sklapaju	sklapati	Vmr3p
se	sebe	Px--sa
ugovori	ugovoriti	Vmr3s
o	o	Sl
pružanju	pružanje	Ncnsl
usluga	usluga	Ncfpg
za	za	Sa
održavanje	održavanje	Ncnsa
opreme	oprema	Ncfsg
ili	ili	Cc
ugovori	ugovor	Ncmpn
o	o	Sl
nabavi	nabava	Ncfsl
za	za	Sa
zamjenu	zamjena	Ncfsa
opreme	oprema	Ncfsg
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

3.6.3.	3.6.3.	Mdo

Utvrđene	utvrditi	Appfpny
su	biti	Var3p
kontrolne	kontrolan	Agpfpny
aktivnosti	aktivnost	Ncfpn
povezane	povezati	Appfpny
s	sa	Si
informatičkom	informatički	Agpfsiy
infrastrukturom	infrastruktura	Ncfsi
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
fizičku	fizički	Agpfsay
zaštitu	zaštita	Ncfsa
i	i	Cc
pristupna	pristupni	Agpnpay
prava	pravo	Ncnpa
,	,	Z
održavanje	održavanje	Ncnsa
hardvera	hardver	Ncmsg
i	i	Cc
softvera	softver	Ncmpg
,	,	Z
izradu	izrada	Ncfsa
sigurnosnih	sigurnosni	Agpfpgy
kopija	kopija	Ncfpg
,	,	Z
upravljanje	upravljanje	Ncnsa
korisničkim	korisnički	Agpmpiy
računima	račun	Ncmpi
,	,	Z
osiguravanje	osiguravanje	Ncnsa
potrebne	potreban	Agpfsgy
razine	razina	Ncfsg
napajanja	napajanje	Ncnsg
te	te	Cc
sigurnost	sigurnost	Ncfsa
podataka	podatak	Ncmpg
.	.	Z

3.6.4.	3.6.4.	Mdo

Primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odgovarajuće	odgovarajući	Agpfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
i	i	Cc
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
.	.	Z

3.6.5.	3.6.5.	Mdo

Osigurava	osiguravati	Vmr3s
se	sebe	Px--sa
zamjena	zamjena	Ncfsn
u	u	Sl
slučaju	slučaj	Ncmsl
privremene	privremen	Agpfsgy
odsutnosti	odsutnost	Ncfsg
zaposlenika	zaposlenik	Ncmpg
.	.	Z

3.6.6.	3.6.6.	Mdo

Osigurana	osigurati	Appfsny
je	biti	Var3s
naplata	naplata	Ncfsn
potraživanja	potraživanje	Ncnsg
,	,	Z
dobrog	dobar	Agpnsgy
izvršenja	izvršenje	Ncnsg
ugovorenih	ugovoriti	Agpmpgy
poslova	posao	Ncmpg
ili	ili	Cc
drugih	drugi	Mlofpg
obveza	obveza	Ncfpg
iz	iz	Sg
ugovornog	ugovoran	Agpmsgy
odnosa	odnos	Ncmsg
.	.	Z

3.6.7.	3.6.7.	Mdo

Procjenjuje	procjenjivati	Vmr3s
se	sebe	Px--sa
potencijalni	potencijalan	Agpmsny
učinak	učinak	Ncmsn
uvođenja	uvođenje	Ncnsg
novih	nov	Agpmpgy
propisa	propis	Ncmpg
,	,	Z
promjene	promjena	Ncfsg
postojećih	postojeći	Agpmpgy
procesa	proces	Ncmpg
,	,	Z
promjene	promjena	Ncfsg
u	u	Sl
nadležnosti	nadležnost	Ncfsl
poslovanja	poslovanje	Ncnsg
ili	ili	Cc
uvođenja	uvođenje	Ncnsg
novih	nov	Agpfpgy
tehnologija	tehnologija	Ncfpg
.	.	Z

