Ovr-2977	Ovr-2977	X
/	/	Z
2015	2015	Mdc
)	)	Z
.	.	Z

II	ii	Mrc
.	.	Z

PRIGOVORI	prigovor	Ncmpn
PODNOSITELJA	podnositelj	Ncmsay

3.	3.	Mdo
U	u	Sa
opširno	opširno	Rgp
obrazloženoj	obrazložiti	Agpfsly
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
podnositelj	podnositelj	Ncmsn
navodi	navoditi	Vmr3s
da	da	Cs
su	biti	Var3p
mu	on	Pp3msd
povrijeđena	povrijeđen	Agpnpny
ustavna	ustavan	Agpnpny
prava	prav	Agpfsny
zajamčena	zajamčiti	Ncfsn
člancima	članak	Ncmpi
29.	29.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
,	,	Z
34.	34.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
,	,	Z
48.	48.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
i	i	Cc
50.	50.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
56/90.	56/90.	Mds
,	,	Z
135/97.	135/97.	Mds
,	,	Z
113/00.	113/00.	Mds
,	,	Z
28/01.	28/01.	Mdo
,	,	Z
76/10.	76/10.	Mds
i	i	Cc
5/14.	5/14.	Mdo
)	)	Z
te	te	Cc
konvencijsko	konvencijski	Agpnsny
pravo	pravo	Ncnsn
zajamčeno	zajamčiti	Appnsny
člankom	članak	Ncmsi
8.	8.	Mdo
Konvencije	konvencija	Ncfsg
za	za	Sa
zaštitu	zaštita	Ncfsa
ljudskih	ljudski	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
temeljnih	temeljan	Agpfpgy
sloboda	sloboda	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
–	–	Z
Međunarodni	međunarodni	Agpmpny
ugovori	ugovor	Ncmpn
«	«	Z
broj	broj	Ncmsan
18/97.	18/97.	Mds
,	,	Z
6/99.	6/99.	Mdo
–	–	Z
pročišćeni	pročišćen	Agpmsayn
tekst	tekst	Ncmsan
,	,	Z
8/99.	8/99.	Mdo
–	–	Z
ispr	ispr	Ncmsan
.	.	Z
,	,	Z
14/02.	14/02.	Mds
i	i	Cc
1/06.	1/06.	Mdo
;	;	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Konvencija	konvencija	Ncfsn
)	)	Z
i	i	Cc
člankom	članak	Ncmsi
1.	1.	Mdo
Protokola	protokol	Ncmsg
br.	br.	Y
1.	1.	Mdo
uz	uz	Sa
Konvenciju	konvencija	Ncfsa
.	.	Z

3.1.	3.1.	Mdo

Sažeto	sažet	Agpnsny
,	,	Z
navodi	navoditi	Vmr3s
iz	iz	Sg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
osporenu	osporiti	Ncmsl
presudu	presuda	Ncfsa
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
VI	VI	Mrc
.	.	Z
...	...	Z
pravna	pravni	Agpnpny
mišljenja	mišljenje	Ncnpn
iznesena	iznijeti	Appnpny
u	u	Sl
pobijanoj	pobijati	Ncfsl
drugostupanjskoj	drugostupanjski	Agpfsly
presudi	presuda	Ncfsl
potpuno	potpuno	Rgp
su	biti	Var3p
pogrešna	pogrešan	Agpfsny
.	.	Z

Prilikom	prilikom	Sg
odlučivanja	odlučivanje	Ncnsg
o	o	Sl
nedopuštenosti	nedopuštenost	Ncfsl
ovrhe	ovrha	Ncfsg
osporena	osporiti	Appfsny
presuda	presuda	Ncfsn
u	u	Sl
cijelosti	cijelost	Ncfsl
zanemaruje	zanemarivati	Vmr3s
već	već	Rgp
ranije	rano	Rgc
donesenu	donesen	Agpfsay
pravomoćnu	pravomoćan	Agpfsay
presudu	presuda	Ncfsa
Trgovačkog	trgovački	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
broj	broj	Ncmsn
-710/2008	-710/2	Agcmsny
od	od	Sg
3.	3.	Mdo
3.	3.	Mdo
2009.	2009.	Mdo
(	(	Z
u	u	Sl
postupku	postupak	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
ovrhovoditelj	ovrhovoditelj	Ncmsn
Praunsperger	Praunsperger	Npmsn
Alan	Alan	Npmsn
sudjelovao	sudjelovati	Vmp-sm
kao	kao	Cs
umješač	umješač	Cs
na	na	Sl
strani	strana	Ncfsl
tuženice	tuženica	Ncfsg
Stambene	stambeni	Agpfsgy
zgrade	zgrada	Ncfsg
u	u	Sl
Opatiji	opatija	Ncfsl
)	)	Z
kojom	koji	Pi-fsi
je	biti	Var3s
odlučeno	odlučiti	Appnsny
:	:	Z
'	'	Z
Utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
izvanknjižni	izvanknjižni	Agpmsny
vlasnik	vlasnik	Ncmsn
1/2	1/2	Mdc
dijela	dio	Ncmsg
nekretnine	nekretnina	Ncfsg
z.	za	Ncfsg
č.	č.	Mdo
1311/244	1311/244	Mdc
–	–	Z
kuća	kuća	Ncfsn
površine	površina	Ncfsg
244	244	Mdc
m2	m2	Ncfpg
upisane	upisati	Appfpny
u	u	Sl
z.	za	Ncfsl
k.	i	Agpfsly
ul	UL	Ncfsl
.	.	Z
886	886	Mdc
K.	K.	Y
O.	O.	Y
Jušići	Jušići	Npfsd
,	,	Z
na	na	Sl
kojem	koji	Pi-msl
dijelu	dio	Ncmsl
je	biti	Var3s
uspostavljeno	uspostaviti	Appnsny
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
posebnog	poseban	Agpmsgy
dijela	dio	Ncmsg
i	i	Cc
to	to	Qo
stana	stan	Ncmsg
u	u	Sl
prizemlju	prizemlje	Ncnsl
površine	površina	Ncfsg
75,65	75,65	Mdc
m2	m	Ncmpg
s	sa	Si
podrumima	podrum	Ncmpi
u	u	Sl
suterenu	suteren	Ncmsl
površine	površina	Ncfsg
29,32	29,32	Mdc
m2	m	Ncmpg
,	,	Z
na	na	Sl
nacrtu	nacrt	Ncmsl
označeno	označiti	Appnsny
crvenom	crven	Agpfsiy
bojom	boja	Ncfsi
,	,	Z
u	u	Sl
podulošku	podulošak	Ncmsl
1	1	Mdc
...	...	Z
'	'	Z
.	.	Z

Tvrdnja	tvrdnja	Ncfsn
osporene	osporiti	Agpfsgy
presude	presuda	Ncfsg
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
podnositelj	podnositelj	Ncmsn
'	'	Z
do	do	Sg
trenutka	trenutak	Ncmsg
upisa	upis	Ncmsg
u	u	Sa
zemljišne	zemljišni	Agpfpay
knjige	knjiga	Ncfpa
nije	biti	Var3s
mogao	moći	Vmp-sm
biti	biti	Van
izvanknjižni	izvanknjižni	Agpmsny
