proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
Europska	europski	Agpfsny
unija	unija	Ncfsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
85	85	Mdc
%	%	Z
udjela	udjel	Ncmsg
,	,	Z
a	a	Cc
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
s	sa	Si
15	15	Mdc
%	%	Z
udjela	udjel	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Intenzitet	intenzitet	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
unutar	unutar	Sg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
7.2.1	7.2.1	Mdc
iznosi	iznositi	Vmr3s
do	do	Sg
100	100	Mdc
%	%	Z
od	od	Sg
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Najniži	nizak	Agsmsny
iznos	iznos	Ncmsn
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
/	/	Z
operacije	operacija	Ncfsg
za	za	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
iznosi	iznositi	Vmr3s
30.000	30.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Najviši	visok	Agsmsny
iznos	iznos	Ncmsn
vrijednosti	vrijednost	Ncfsg
projekta	projekt	Ncmsg
/	/	Z
operacije	operacija	Ncfsg
za	za	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
iznosi	iznositi	Vmr3s
1.250.000	1.250.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Najniži	nizak	Agpmsny
iznos	iznos	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
po	po	Sl
projektu	projekt	Ncmsl
iznosi	iznositi	Vmr3s
30.000	30.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Najviši	visok	Agpmsny
iznos	iznos	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
po	po	Sl
projektu	projekt	Ncmsl
iznosi	iznositi	Vmr3s
1.000.000	1.000.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Najniži	nizak	Agsmsny
iznos	iznos	Ncmsn
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
iznosi	iznositi	Vmr3s
30.000	30.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Najviši	visok	Agsmsny
iznos	iznos	Ncmsn
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
po	po	Sl
projektu	projekt	Ncmsl
/	/	Z
operaciji	operacija	Ncfsl
iznosi	iznositi	Vmr3s
1.000.000	1.000.000	Mdc
eura	euro	Ncmpg
u	u	Sl
protuvrijednosti	protuvrijednost	Ncfsl
u	u	Sl
kunama	kuna	Ncfpl
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Broj	broj	Ncmsn
podnesenih	podnijeti	Appmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
odobrenih	odobren	Agpmpgy
projekata	projekat	Ncmpg
/	/	Z
operacija	operacija	Ncfsn
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
7.2.1.	7.2.1.	Mdo
po	po	Sl
korisniku	korisnik	Ncmsl
u	u	Sl
programskom	programski	Agpnsly
razdoblju	razdoblje	Ncnsl
nije	biti	Var3s
