mjeseci	mjesec	Ncmpg
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
prijedloga	prijedlog	Ncmsg
doktora	doktor	Ncmsg
medicine	medicina	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
123.	123.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
zahtjeva	zahtjev	Ncmpg
osiguranika	osiguranik	Ncmpg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
30.	30.	Mdo

U	u	Sl
članku	članak	Ncmsl
126.	126.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
ovlaštenog	ovlašten	Agpmsgy
vještaka	vještak	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
Zavoda	zavod	Ncmsg
za	za	Sa
vještačenje	vještačenje	Ncnsa
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
2.	2.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
2	2	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
invalidske	invalidski	Agpfsgy
mirovine	mirovina	Ncfsg
zbog	zbog	Sg
opće	opći	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
za	za	Sa
rad	rad	Ncmsan
ili	ili	Cc
potpunog	potpun	Agpmsgy
gubitka	gubitak	Ncmsg
radne	radni	Agpfsgy
sposobnosti	sposobnost	Ncfsg
koji	koji	Pi-msn
stekne	steći	Vmr3s
svojstvo	svojstvo	Ncnsa
osiguranika	osiguranik	Ncmpg
,	,	Z
kao	kao	Cs
i	i	Cc
korisnik	korisnik	Ncmsn
mirovine	mirovina	Ncfsg
određene	odrediti	Appfsgy
prema	prema	Sl
članku	članak	Ncmsl
58.	58.	Mdo
i	i	Cc
članku	članak	Ncmsl
175.	175.	Mdo
stavku	stavak	Ncmsl
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
osim	osim	Sg
osiguranika	osiguranik	Ncmpg
iz	iz	Sg
članaka	članak	Ncmpg
14.	14.	Mdo
i	i	Cc
17.	17.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
podliježe	podlijegati	Vmr3s
obveznom	obvezan	Agpmsly
kontrolnom	kontrolan	Agpmsly
pregledu	pregled	Ncmsl
.	.	Z
«	«	Z
.	.	Z

Stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
stavku	stavak	Ncmsl
5.	5.	Mdo
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
«	«	Z
zarez	zarez	Ncmsan
i	i	Cc
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
3.	3.	Mdo
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
,	,	Z
a	a	Cc
nakon	nakon	Sg
točke	točka	Ncfsg
na	na	Sl
kraju	kraj	Ncmsl
stavka	stavak	Ncmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
nova	nov	Agpfsny
rečenica	rečenica	Ncfsn
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
