Hrvatska	Hrvatska	Npfsn
te	te	Cc
u	u	Sl
postupcima	postupak	Ncmpl
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
koju	koji	Pi-fsa
trećim	treći	Mlofpd
osobama	osoba	Ncfpd
prouzroči	prouzročiti	Vmr3s
korisnik	korisnik	Ncmsn
smješten	smjestiti	Appmsnn
temeljem	temelj	Ncmsi
rješenja	rješenje	Ncnsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
;	;	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
korisnika	korisnik	Ncmpg
prava	pravo	Ncnsg
iz	iz	Sg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
njihovih	njihov	Ps3mpg
nasljednika	nasljednik	Ncmpg
;	;	Z
prikuplja	prikupljati	Vmr3s
godišnja	godišnji	Agpnpay
izvješća	izvješće	Ncnpa
centara	centar	Ncmpg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
sklopljenim	sklopiti	Agpfply
nagodbama	nagodba	Ncfpl
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
upisa	upis	Ncmpg
osnivanja	osnivanje	Ncnsg
i	i	Cc
brisanja	brisanje	Ncnsg
ustanova	ustanova	Ncfpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
u	u	Sa
upisnik	upisnik	Ncmsan
ustanova	ustanova	Ncfpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
upisa	upis	Ncmpg
početka	početak	Ncmsg
i	i	Cc
prestanka	prestanak	Ncmsg
rada	rad	Ncmsg
u	u	Sa
evidenciju	evidencija	Ncfsa
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
profesionalno	profesionalno	Rgp
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
upisa	upis	Ncmsg
početka	početak	Ncmsg
i	i	Cc
prestanka	prestanak	Ncmsg
rada	rad	Ncmsg
u	u	Sa
evidenciju	evidencija	Ncfsa
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
obrtnika	obrtnik	Ncmpg
koji	koji	Pi-mpn
pružaju	pružati	Vmr3p
socijalne	socijalan	Agpfpay
usluge	usluga	Ncfpa
;	;	Z
rješava	rješavati	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
upisa	upis	Ncmsg
u	u	Sa
Registar	registar	Ncmsan
obiteljskih	obiteljski	Agpmpgy
medijatora	medijator	Ncmpg
i	i	Cc
vodi	voditi	Vmr3s
Registar	registar	Ncmsan
obiteljskih	obiteljski	Agpmpgy
medijatora	medijator	Ncmpg
;	;	Z
izrađuje	izrađivati	Vmr3s
odluke	odluka	Ncfpa
o	o	Sl
davanju	davanje	Ncnsl
suglasnosti	suglasnost	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
stjecanja	stjecanje	Ncnsg
,	,	Z
otuđenja	otuđenje	Ncnsg
ili	ili	Cc
opterećenja	opterećenje	Ncnsg
imovine	imovina	Ncfsg
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
upis	upis	Ncmsan
i	i	Cc
brisanje	brisanje	Ncnsa
zabilježbe	zabilježba	Ncfsg
na	na	Sl
nekretninama	nekretnina	Ncfpl
;	;	Z
odlučuje	odlučivati	Vmr3s
o	o	Sl
zahtjevima	zahtjev	Ncmpl
za	za	Sa
odgodu	odgoda	Ncfsa
plaćanja	plaćanje	Ncnsg
,	,	Z
obročnu	obročan	Agpfsay
otplatu	otplata	Ncfsa
duga	dug	Ncmsg
te	te	Cc
prodaju	prodati	Vmr3p
,	,	Z
otpis	otpis	Ncmsan
ili	ili	Cc
djelomičan	djelomičan	Agpmsnn
otpis	otpis	Ncmsn
potraživanja	potraživanje	Ncnsg
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
kolektivnim	kolektivan	Agpnsiy
ugovaranjem	ugovaranje	Ncnsi
i	i	Cc
praćenjem	praćenje	Ncnsi
istih	isti	Agpmpgy
;	;	Z
podnosi	podnositi	Vmr3s
izvješća	izvješće	Ncnpa
o	o	Sl
učinjenom	učiniti	Ncnsl
u	u	Sl
kvantitativnom	kvantitativan	Agpmsly
i	i	Cc
kvalitativnom	kvalitativan	Agpmsly
smislu	smisao	Ncmsl
,	,	Z
brine	brinuti	Vmr3s
da	da	Cs
svaki	svaki	Pi-msn
rashod	rashod	Ncmsn
bude	biti	Var3s
opravdan	opravdati	Appmsnn
stvarnom	stvaran	Agpfsiy
potrebom	potreba	Ncfsi
i	i	Cc
potvrđen	potvrditi	Appmsnn
prethodnom	prethodan	Agpfsiy
kontrolom	kontrola	Ncfsi
