izvoditelj	izvoditelj	Ncmsn
/	/	Z
i	i	Cc
)	)	Z
,	,	Z

7.	7.	Mdo
broju	broj	Ncmsl
i	i	Cc
zaduženjima	zaduženje	Ncnpl
volontera	volonter	Ncmpg
i	i	Cc
planiranom	planiran	Agpmsly
broju	broj	Ncmsl
volonterskih	volonterski	Agpmpgy
sati	sat	Ncmpg
,	,	Z

8.	8.	Mdo
broju	broj	Ncmsl
zaposlenih	zaposlen	Agpfpgy
osoba	osoba	Ncfpg
i	i	Cc
vanjskih	vanjski	Agpmpgy
stručnih	stručan	Agpmpgy
suradnika	suradnik	Ncmpg
koji	koji	Pi-mpn
će	htjeti	Var3p
sudjelovati	sudjelovati	Vmn
u	u	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmsg
ili	ili	Cc
projekta	projekt	Ncmsg
,	,	Z

9.	9.	Mdo
relevantnim	relevantan	Agpnply
iskustvima	iskustvo	Ncnpl
,	,	Z
postignućima	postignuće	Ncmpi
i	i	Cc
sposobnostima	sposobnost	Ncfpl
prijavitelja	prijavitelj	Ncmpg
(	(	Z
i	i	Cc
partnera	partner	Ncmpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
)	)	Z
da	da	Cs
provede	provesti	Vmr3s
predloženi	predložen	Agpmsayn
program	program	Ncmsan
ili	ili	Cc
projekt	projekt	Ncmsan
,	,	Z

10.	10.	Mdo
opisu	opis	Ncmsl
stanja	stanje	Ncnsg
u	u	Sl
području	područje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
predmetom	predmet	Ncmsi
natječaja	natječaj	Ncmsg
i	i	Cc
problemu	problem	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
želi	željeti	Vmr3s
riješiti	riješiti	Vmn
programom	program	Ncmsi
ili	ili	Cc
projektom	projekt	Ncmsi
i	i	Cc
načinu	način	Ncmsl
procjene	procjena	Ncfsg
potreba	potreba	Ncfpg

11.	11.	Mdo
glavnim	glavni	Agpfply
aktivnostima	aktivnost	Ncfpl
koje	koji	Pi-fpn
će	htjeti	Var3p
se	sebe	Px--sa
provoditi	provoditi	Vmn
,	,	Z
njihovim	njihov	Ps3mpi
nositeljima	nositelj	Ncmpi
,	,	Z
vremenskom	vremenski	Agpmsly
okviru	okvir	Ncmsl
i	i	Cc
metodama	metoda	Ncfpl
provedbe	provedba	Ncfsg
,	,	Z

12.	12.	Mdo
ulogama	uloga	Ncfpi
,	,	Z
zadacima	zadatak	Ncmpi
i	i	Cc
obvezama	obveza	Ncfpi
prijavitelja	prijavitelj	Ncmpg
i	i	Cc
partnera	partner	Ncmpg
u	u	Sl
provedbi	provedba	Ncfsl
pojedinih	pojedini	Agpfpgy
provedbenih	provedbeni	Agpfpgy
aktivnosti	aktivnost	Ncfpg
programa	program	Ncmsg
ili	ili	Cc
projekta	projekt	Ncmsg
,	,	Z

13.	13.	Mdo
očekivanim	očekivati	Agpmpiy
rezultatima	rezultat	Ncmpi
,	,	Z

14.	14.	Mdo
ciljevima	cilj	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
namjeravaju	namjeravati	Vmr3p
ostvariti	ostvariti	Vmn
provedbom	provedba	Ncfsi
predloženog	predložen	Agpmsgy
programa	program	Ncmsg
ili	ili	Cc
projekta	projekt	Ncmsg
,	,	Z

15.	15.	Mdo
izravnim	izravan	Agpfpiy
i	i	Cc
neizravnim	neizravan	Agpmpiy
korisnicima	korisnik	Ncmpi
obuhvaćenim	obuhvatiti	Agpmsiy
programom	program	Ncmsi
ili	ili	Cc
