prestaju	prestajati	Vmr3p
na	na	Sl
kraju	kraj	Ncmsl
radnog	radni	Agpmsgy
dana	dan	Ncmsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Trenutak	trenutak	Ncmsn
prihvata	prihvat	Ncmsg
,	,	Z
trenutak	trenutak	Ncmsn
neopozivosti	neopozivost	Ncfsg

1.	1.	Mdo
U	u	Sa
svrhu	svrha	Ncfsa
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
prve	prvi	Mlofsg
rečenice	rečenica	Ncfsg
i	i	Cc
članka	članak	Ncmsg
5.	5.	Mdo
Direktive	direktiva	Ncfsg
98/26	98/26	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
konačnosti	konačnost	Ncfsl
namire	namiriti	Vmr3p
u	u	Sl
platnim	platni	Agpmply
sustavima	sustav	Ncmpl
i	i	Cc
sustavima	sustav	Ncmpl
za	za	Sa
namiru	namira	Ncfsa
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z
nalozi	nalog	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
likvidnosti	likvidnost	Ncfsg
s	sa	Sg
DCA-a	DCA	Npmsg
na	na	Sa
DCA	DC	Npmsay
i	i	Cc
nalozi	nalog	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
likvidnosti	likvidnost	Ncfsg
s	sa	Sg
DCA-a	DCA	Npmsg
na	na	Sl
PM	P	Npmsl
prihvaćeni	prihvatiti	Appmpny
su	biti	Var3p
u	u	Sa
sustav	sustav	Ncmsan
TARGET2-HR	TARGET2-HR	Npmsan
i	i	Cc
neopozivi	neopoziv	Agpmpny
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
terećen	teretiti	Appmsnn
DCA	DC	Npmsay
odgovarajućeg	odgovarajući	Agpmsgy
imatelja	imatelj	Ncmsg
DCA-a	DCA	Npmsg
.	.	Z

Nalozi	nalog	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
likvidnosti	likvidnost	Ncfsg
s	sa	Sg
PM-a	PM	Npmsg
na	na	Sl
DCA	DC	Npmsl
uređeni	urediti	Appmpny
su	biti	Var3p
Usklađenim	uskladiti	Agpmpiy
uvjetima	uvjet	Ncmpi
za	za	Sa
otvaranje	otvaranje	Ncnsa
i	i	Cc
funkcioniranje	funkcioniranje	Ncnsa
PM		Agcmpgy
računa	račun	Ncmpg
u	u	Sl
sustavu	sustav	Ncmsl
TARGET2	TARGET	Npmsl
koji	koji	Pi-mpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
na	na	Sa
komponentu	komponenta	Ncfsa
sustava	sustav	Ncmsg
TARGET2	TARGET2	Mdo
iz	iz	Sg
koje	koji	Pi-fsg
potječu	potjecati	Vmr3p
ti	taj	Pd-mpn
nalozi	nalog	Ncmpn
.	.	Z

2.	2.	Mdo
U	u	Sa
svrhu	svrha	Ncfsa
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
prve	prvi	Mlofsg
rečenice	rečenica	Ncfsg
i	i	Cc
članka	članak	Ncmsg
5.	5.	Mdo
Direktive	direktiva	Ncfsg
98/26	98/26	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
konačnosti	konačnost	Ncfsl
namire	namiriti	Vmr3p
u	u	Sl
platnim	platni	Agpmply
sustavima	sustav	Ncmpl
i	i	Cc
sustavima	sustav	Ncmpl
za	za	Sa
namiru	namira	Ncfsa
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z
za	za	Sa
sve	sav	Agpfpay
transakcije	transakcija	Ncfpa
namire	namiriti	Vmr3p
na	na	Sl
namjenskim	namjenski	Agpmply
novčanim	novčan	Agpmply
računima	račun	Ncmpl
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
usklađivanje	usklađivanje	Ncnsa
dvaju	dva	Mlcm-g
različitih	različit	Agpmpgy
naloga	nalog	Ncmpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
,	,	Z
uzima	uzimati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
ti	taj	Pd-mpn
nalozi	nalog	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
prihvaćeni	prihvatiti	Appmpny
u	u	Sa
sustav	sustav	Ncmsan
TARGET2-HR	TARGET2-HR	Npmsan
i	i	Cc
neopozivi	neopoziv	Agpmpny
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
terećen	teretiti	Appmsnn
DCA	DC	Npmsay
odgovarajućeg	odgovarajući	Agpmsgy
imatelja	imatelj	Ncmsg
DCA-a	DCA	Npmsg
.	.	Z

3.	3.	Mdo
Pravilo	pravilo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
pravilima	pravilo	Ncnpl
iz	iz	Sg
ovog	ovaj	Pd-msg
stavka	stavak	Ncmsg
dva	dva	Mlc
tjedna	tjedan	Ncmsg
nakon	nakon	Cs
što	što	Cs
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
ESB-a	ESB	Npmsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
sklopljen	sklopiti	Appmsnn
sporazum	sporazum	Ncmsn
o	o	Sl
davanju	davanje	Ncnsl
informacija	informacija	Ncfpg
i	i	Cc
odgovornosti	odgovornost	Ncfsg
između	između	Sg
središnjih	središnji	Agpfpgy
banaka	banka	Ncfpg
Eurosustava	Eurosustav	Npmsg
i	i	Cc
povezanih	povezan	Agpfpgy
nacionalnih	nacionalan	Agpfpgy
središnjih	središnji	Agpfpgy
banaka	banka	Ncfpg
s	sa	Sg
jedne	jedan	Mlcfsg
strane	strana	Ncfsg
i	i	Cc
središnjih	središnji	Agpmpgy
depozitorija	depozitorij	Ncmpg
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
sustavu	sustav	Ncmsl
T2S	t	Agpmply
na	na	Sa
datum	datum	Ncmsan
sklapanja	sklapanje	Ncnsg
tog	taj	Pd-msg
sporazuma	sporazum	Ncmsg
s	sa	Sg
druge	drugi	Mlofsg
strane	strana	Ncfsg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
za	za	Sa
sve	sav	Agpfpay
transakcije	transakcija	Ncfpa
namirene	namiriti	Appfpay
na	na	Sl
namjenskim	namjenski	Agpmply
novčanim	novčan	Agpmply
računima	račun	Ncmpl
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
usklađivanja	usklađivanje	Ncnsg
dvaju	dva	Mlcm-g
različitih	različit	Agpmpgy
naloga	nalog	Ncmpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
,	,	Z
uzima	uzimati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
ti	taj	Pd-mpn
nalozi	nalog	Ncmpn
za	za	Sa
plaćanje	plaćanje	Ncnsa
prihvaćeni	prihvatiti	Appmpny
u	u	Sa
sustav	sustav	Ncmsan
TARGET2-HR	target2-	Agpmply
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
kao	kao	Cs
usklađeni	uskladiti	Appmpny
s	sa	Si
tehničkim	tehnički	Agpnpiy
pravilima	pravilo	Ncnpi
sustava	sustav	Ncmsg
T2S	T2S	Npmsn
od	od	Sg
strane	strana	Ncfsg
platforme	platforma	Ncfsg
sustava	sustav	Ncmsg
T2S	T2S	Npmsn
i	i	Cc
neopozivi	neopoziv	Agpmpny
u	u	Sl
