priložena	priložiti	Appfsny
prometna	prometan	Agpfsny
dozvola	dozvola	Ncfsn
,	,	Z
dokaz	dokaz	Ncmsn
o	o	Sl
identitetu	identitet	Ncmsl
i	i	Cc
prijavljenoj	prijaviti	Agpfsly
adresi	adresa	Ncfsl
prebivališta	prebivalište	Ncnsg
,	,	Z
boravišta	boravište	Ncnsg
,	,	Z
privremenog	privremen	Agpnsgy
ili	ili	Cc
stalnog	stalan	Agpmsgy
boravka	boravak	Ncmsg
ili	ili	Cc
sjedišta	sjedište	Ncnsg
te	te	Cc
potvrda	potvrda	Ncfsn
ili	ili	Cc
druga	drugi	Mlofsn
javna	javan	Agpfsny
isprava	isprava	Ncfsn
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
podatak	podatak	Ncmsan
o	o	Sl
osobnom	osoban	Agpmsly
identifikacijskom	identifikacijski	Agpmsly
broju	broj	Ncmsl
,	,	Z
a	a	Cc
za	za	Sa
vozila	vozilo	Ncnpa
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
i	i	Cc
ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
produženja	produženje	Ncnsg
važenja	važenje	Ncnsg
prometne	prometan	Agpfsgy
dozvole	dozvola	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
potvrda	potvrda	Ncfsn
ili	ili	Cc
druga	drugi	Mlofsn
javna	javan	Agpfsny
isprava	isprava	Ncfsn
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
podatak	podatak	Ncmsan
o	o	Sl
osobnom	osoban	Agpmsly
identifikacijskom	identifikacijski	Agpmsly
broju	broj	Ncmsl
ne	ne	Qz
prilaže	prilagati	Vmr3s
se	sebe	Px--sa
kod	kod	Sg
produženja	produženje	Ncnsg
važenja	važenje	Ncnsg
prometne	prometan	Agpfsgy
dozvole	dozvola	Ncfsg
za	za	Sa
vozilo	vozilo	Ncnsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
3.	3.	Mdo

