navedenog	naveden	Agpnsgy
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
obvezi	obveza	Ncfsl
su	biti	Var3p
primjenjivati	primjenjivati	Vmn
metodologiju	metodologija	Ncfsa
rada	rad	Ncmsg
koju	koji	Pi-fsa
utvrđuje	utvrđivati	Vmr3s
ministar	ministar	Ncmsn
financija	financije	Ncfpg
.	.	Z

Članak	članak	Ncmsn
32.	32.	Mdo

Načela	načelo	Ncnpn
i	i	Cc
pravila	pravilo	Ncnpa
kojih	koji	Pi-mpg
su	biti	Var3p
se	sebe	Px--sa
unutarnji	unutarnji	Agpmpny
revizori	revizor	Ncmpn
dužni	dužan	Agpmpny
pridržavati	pridržavati	Vmn
u	u	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
uređuju	uređivati	Vmr3p
se	sebe	Px--sa
Kodeksom	kodeks	Ncmsi
strukovne	strukovni	Agpfsgy
etike	etika	Ncfsg
unutarnjih	unutarnji	Agpmpgy
revizora	revizor	Ncmpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
koji	koji	Pi-msn
donosi	donositi	Vmr3s
ministar	ministar	Ncmsn
financija	financije	Ncfpg
.	.	Z

Planiranje	planiranje	Ncnsn
i	i	Cc
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Poslovi	posao	Ncmpn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
planiraju	planirati	Vmr3p
se	sebe	Px--sa
i	i	Cc
obavljaju	obavljati	Vmr3p
prema	prema	Sl
:	:	Z

a	a	Cc
)	)	Z
strateškom	strateški	Agpmsly
planu	plan	Ncmsl
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
za	za	Sa
trogodišnje	trogodišnji	Agpnsay
razdoblje	razdoblje	Ncnsa

b	b	Npmsn
)	)	Z
godišnjem	godišnji	Agpmsly
planu	plan	Ncmsl
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg

c	C	Npmsn
)	)	Z
planu	plan	Ncmsl
pojedinačne	pojedinačan	Agpfsgy
revizije	revizija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Strateški	strateški	Agpmsny
i	i	Cc
godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Qo
njihove	njihov	Ps3fsg
izmjene	izmjena	Ncfsg
i	i	Cc
dopune	dopuna	Ncfsg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
,	,	Z
predlaže	predlagati	Vmr3s
rukovoditelj	rukovoditelj	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
,	,	Z
a	a	Cc
donosi	donositi	Vmr3s
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
institucije	institucija	Ncfsg
,	,	Z
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
