službena	služben	Agpnpny
putovanja	putovanje	Ncnpn
,	,	Z
naknade	naknada	Ncfsg
za	za	Sa
prijevoz	prijevoz	Ncmsan
,	,	Z
za	za	Sa
rad	rad	Ncmsan
na	na	Sl
terenu	teren	Ncmsl
i	i	Cc
odvojeni	odvojiti	Agpmsayn
život	život	Ncmsan
,	,	Z
stručno	stručan	Agpnsny
usavršavanje	usavršavanje	Ncnsn
zaposlenika	zaposlenik	Ncmpg
te	te	Cc
ostale	ostali	Agpfpny
naknade	naknada	Ncfpn
troškova	trošak	Ncmpg
zaposlenima	zaposlen	Agpmpiy
.	.	Z

U	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
ovi	ovaj	Pd-mpn
rashodi	rashod	Ncmpn
iznosili	iznositi	Vmp-pm
su	biti	Var3p
913	913	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
.	.	Z
«	«	Z

60.	60.	Mdo

Iz	iz	Sg
navedenih	naveden	Agpmpgy
dijelova	dio	Ncmpg
očitovanja	očitovanje	Ncnsg
,	,	Z
a	a	Cc
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
i	i	Cc
ostale	ostali	Agpmpay
navode	navod	Ncmpa
Ministarstva	ministarstvo	Ncnsg
rada	rad	Ncmsg
o	o	Sl
makroekonomskim	makroekonomski	Agpmply
pokazateljima	pokazatelj	Ncmpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
,	,	Z
razvidno	razvidan	Agpnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
osporena	osporiti	Appfsny
zakonska	zakonski	Agpfsny
mjera	mjera	Ncfsn
poduzeta	poduzeti	Appfsny
zbog	zbog	Sg
bitno	bitno	Rgp
lošijeg	loš	Agpnsgy
gospodarskog	gospodarski	Agpnsgy
stanja	stanje	Ncnsg
u	u	Sl
zemlji	zemlja	Ncfsl
u	u	Sl
usporedbi	usporedba	Ncfsl
s	sa	Si
onim	onaj	Pd-nsi
iz	iz	Sg
2004.	2004.	Mdo
godine	godina	Ncfsg
(	(	Z
BDP	BDP	Npmsn
je	biti	Var3s
zabilježio	zabilježiti	Vmp-sm
pad	pad	Ncmsan
na	na	Sa
327,2	327,i	Agpfpay
milijarde	milijarda	Ncfpa
kuna	kuna	Ncfpg
,	,	Z
javni	javan	Agpmsny
dug	dug	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
hrvatski	hrvatski	Agpmsayn
BDP	BDP	Npmsn
premašio	premašiti	Vmp-sm
je	biti	Var3s
80	80	Mdc
posto	posto	Rgp
,	,	Z
inozemni	inozeman	Agpmsny
dug	dug	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
premašio	premašiti	Vmp-sm
je	biti	Var3s
iznos	iznos	Ncmsan
od	od	Sg
47	47	Mdc
milijardi	milijarda	Ncfpg
eura	euro	Ncmpg
,	,	Z
stopa	stopa	Ncfsn
registrirane	registriran	Agpfsgy
nezaposlenosti	nezaposlenost	Ncfsg
premašila	premašiti	Vmp-sf
je	biti	Var3s
20	20	Mdc
posto	posto	Rgp
,	,	Z
a	a	Cc
deficit	deficit	Ncmsn
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
BDP	BDP	Npmsan
približio	približiti	Vmp-sm
se	sebe	Px--sa
pet	pet	Mlc
posto	posto	Rgp
)	)	Z
.	.	Z

Štoviše	štoviše	Rgp
,	,	Z
kako	kako	Cs
se	sebe	Px--sa
za	za	Sa
2014.	2014.	Mdo
godinu	godina	Ncfsa
nisu	biti	Var3p
ostvarile	ostvariti	Vmp-pf
projekcije	projekcija	Ncfpn
pozitivnih	pozitivan	Agpnpgy
kretanja	kretanje	Ncnpg
već	već	Rgp
su	biti	Var3p
se	sebe	Px--sa
svi	sav	Agpmpny
negativni	negativan	Agpmpny
ekonomski	ekonomski	Agpmpny
trendovi	trend	Ncmpn
nastavili	nastaviti	Vmp-pm
i	i	Qo
tijekom	tijekom	Sg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
Vlada	vlada	Ncfsn
je	biti	Var3s
u	u	Sl
cilju	cilj	Ncmsl
održavanja	održavanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
stabilnosti	stabilnost	Ncfsg
u	u	Sl
prvom	prvi	Mlonsl
tromjesečju	tromjesečje	Ncnsl
2015.	2015.	Mdo
godine	godina	Ncfsg
donijela	donijeti	Vmp-sf
uredbu	uredba	Ncfsa
na	na	Sl
temelju	temelj	Ncmsl
zakonske	zakonski	Agpfsgy
ovlasti	ovlast	Ncfsg
(	(	Z
Uredba	uredba	Ncfsn
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg
)	)	Z
,	,	Z
kojom	koji	Pi-fsi
je	biti	Var3s
produljila	produljiti	Vmp-sf
važenje	važenje	Ncnsa
ZUPUP-a	ZUPUP	Npmsg
do	do	Sg
31.	31.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

61.	61.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
rada	rad	Ncmsg
je	biti	Var3s
u	u	Sl
očitovanju	očitovanje	Ncnsl
od	od	Sg
16.	16.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
naglasilo	naglasiti	Vmp-sn
očekivane	očekivati	Agpfpay
uštede	ušteda	Ncfpa
u	u	Sl
državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
koje	koji	Pi-fpn
se	sebe	Px--sa
planiraju	planirati	Vmr3p
ostvariti	ostvariti	Vmn
Uredbom	uredba	Ncfsi
/	/	Z
I-ZUPUP-a	I-ZUPUP	Npmsg
i	i	Cc
koje	koji	Pi-fpn
su	biti	Var3p
se	sebe	Px--sa
dosad	dosad	Rgp
ostvarile	ostvariti	Vmp-pf
donošenjem	donošenje	Ncnsi
ZUPUP-a	ZUPUP	Npmsg
i	i	Cc
Uredbe	uredba	Ncfpn
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg
:	:	Z

»	»	Z
Rashodi	rashod	Ncmpn
za	za	Sa
zaposlene	zaposlen	Agpmpay
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
za	za	Sa
2015.	2015.	Mdo
godinu	godina	Ncfsa
,	,	Z
a	a	Cc
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
sredstva	sredstvo	Ncnpa
osiguravaju	osiguravati	Vmr3p
iz	iz	Sg
izvora	izvor	Ncmsg
financiranja	financiranje	Ncnsg
opći	opći	Agpmpny
prihodi	prihod	Ncmpn
i	i	Cc
primici	primitak	Ncmpn
,	,	Z
doprinosi	doprinositi	Vmr3s
za	za	Sa
obvezna	obvezan	Agpnpay
osiguranja	osiguranje	Ncnpa
te	te	Cc
namjenski	namjenski	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
zaduživanja	zaduživanje	Ncnsg
,	,	Z
planirani	planirati	Appmpny
su	biti	Var3p
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
21,1	21,1	Mdc
milijarde	milijarda	Ncfsg
kuna	kuna	Ncfpg
što	što	Pi3n-n
je	biti	Var3s
za	za	Sa
250	250	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
manje	malo	Rgc
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
2014.	2014.	Mdo
godinu	godina	Ncfsa
.	.	Z

Pri	pri	Sl
tom	taj	Pd-nsl
se	sebe	Px--sa
mjere	mjera	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
se	sebe	Px--sa
započele	započeti	Vmp-pf
provoditi	provoditi	Vmn
u	u	Sl
2014.	2014.	Mdo
nastavljaju	nastavljati	Vmr3p
i	i	Qo
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
.	.	Z

Tako	tako	Rgp
je	biti	Var3s
u	u	Sa
planiranu	planiran	Agpfsay
strukturnu	strukturni	Agpfsay
uštedu	ušteda	Ncfsa
uključena	uključen	Agpfsny
i	i	Cc
primjena	primjena	Ncfsn
Uredbe	uredba	Ncfsg
o	o	Sl
izmjeni	izmjena	Ncfsl
Zakona	zakon	Ncmsg
o	o	Sl
uskrati	uskratiti	Ncfsl
prava	pravo	Ncnpa
na	na	Sa
uvećanje	uvećanje	Ncnsa
plaća	plaća	Ncfpg
po	po	Sl
osnovi	osnova	Ncfsl
ostvarenih	ostvariti	Agpfpgy
godina	godina	Ncfpg
radnog	radni	Agpmsgy
staža	staž	Ncmsg
u	u	Sl
visini	visina	Ncfsl
4	4	Mdc
%	%	Z
,	,	Z
8	8	Mdc
%	%	Z
i	i	Cc
10	10	Mdc
%	%	Z
za	za	Sa
zaposlene	zaposlen	Agpmpay
u	u	Sl
državnim	državni	Agpmply
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
(	(	Z
procjena	procjena	Ncfsn
70	70	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
)	)	Z
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
uključene	uključiti	Appfpny
su	biti	Var3p
i	i	Qo
dodatne	dodatan	Agpfpny
uštede	ušteda	Ncfpn
temeljem	temelj	Sg
smanjenja	smanjenje	Ncnsg
dužnosničkih	dužnosnički	Agpfpgy
plaća	plaća	Ncfpg
iz	iz	Sg
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z

Uključeni	uključiti	Appmpny
su	biti	Var3p
i	i	Cc
dodatni	dodatan	Agpmpny
fiksni	fiksan	Agpmpny
učinci	učinak	Ncmpn
ukidanja	ukidanje	Ncnsg
dodataka	dodatak	Ncmpg
u	u	Sl
sustavima	sustav	Ncmpl
obrane	obrana	Ncfsg
i	i	Cc
pravosuđa	pravosuđe	Ncnsg
kao	kao	Cs
i	i	Qo
izmjene	izmjena	Ncfsg
obračuna	obračun	Ncmsg
dodatka	dodatak	Ncmsg
na	na	Sa
osnovnu	osnovan	Agpfsay
plaću	plaća	Ncfsa
u	u	Sl
sustavu	sustav	Ncmsl
znanosti	znanost	Ncfsg
.	.	Z

U	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
uvedena	uveden	Agpfsny
je	biti	Var3s
i	i	Qo
dodatna	dodatan	Agpfsny
mjera	mjera	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
plaće	plaća	Ncfpa
državnih	državni	Agpmpgy
dužnosnika	dužnosnik	Ncmpg
čija	čiji	Pi-fsn
je	biti	Var3s
osnovica	osnovica	Ncfsn
za	za	Sa
obračun	obračun	Ncmsan
plaće	plaća	Ncfsg
smanjena	smanjiti	Appfsny
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
o	o	Sl
visini	visina	Ncfsl
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
plaća	plaća	Ncfpg
državnih	državni	Agpmpgy
dužnosnika	dužnosnik	Ncmpg
počevši	početi	Rr
s	sa	Si
plaćom	plaća	Ncfsi
za	za	Sa
mjesec	mjesec	Ncmsan
prosinac	prosinac	Ncmsan
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z

Ovim	ovaj	Pd-msi
se	sebe	Px--sa
navedena	navesti	Appfsny
osnovica	osnovica	Ncfsn
smanjuje	smanjivati	Vmr3s
za	za	Sa
daljnjih	daljnji	Agpmpgy
8	8	Mdc
%	%	Z
.	.	Z
...	...	Z

Povećanje	povećanje	Ncnsn
stope	stopa	Ncfsg
doprinosa	doprinos	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
s	sa	Si
13	13	Mdc
%	%	Z
na	na	Sa
15	15	Mdc
%	%	Z
iz	iz	Sg
travnja	travanj	Ncmsg
prethodne	prethodan	Agpfsgy
godine	godina	Ncfsg
ima	imati	Vmr3s
svoj	svoj	Px-msan
učinak	učinak	Ncmsan
i	i	Cc
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
.	.	Z

Jedna	jedan	Mlcfsn
od	od	Sg
ključnih	ključan	Agpfpgy
izmjena	izmjena	Ncfpg
je	biti	Var3s
i	i	Qo
izlazak	izlazak	Ncmsan
HZZO-a	HZZO	Npmsg
iz	iz	Sg
državne	državni	Agpfsgy
riznice	riznica	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
također	također	Rgp
rezultiralo	rezultirati	Vmp-sn
smanjenjem	smanjenje	Ncnsi
ove	ovaj	Pd-fsg
kategorije	kategorija	Ncfsg
rashoda	rashod	Ncmpg
za	za	Sa
zaposlene	zaposlen	Agpmpay
na	na	Sl
razini	razina	Ncfsl
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

Uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
sve	sav	Agpnsny
navedeno	navesti	Appnsny
,	,	Z
planirane	planirati	Appfpny
neto	neto	Agpfpny
strukturne	strukturni	Agpfpny
fiskalne	fiskalan	Agpfpny
uštede	ušteda	Ncfpn
iznose	iznositi	Vmr3p
250	250	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
.	.	Z
«	«	Z

61.1.	61.1.	Mdo

Kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
postotku	postotak	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
poduzeta	poduzet	Agpfsny
mjera	mjera	Ncfsn
pridonijeti	pridonijeti	Vmn
»	»	Z
korektivnoj	korektivan	Agpfsly
proceduri	procedura	Ncfsl
prekomjernog	prekomjeran	Agpmsgy
deficita	deficit	Ncmsg
«	«	Z
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
rada	rad	Ncmsg
navelo	navesti	Vmp-sn
je	biti	Var3s
sljedeće	sljedeći	Agpnsny
:	:	Z

»	»	Z
Temeljem	temelj	Ncmsi
razmatranja	razmatranje	Ncnsg
Programa	program	Ncmsg
konvergencije	konvergencija	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2017.	2017.	Mdo
,	,	Z
a	a	Cc
koji	koji	Pi-msn
ujedno	ujedno	Rgp
predstavlja	predstavljati	Vmr3s
i	i	Cc
prvo	prvo	Rgp
službeno	služben	Agpnsny
izvješće	izvješće	Ncnsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
o	o	Sl
provedbi	provedba	Ncfsl
mjera	mjera	Ncfpg
ekonomske	ekonomski	Agpfsgy
politike	politika	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
korekcije	korekcija	Ncfsg
prekomjernog	prekomjeran	Agpmsgy
proračunskog	proračunski	Agpmsgy
manjka	manjak	Ncmsg
,	,	Z
2.	2.	Mdo
lipnja	lipanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
je	biti	Var3s
utvrdila	utvrditi	Vmp-sf
kako	kako	Cs
je	biti	Var3s
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
poduzela	poduzeti	Vmp-sf
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
u	u	Sa
svrhu	svrha	Ncfsa
korigiranja	korigiranje	Ncnsg
proračunskih	proračunski	Agpfpgy
neravnoteža	neravnoteža	Ncfpg
.	.	Z

(...)	(...)	Ncfsn

Uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
'	'	Z
bottom-up	bottom-ui	Agpnsny
'	'	Z
pristup	pristup	Ncmsan
,	,	Z
Komisija	komisija	Ncfsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
neznatno	neznatno	Rgp
premašila	premašiti	Vmp-sf
traženi	tražen	Agpmsayn
fiskalni	fiskalan	Agpmsayn
napor	napor	Ncmsan
od	od	Sg
2,3	2,3	Mdc
%	%	Z
BDP-a	BDP	Ncmsg
.	.	Z

Međutim	međutim	Rgp
,	,	Z
sukladno	sukladno	Rgp
preliminarnim	preliminaran	Agpmpiy
podacima	podatak	Ncmpi
o	o	Sl
izvršenju	izvršenje	Ncnsl
proračuna	proračun	Ncmsg
za	za	Sa
2014.	2014.	Mdo
godinu	godina	Ncfsa
predviđene	predvidjeti	Agpfpay
uštede	ušteda	Ncfpa
na	na	Sl
svim	sav	Agpfply
kategorijama	kategorija	Ncfpl
rashoda	rashod	Ncmpg
ostvarene	ostvariti	Appfpny
su	biti	Var3p
iznad	iznad	Sg
planiranih	planiran	Agpmpgy
,	,	Z
te	te	Cc
je	biti	Var3s
procijenjeni	procijeniti	Appmsny
fiskalni	fiskalan	Agpmsayn
napor	napor	Ncmsan
na	na	Sl
razini	razina	Ncfsl
od	od	Sg
2,6	2,6	Mdc
%	%	Z
BDP-a	BDP	Ncmsg
.	.	Z

Zakon	zakon	Ncmsn
o	o	Sl
uskrati	uskratiti	Ncfsl
prava	pravo	Ncnpa
na	na	Sa
uvećanje	uvećanje	Ncnsa
plaće	plaća	Ncfsg

