iziskuju	iziskivati	Vmr3p
smjenski	smjenski	Agpmsayn
rad	rad	Ncmsan
,	,	Z
radni	radni	Agpmsayn
tjedan	tjedan	Ncmsan
traje	trajati	Vmr3s
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
.	.	Z

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
svojom	svoj	Px-fsi
odlukom	odluka	Ncfsi
utvrditi	utvrditi	Vmn
početak	početak	Ncmsan
i	i	Cc
završetak	završetak	Ncmsan
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
preraspodjelu	preraspodjela	Ncfsa
i	i	Cc
raspored	raspored	Ncmsan
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Cc
klizno	klizni	Agpnsny
radno	radni	Agpnsay
vrijeme	vrijeme	Ncnsa
.	.	Z

Polugodišnji	polugodišnji	Agpmsny
fond	fond	Ncmsn
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
radnika	radnik	Ncmpg
kod	kod	Sg
poslodavca	poslodavac	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
usklađen	uskladiti	Appmsnn
sa	sa	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
38.	38.	Mdo

Ako	ako	Cs
narav	narav	Ncfsn
posla	posao	Ncmsg
to	taj	Pd-nsa
zahtijeva	zahtijevati	Vmr3s
,	,	Z
puno	puno	Rgp
ili	ili	Cc
nepuno	nepun	Agpnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
može	moći	Vmr3s
se	sebe	Px--sa
preraspodijeliti	preraspodijeliti	Vmn
tako	tako	Cs
da	da	Cs
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
koje	koji	Pi-nsa
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
duže	dugo	Rgc
od	od	Sg
dvanaest	dvanaest	Mlc
neprekidnih	neprekidan	Agpmpgy
mjeseci	mjesec	Ncmpg
,	,	Z
u	u	Sl
jednom	jedan	Mlcmsl
razdoblju	razdoblje	Ncnsl
traje	trajati	Vmr3s
duže	dugo	Rgc
,	,	Z
a	a	Cc
u	u	Sl
drugom	drugi	Mlonsl
razdoblju	razdoblje	Ncnsl
kraće	kratko	Rgc
od	od	Sg
punog	pun	Agpmsgy
ili	ili	Cc
nepunog	nepun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
prosječno	prosječan	Agpnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
tijekom	tijekom	Sg
trajanja	trajanje	Ncnsg
preraspodjele	preraspodjela	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
duže	dug	Agcnsny
od	od	Sg
punog	pun	Agpmsgy
ili	ili	Cc
nepunog	nepun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
preraspodijeljeno	preraspodijeliti	Appnsny
,	,	Z
ono	on	Pp3nsn
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
u	u	Sl
kojem	koji	Pi-msl
traje	trajati	Vmr3s
duže	dugo	Rgc
od	od	Sg
punog	pun	Agpmsgy
ili	ili	Cc
nepunog	nepun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
prekovremeni	prekovremeni	Agpmsayn
rad	rad	Ncmsan
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
duže	dugo	Rgc
dulje	dugo	Rgc
od	od	Sg
48	48	Mdc
sati	sat	Ncmpg
tjedno	tjedno	Rgp
,	,	Z
odnosno	odnosno	Rgp
od	od	Sg
pedesetišest	pedesetišest	Mlc
(	(	Z
56	56	Mdc
)	)	Z
sati	sat	Ncmpg
tjedno	tjedno	Rgp
ako	ako	Cs
radnik	radnik	Ncmsn
dostavi	dostaviti	Vmr3s
poslodavcu	poslodavac	Ncmsd
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
o	o	Sl
pristanku	pristanak	Ncmsl
na	na	Sa
takav	takav	Pd-msan
rad	rad	Ncmsan
.	.	Z

Preraspodijeljeno	preraspodijeliti	Appnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
u	u	Sl
razdoblju	razdoblje	Ncnsl
koje	koji	Pi-nsn
traje	trajati	Vmr3s
duže	dugo	Rgc
od	od	Sg
punog	pun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
može	moći	Vmr3s
trajati	trajati	Vmn
najduže	dugo	Rgs
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
.	.	Z

Preraspodijeljeno	preraspodijeliti	Appnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
prekovremenim	prekovremeni	Agpmsiy
radom	rad	Ncmsi
.	.	Z

Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
pismeno	pismeno	Rgp
obavijestiti	obavijestiti	Vmn
radnika	radnik	Ncmpg
o	o	Sl
preraspodijeljenom	preraspodijeliti	Agpnsly
radnom	radni	Agpnsly
vremenu	vrijeme	Ncnsl
najmanje	malo	Rgs
sedam	sedam	Sg
dana	dan	Ncmpg
ranije	rano	Rgc
.	.	Z

Preraspodijeljeno	preraspodijeliti	Appnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
se	sebe	Px--sa
svodi	svoditi	Vmr3s
na	na	Sa
puno	pun	Agpnsay
radno	radni	Agpnsay
vrijeme	vrijeme	Ncnsa
u	u	Sl
siječnju	siječanj	Ncmsl
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Članak	članak	Ncmsn
39.	39.	Mdo

Noćni	noćni	Agpmsny
rad	rad	Ncmsn
je	biti	Var3s
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
u	u	Sl
vremenu	vrijeme	Ncnsl
između	između	Sg
dvadeset	dvadeset	Mlc
dva	dva	Mlc
sata	sat	Ncmsg
uvečer	uvečer	Rgp
i	i	Cc
šest	šest	Mlc
sati	sat	Ncmpg
ujutro	ujutro	Rgp
idućega	idući	Agpmsgy
dana	dan	Ncmsg
.	.	Z

Noćni	noćni	Agpmsny
radnik	radnik	Ncmsn
je	biti	Var3s
radnik	radnik	Ncmsn
koji	koji	Pi-msn
prema	prema	Sl
svom	svoj	Px-msl
dnevnom	dnevni	Agpmsly
rasporedu	raspored	Ncmsl
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
redovito	redovito	Rgp
radi	raditi	Vmr3s
najmanje	malo	Rgs
tri	tri	Mlc
sata	sat	Ncmsg
u	u	Sl
vremenu	vrijeme	Ncnsl
noćnog	noćni	Agpmsgy
rada	rad	Ncmsg
,	,	Z
ili	ili	Cc
koji	koji	Pi-msn
tijekom	tijekom	Sg
uzastopnih	uzastopni	Agpmpgy
dvanaest	dvanaest	Mlc
mjeseci	mjesec	Ncmpg
radi	raditi	Vmr3s
najmanje	malo	Rgs
trećinu	trećina	Ncfsa
svoga	svoj	Px-nsg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
u	u	Sl
vremenu	vrijeme	Ncnsl
noćnoga	noćni	Agpmsgy
rada	rad	Ncmsg
.	.	Z

Članak	članak	Ncmsn
40.	40.	Mdo

Smjenskim	smjenski	Agpmsiy
radom	rad	Ncmsi
smatra	smatrati	Vmr3s
se	sebe	Px--sa
organizacija	organizacija	Ncfsn
rada	rad	Ncmsg
kod	kod	Sg
koje	koji	Pi-fsg
dolazi	dolaziti	Vmr3s
do	do	Sg
izmjene	izmjena	Ncfsg
radnika	radnik	Ncmpg
na	na	Sl
istim	isti	Agpmply
poslovima	posao	Ncmpl
i	i	Cc
istom	isti	Agpnsly
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
rasporedom	raspored	Ncmsi
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
koji	koji	Pi-msn
može	moći	Vmr3s
biti	biti	Van
prekinut	prekinuti	Appmsnn
ili	ili	Cc
neprekinut	neprekinut	Agpmsnn
.	.	Z

Smjenski	smjenski	Agpmsny
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
u	u	Sa
tri	tri	Mlc
smjene	smjena	Ncfsg
traje	trajati	Vmr3s
po	po	Sa
osam	osam	Mlc
sati	sat	Ncmpg
i	i	Cc
to	to	Qo
u	u	Sl
pravilu	pravilo	Ncnsl
:	:	Z
1.	1.	Mdo
od	od	Sg
6,00	6,00	Mdc
do	do	Sg
14,00	14,00	Mdc
sati	sat	Ncmpg
,	,	Z
2.	2.	Mdo
od	od	Sg
14,00	14,00	Mdc
do	do	Sg
22,00	22,00	Mdc
sata	sat	Ncmsg
i	i	Cc
3.	3.	Mdo
od	od	Sg
22,00	22,00	Mdc
do	do	Sg
6,00	6,00	Mdc
sati	sat	Ncmpg
;	;	Z
a	a	Cc
smjenski	smjenski	Agpmsny
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
u	u	Sa
dvije	dva	Mlcf-a
smjene	smjena	Ncfsg
traje	trajati	Vmr3s
po	po	Sa
dvanaest	dvanaest	Mlc
sati	sat	Ncmpg
i	i	Cc
to	to	Qo
u	u	Sl
pravilu	pravilo	Ncnsl
:	:	Z
1.	1.	Mdo
od	od	Sg
7,00	7,00	Mdc
do	do	Sg
19,00	19,00	Mdc
i	i	Cc
2.	2.	Mdo
od	od	Sg
19,00	19,00	Mdc
do	do	Sg
07,00.	07,00a	Ncfsg

Odluku	odluka	Ncfsa
o	o	Sl
organizaciji	organizacija	Ncfsl
smjenskog	smjenski	Agpmsgy
rada	rad	Ncmsg
donosi	donositi	Vmr3s
poslodavac	poslodavac	Ncmsn
na	na	Sa
prijedlog	prijedlog	Ncmsan
rukovoditelja	rukovoditelj	Ncmpg
organizacijskih	organizacijski	Agpfpgy
jedinica	jedinica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
poslovi	posao	Ncmpn
obavljaju	obavljati	Vmr3p
u	u	Sl
smjenama	smjena	Ncfpl
,	,	Z
s	sa	Si
time	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
radnik	radnik	Ncmsn
u	u	Sl
noćnoj	noćni	Agpfsly
smjeni	smjena	Ncfsl
radi	raditi	Vmr3s
uzastopce	uzastopce	Rgp
najduže	dugo	Rgs
jedan	jedan	Mlcmsan
tjedan	tjedan	Ncmsan
.	.	Z

Puno	pun	Agpnsny
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
smjenskih	smjenski	Agpmpgy
radnika	radnik	Ncmpg
ne	ne	Qz
mora	morati	Vmr3s
biti	biti	Van
raspoređeno	raspoređen	Agpnsny
jednako	jednak	Agpnsny
po	po	Sl
tjednima	tjedan	Ncmpl
,	,	Z
odnosno	odnosno	Rgp
mjesecima	mjesec	Ncmpd
.	.	Z

Ako	ako	Cs
je	biti	Var3s
radno	radni	Agpnsny
vrijeme	vrijeme	Ncnsn
radnika	radnik	Ncmpg
