kune	kuna	Ncfpa
po	po	Sl
tečaju	tečaj	Ncmsl
one	onaj	Pd-fsg
vrste	vrsta	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
primijenio	primijeniti	Vmp-sm
za	za	Sa
izračun	izračun	Ncmsan
konverzije	konverzija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Vjerovnik	vjerovnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
izračun	izračun	Ncmsn
konverzije	konverzija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zajedno	zajedno	Rgp
s	sa	Si
pregledom	pregled	Ncmsi
stanja	stanje	Ncnsg
svih	sav	Agpfpgy
pojedinačnih	pojedinačan	Agpfpgy
tražbina	tražbina	Ncfpg
od	od	Sg
potrošača	potrošač	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
izvodom	izvod	Ncmsi
otvorenih	otvoren	Agpmpgy
stavaka	stavak	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
i	i	Cc
osobama	osoba	Ncfpi
od	od	Sg
kojih	koji	Pi-fpg
je	biti	Var3s
zahtijevao	zahtijevati	Vmp-sm
ili	ili	Cc
ima	imati	Vmr3s
pravo	pravo	Ncnsa
zahtijevati	zahtijevati	Vmn
ispunjenje	ispunjenje	Ncnsa
obveze	obveza	Ncfsg
iz	iz	Sg
kredita	kredit	Ncmsg
u	u	Sl
CHF	cha	Ncfsl
i	i	Cc
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	CH	Npmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izračun	izračun	Ncmsn
konverzije	konverzija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
jasan	jasan	Agpmsann
pregled	pregled	Ncmsan
svih	sav	Agpfpgy
promjena	promjena	Ncfpg
i	i	Cc
iz	iz	Sg
kojega	koji	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
razumljivo	razumljiv	Agpnsny
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
način	način	Ncmsn
utvrđen	utvrditi	Appmsnn
iznos	iznos	Ncmsn
preostale	preostao	Agpfsgy
neotplaćene	neotplaćen	Agpfsgy
glavnice	glavnica	Ncfsg
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
EUR	EUR	Npmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
iznos	iznos	Ncmsn
preplate	preplata	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ako	ako	Cs
je	biti	Var3s
ona	on	Pp3fsn
utvrđena	utvrditi	Appfsny
,	,	Z
odnosno	odnosno	Rgp
manje	malo	Rgc
plaćeni	platiti	Appmpny
iznos	iznos	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ako	ako	Cs
je	biti	Var3s
on	on	Pp3msn
utvrđen	utvrditi	Appmsnn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
prihvata	prihvat	Ncmsg
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmpg
potrošač	potrošač	Ncmsn
je	biti	Var3s
o	o	Sl
prihvatu	prihvat	Ncmsl
izračuna	izračun	Ncmsg
konverzije	konverzija	Ncfsg
dužan	dužan	Agpmsnn
,	,	Z
preporučenom	preporučiti	Appnsly
pošiljkom	pošiljka	Ncfsi
uz	uz	Sa
povratnicu	povratnica	Ncfsa
ili	ili	Cc
osobno	osobno	Rgp
,	,	Z
obavijestiti	obavijestiti	Vmn
vjerovnika	vjerovnik	Ncmpg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
izračuna	izračun	Ncmsg
konverzije	konverzija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
pregleda	pregled	Ncmsg
stanja	stanje	Ncnsg
svih	sav	Agpfpgy
tražbina	tražbina	Ncfpg
vjerovnika	vjerovnik	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
izvoda	izvod	Ncmpg
otvorenih	otvoren	Agpmpgy
stavaka	stavak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
potrošač	potrošač	Ncmsn
ne	ne	Qz
prihvati	prihvatiti	Vmr3s
izračun	izračun	Ncmsan
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmpg
ili	ili	Cc
ne	ne	Qz
sklopi	sklopiti	Vmr3s
s	sa	Si
vjerovnikom	vjerovnik	Ncmsi
sporazum	sporazum	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
otplata	otplata	Ncfsn
kredita	kredit	Ncmsg
nastavlja	nastavljati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
važećim	važeći	Agpmply
ugovorenim	ugovoriti	Agpmply
uvjetima	uvjet	Ncmpl
i	i	Cc
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
potrošač	potrošač	Ncmsn
prihvati	prihvatiti	Vmr3s
izračun	izračun	Ncmsan
konverzije	konverzija	Ncfsg
kredita	kredit	Ncmsg
:	:	Z

–	–	Sa
učinak	učinak	Ncmsan
konverzije	konverzija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
snosi	snositi	Vmr3s
vjerovnik	vjerovnik	Ncmsn
,	,	Z
a	a	Cc
ona	on	Pp3fsn
se	sebe	Px--sa
u	u	Sl
poslovnim	poslovan	Agpfply
knjigama	knjiga	Ncfpl
vjerovnika	vjerovnik	Ncmpg
iskazuje	iskazivati	Vmr3s
kao	kao	Cs
usklađenje	usklađenje	Ncnsn
tražbine	tražbina	Ncfsg
zbog	zbog	Sg
promjene	promjena	Ncfsg
tečajeva	tečaj	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
rashod	rashod	Ncmsn
