odvjetnika	odvjetnik	Ncmpg
,	,	Z

13.11	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
javnih	javan	Agpmpgy
bilježnika	bilježnik	Ncmpg
,	,	Z

13.12	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
revizorskih	revizorski	Agpfpgy
tvrtki	tvrtka	Ncfpg
,	,	Z

13.13	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
špeditera	špediter	Ncmpg
,	,	Z

13.14	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
vlasnika	vlasnik	Ncmpg
odnosno	odnosno	Rgp
korisnika	korisnik	Ncmpg
marine	marina	Ncfsg
,	,	Z

13.15	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
brodopopravljača	brodopopravljač	Ncmpg
,	,	Z

13.16	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
obavljanja	obavljanje	Ncnsg
zaštitarskih	zaštitarski	Agpnpgy
i	i	Cc
detektivskih	detektivski	Agpfpgy
djelatnosti	djelatnost	Ncfpg
,	,	Z

13.17	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
iz	iz	Sg
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
upravljanja	upravljanje	Ncnsg
nekretninama	nekretnina	Ncfpd
,	,	Z

13.18	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
iz	iz	Sg
obavljanja	obavljanje	Ncnsg
liječničke	liječnički	Agpfsgy
,	,	Z
stomatološke	stomatološki	Agpfpay
i	i	Cc
ljekarničke	ljekarnički	Agpfpay
djelatnosti	djelatnost	Ncfpa
,	,	Z

13.19	13.1i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
stečajnih	stečajni	Agpmpgy
upravitelja	upravitelj	Ncmpg
,	,	Z

13.20	13.2i	Agpnsny
Osiguranje	osiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
iz	iz	Sg
djelatnosti	djelatnost	Ncfsg
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
posredovanja	posredovanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z

13.21	13.2i	Agpnsny
Osiguranje	osiguranje	Ncnsn
