naglašena	naglasiti	Appfsny
je	biti	Var3s
i	i	Cc
dosadašnjom	dosadašnji	Agpfsiy
praksom	praksa	Ncfsi
Odbora	odbor	Ncmsg
za	za	Sa
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
Ujedinjenih	ujediniti	Agpmpgy
naroda	narod	Ncmpg
u	u	Sl
ocjeni	ocjena	Ncfsl
nacionalnih	nacionalan	Agpnpgy
izvješća	izvješće	Ncnpg
o	o	Sl
provedbi	provedba	Ncfsl
same	sam	Agpfsgy
Konvencije	konvencija	Ncfsg
.	.	Z
«	«	Z

32.	32.	Mdo

Skupina	skupina	Ncfsn
predlagatelja	predlagatelj	Ncmpg
smatra	smatrati	Vmr3s
da	da	Cs
su	biti	Var3p
države	država	Ncfpn
stranke	stranka	Ncfsg
međunarodnih	međunarodni	Agpmpgy
sporazuma	sporazum	Ncmpg
dužne	dužan	Agpfsgy
osigurati	osigurati	Vmn
da	da	Cs
se	sebe	Px--sa
izborno	izborni	Agpnsny
zakonodavstvo	zakonodavstvo	Ncnsn
uređuje	uređivati	Vmr3s
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
dopušta	dopuštati	Vmr3s
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
političkom	politički	Agpmsly
životu	život	Ncmsl
.	.	Z

Stoga	stoga	Cs
da	da	Cs
su	biti	Var3p
države	država	Ncfpn
stranke	stranka	Ncfsg
dužne	dužan	Agpfsgy
donijeti	donijeti	Vmn
zakone	zakon	Ncmpa
kojima	koji	Pi-mpi
se	sebe	Px--sa
ne	ne	Qz
ograničava	ograničavati	Vmr3s
participacija	participacija	Ncfsn
u	u	Sl
političkom	politički	Agpmsly
životu	život	Ncmsl
lišenjem	lišenje	Ncnsi
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
.	.	Z

Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
,	,	Z
kao	kao	Cs
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
međunarodnih	međunarodni	Agpmpgy
sporazuma	sporazum	Ncmpg
,	,	Z
prema	prema	Sl
mišljenju	mišljenje	Ncnsl
predlagateljice	predlagateljica	Ncfsg
,	,	Z
ne	ne	Qz
može	moći	Vmr3s
izostanak	izostanak	Ncmsan
pravne	pravni	Agpfsgy
regulative	regulativa	Ncfsg
koristiti	koristiti	Vmn
kao	kao	Cs
opravdanje	opravdanje	Ncnsa
za	za	Sa
kršenje	kršenje	Ncnsa
prava	pravo	Ncnpg
svojih	svoj	Px-mpg
građana	građanin	Ncmpg
na	na	Sa
političku	politički	Agpfsay
participaciju	participacija	Ncfsa
,	,	Z
već	već	Rgp
posebnu	poseban	Agpfsay
pažnju	pažnja	Ncfsa
treba	trebati	Vmr3s
posvetiti	posvetiti	Vmn
regulaciji	regulacija	Ncfsd
izbornog	izborni	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
i	i	Cc
izvršenju	izvršenje	Ncnsl
mandata	mandat	Ncmsg
javnih	javan	Agpfpgy
funkcija	funkcija	Ncfpg
.	.	Z

33.	33.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
govoreći	govoriti	Rr
o	o	Sl
ograničenjima	ograničenje	Ncnpl
aktivnog	aktivan	Agpmsgy
i	i	Cc
pasivnog	pasivan	Agpnsgy
biračkog	birački	Agpnsgy
prava	pravo	Ncnsg
osoba	osoba	Ncfpg
lišenih	lišen	Agpfpgy
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
skupina	skupina	Ncfsn
predlagatelja	predlagatelj	Ncmpg
daje	davati	Vmr3s
svoje	svoj	Px-nsa
viđenje	viđenje	Ncnsa
članka	članak	Ncmsg
16.	16.	Mdo

Ustava	ustava	Ncfsn
,	,	Z
navodeći	navoditi	Rr
:	:	Z

»	»	Z
Odredba	odredba	Ncfsn
iz	iz	Sg
čl.	čl.	Y
16.	16.	Mdo
st.	sta	Ncfsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
RH	RH	Npfsg
navodi	navoditi	Vmr3s
socijalne	socijalan	Agpfpay
indikacije	indikacija	Ncfpa
za	za	Sa
ograničenje	ograničenje	Ncnsa
slobode	sloboda	Ncfsg
i	i	Cc
prava	prav	Agpfsny
.	.	Z

Ustavna	ustavan	Agpfsny
norma	norma	Ncfsn
ne	ne	Qz
navodi	navoditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
prava	prav	Agpfsny
i	i	Cc
slobode	sloboda	Ncfsg
nekog	neki	Pi-msg
pojedinca	pojedinac	Ncmsg
mogu	moći	Vmr3p
ograničiti	ograničiti	Vmn
zbog	zbog	Sg
vitalnih	vitalan	Agpfpgy
indikacija	indikacija	Ncfpg
,	,	Z
dakle	dakle	Cc
radi	radi	Sg
zaštite	zaštita	Ncfsg
njega	njega	Ncfpg
samog	sam	Agpmsgy
,	,	Z
pa	pa	Cc
svejedno	svejedno	Rgp
lišenje	lišenje	Ncnsn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
takvog	takav	Pd-msg
pojedinca	pojedinac	Ncmsg
za	za	Sa
posljedicu	posljedica	Ncfsa
ima	imati	Vmr3s
nemogućnost	nemogućnost	Ncfsa
korištenja	korištenje	Ncnsg
aktivnog	aktivan	Agpnsgy
i	i	Cc
pasivnog	pasivan	Agpnsgy
biračkog	birački	Agpnsgy
prava	pravo	Ncnsg
.	.	Z

Također	također	Rgp
,	,	Z
osporenim	osporiti	Agpfpiy
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
izborima	izbor	Ncmpl
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
nije	biti	Var3s
naveden	navesti	Appmsnn
konkretan	konkretan	Agpmsnn
interes	interes	Ncmsn
zaštite	zaštita	Ncfsg
sloboda	sloboda	Ncfsn
i	i	Cc
prava	pravo	Ncnpg
drugih	drugi	Mlompg
ljudi	čovjek	Ncmpg
te	te	Cc
pravni	pravni	Agpmsny
