tijela	tijelo	Ncnpn
koja	koji	Pi-npn
ne	ne	Qz
sadrže	sadržati	Vmr3p
ozbiljne	ozbiljan	Agpfpny
,	,	Z
relevantne	relevantan	Agpfsgy
i	i	Cc
dostatne	dostatan	Agpmpay
razloge	razlog	Ncmpa
za	za	Sa
ocjenu	ocjena	Ncfsa
kakva	kakav	Pi-fsn
je	biti	Var3s
odlukom	odluka	Ncfsi
dana	dan	Ncmpg
,	,	Z
upućuju	upućivati	Vmr3p
na	na	Sa
zaključak	zaključak	Ncmsan
o	o	Sl
arbitrarnosti	arbitrarnost	Ncfsl
u	u	Sl
postupovnom	postupovni	Agpmsly
i	i	Cc
/	/	Z
ili	ili	Cc
materijalnopravnom	materijalnopravan	Agpmsly
smislu	smisao	Ncmsl
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
u	u	Sl
ovom	ovaj	Pd-msl
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
zadaća	zadaća	Ncfpg
je	biti	Var3s
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
bila	biti	Vap-sf
utvrditi	utvrditi	Vmn
može	moći	Vmr3s
li	li	Cs
se	sebe	Px--sa
način	način	Ncmsn
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Bjelovaru	Bjelovar	Npmsl
tumačio	tumačiti	Vmp-sm
i	i	Cc
primijenio	primijeniti	Vmp-sm
materijalno	materijalan	Agpnsay
pravo	pravo	Ncnsa
smatrati	smatrati	Vmn
arbitrarnim	arbitraran	Agpmsiy
i	i	Cc
je	biti	Var3s
li	li	Qq
takvim	takav	Pd-mpi
postupanjem	postupanje	Ncnsi
povrijeđeno	povrijediti	Appnsny
podnositeljici	podnositeljica	Ncfsl
pravo	pravo	Ncnsa
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
(	(	Z
odlučivanje	odlučivanje	Ncnsn
)	)	Z
zajamčeno	zajamčiti	Appnsny
člankom	članak	Ncmsi
29.	29.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

5.1.	5.1.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
,	,	Z
razmatrajući	razmatrati	Rr
eventualne	eventualan	Agpfpay
povrede	povreda	Ncfpa
navedenog	naveden	Agpnsgy
ustavnog	ustavan	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
pošao	poći	Vmp-sm
je	biti	Var3s
od	od	Sg
stajališta	stajalište	Ncnsg
da	da	Cs
vladavina	vladavina	Ncfsn
prava	pravo	Ncnsg
,	,	Z
kao	kao	Cs
jedna	jedan	Mlcfsn
od	od	Sg
najviših	visok	Agsfpgy
vrednota	vrednota	Ncfpg
ustavnog	ustavan	Agpmsgy
poretka	poredak	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
između	između	Sg
ostalog	ostali	Agpnsgy
,	,	Z
sadrži	sadržati	Vmr3s
obvezu	obveza	Ncfsa
sudova	sud	Ncmpg
da	da	Cs
,	,	Z
u	u	Sl
slučajevima	slučaj	Ncmpl
kad	kad	Cs
tumače	tumačiti	Vmr3p
i	i	Cc
primjenjuju	primjenjivati	Vmr3p
propise	propis	Ncmpa
,	,	Z
postupaju	postupati	Vmr3p
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
u	u	Sl
svojoj	svoj	Px-fsl
konačnici	konačnica	Ncfsl
ne	ne	Qz
povrjeđuje	povrjeđivati	Vmr3s
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
temeljne	temeljan	Agpfsgy
slobode	sloboda	Ncfsg
.	.	Z

Jedno	jedan	Mlcnsn
od	od	Sg
temeljnih	temeljan	Agpmpgy
vidova	vid	Ncmpg
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
je	biti	Var3s
načelo	načelo	Ncnsn
pravne	pravni	Agpfsgy
sigurnosti	sigurnost	Ncfsg
koje	koji	Pi-fpa
je	biti	Var3s
implicitno	implicitno	Rgp
sadržano	sadržati	Appnsny
u	u	Sl
Ustavu	ustav	Ncmsl
i	i	Cc
Konvenciji	konvencija	Ncfsl
za	za	Sa
zaštitu	zaštita	Ncfsa
ljudskih	ljudski	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
temeljnih	temeljan	Agpfpgy
sloboda	sloboda	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
–	–	Z
Međunarodni	međunarodni	Agpmpny
ugovori	ugovor	Ncmpn
«	«	Z
broj	broj	Ncmsan
18/97.	18/97.	Mds
,	,	Z
6/99.	6/99.	Mdo
–	–	Z
pročišćeni	pročišćen	Agpmsayn
tekst	tekst	Ncmsan
,	,	Z
8/99.	8/99.	Mdo
–	–	Z
ispravak	ispravak	Ncmsan
,	,	Z
14/02.	14/02.	Mds
i	i	Cc
1/06.	1/06.	Mdo
)	)	Z
.	.	Z

U	u	Sl
predmetu	predmet	Ncmsl
Vusić	Vusić	Npfsg
protiv	protiv	Sg
Hrvatske	Hrvatska	Npfsg
(	(	Z
presuda	presuda	Ncfsn
,	,	Z
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2010.	2010.	Mdo
,	,	Z
zahtjev	zahtjev	Ncmsn
br.	br.	Y
48101/07	48101/07	Mdc
,	,	Z
§	§	Z
44	44	Mdc
)	)	Z
Europski	europski	Agpmsny
sud	sud	Ncmsn
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
,	,	Z
između	između	Sg
ostalog	ostali	Agpnsgy
,	,	Z
navodi	navoditi	Vmr3s
:	:	Z

»	»	Z
...	...	Z
jedno	jedan	Mlcnsn
od	od	Sg
temeljnih	temeljan	Agpmpgy
vidova	vid	Ncmpg
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
načelo	načelo	Ncnsa
pravne	pravni	Agpfsgy
sigurnosti	sigurnost	Ncfsg
,	,	Z
načelo	načelo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
implicitno	implicitno	Rgp
sadržano	sadržati	Appnsny
u	u	Sl
Konvenciji	konvencija	Ncfsl
(	(	Z
vidi	vidjeti	Vmr3s
Beian	Beian	Npmsn
v.	v.	Mro
Romania	Romania	Npfsn
/	/	Z
no	no	Cc
.	.	Z
1	1	Mdc
/	/	Z
,	,	Z
br.	br.	Y
30658/05	30658/05	Mdc
,	,	Z
§	§	Z
39	39	Mdc
,	,	Z
ECHR	ECHR	Npmsn
2007-XIII	2007-xiii	Agpmpny
/	/	Z
izvadci	izvadak	Ncmpn
/	/	Z
)	)	Z
.	.	Z

Ako	ako	Cs
nema	nemati	Vmr3s
mehanizma	mehanizam	Ncmsg
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
dosljednost	dosljednost	Ncfsa
,	,	Z
proturječne	proturječan	Agpfsgy
odluke	odluka	Ncfsg
u	u	Sl
sličnim	sličan	Agpmply
predmetima	predmet	Ncmpl
koje	koji	Pi-mpa
je	biti	Var3s
donio	donijeti	Vmp-sm
isti	isti	Agpmsayn
sud	sud	Ncmsan
,	,	Z
koji	koji	Pi-msn
uz	uz	Sa
to	taj	Pd-nsa
predstavlja	predstavljati	Vmr3s
zadnju	zadnji	Agpfsay
instancu	instanca	Ncfsa
u	u	Sl
dotičnoj	dotičan	Agpfsly
pravnoj	pravni	Agpfsly
stvari	stvar	Ncfsl
,	,	Z
mogu	moći	Vmr3p
dovesti	dovesti	Vmn
do	do	Sg
povrede	povreda	Ncfsg
tog	taj	Pd-nsg
načela	načelo	Ncnsg
i	i	Cc
time	taj	Pd-nsi
potkopati	potkopati	Vmn
povjerenje	povjerenje	Ncnsa
javnosti	javnost	Ncfsg
u	u	Sa
pravosuđe	pravosuđe	Ncnsa
(	(	Z
vidi	vidjeti	Vmr3s
,	,	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
Beian	Beian	Npmsn
,	,	Z
prethodno	prethodno	Rgp
citirano	citirati	Appnsny
,	,	Z
§§	§§	Z
36	36	Mdc
-	-	Z
39	39	Mdc
;	;	Z
Tudor	Tudor	Npmsn
Tudor	Tudor	Npmsn
v.	v.	Y
Romania	Romania	Npfsn
,	,	Z
br.	br.	Y
21911/03	21911/03	Mdc
,	,	Z
§	§	Z
29	29	Mdc
,	,	Z
24.	24.	Mdo
ožujka	ožujak	Ncmsg
2009.	2009.	Mdo
;	;	Z
te	te	Cc
Iordan	Iordan	Npmsn
Iordanov	Iordanov	Npmsn
and	and	Xf
Others	Others	Xf
v.	v.	Y
Bulgaria	Bulgaria	Npfsn
,	,	Z
br.	br.	Y
23530/02	23530/02	Mdc
,	,	Z
§§	§§	Z
47	47	Mdc
-	-	Z
53	53	Mdc
,	,	Z
2.	2.	Mdo
srpnja	srpanj	Ncmsg
2009.	2009.	Mdo
)	)	Z
,	,	Z
a	a	Cc
to	taj	Pd-nsn
je	biti	Var3s
povjerenje	povjerenje	Ncnsn
jedna	jedan	Mlcfsn
od	od	Sg
bitnih	bitan	Agpfpgy
sastavnica	sastavnica	Ncfpg
države	država	Ncfsg
utemeljene	utemeljiti	Appfsgy
na	na	Sl
vladavini	vladavina	Ncfsl
prava	pravo	Ncnpg
.	.	Z
«	«	Z

6.	6.	Mdo
Primjenjujući	primjenjivati	Rr
navedeno	naveden	Agpnsay
pravilo	pravilo	Ncnsa
na	na	Sa
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
,	,	Z
u	u	Sl
ovom	ovaj	Pd-msl
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
ispitao	ispitati	Vmp-sm
jesu	biti	Var3p
li	li	Qq
stajališta	stajalište	Ncnsg
iznesena	iznijeti	Appfsny
u	u	Sl
osporenoj	osporiti	Agpfsly
drugostupanjskoj	drugostupanjski	Agpfsly
presudi	presuda	Ncfsl
proturječna	proturječan	Agpfsny
odnosno	odnosno	Rgp
različita	različit	Agpnpny
