sastavljen	sastaviti	Appmsnn
i	i	Cc
objavljen	objaviti	Appmsnn
na	na	Sa
web	web	Agpfply
stranicama	stranica	Ncfpl
(	(	Z
odgovaraju	odgovarati	Vmr3p
ministarstva	ministarstvo	Ncnsg
i	i	Cc
druga	drugi	Mlonpa
tijela	tijelo	Ncnpa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sl
razini	razina	Ncfsl
razdjela	razdjel	Ncmsg
organizacijske	organizacijski	Agpfsgy
klasifikacije	klasifikacija	Ncfsg
)	)	Z
link	link	Ncmsan
na	na	Sa
web-stranicu	web-stranica	Ncfsa
2.	2.	Mdo
Programi	program	Ncmpn
iz	iz	Sg
financijskog	financijski	Agpmsgy
plana	plan	Ncmsg
povezani	povezati	Appmpny
su	biti	Var3p
s	sa	Si
ciljevima	cilj	Ncmpi
iz	iz	Sg
strateškog	strateški	Agpmsgy
plana	plan	Ncmsg
(	(	Z
odgovaraju	odgovarati	Vmr3p
ministarstva	ministarstvo	Ncnsg
i	i	Cc
druga	drugi	Mlonpa
tijela	tijelo	Ncnpa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sl
razini	razina	Ncfsl
razdjela	razdjel	Ncmsg
organizacijske	organizacijski	Agpfsgy
klasifikacije	klasifikacija	Ncfsg
)	)	Z
vezne	vezni	Agpfpny
tablice	tablica	Ncfpn
ovo	ovaj	Pd-nsn
pitanje	pitanje	Ncnsn
nije	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
za	za	Sa
godinu	godina	Ncfsa
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
donosi	donositi	Vmr3s
odluka	odluka	Ncfsn
o	o	Sl
privremenom	privremen	Agpnsly
financiranju	financiranje	Ncnsl
poslova	posao	Ncmpg
,	,	Z
funkcija	funkcija	Ncfpg
i	i	Cc
programa	program	Ncmpg
državnih	državni	Agpnpgy
tijela	tijelo	Ncnpg
i	i	Cc
drugih	drugi	Mlompg
proračunskih	proračunski	Agpmpgy
korisnika	korisnik	Ncmpg
za	za	Sa
prva	prvi	Mlomsg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
naredne	naredan	Agpfsgy
godine	godina	Ncfsg
3.	3.	Mdo
Za	za	Sa
ciljeve	cilj	Ncmpa
iz	iz	Sg
strateškog	strateški	Agpmsgy
plana	plan	Ncmsg
utvrđeni	utvrditi	Appmpny
su	biti	Var3p
i	i	Qo
procijenjeni	procijeniti	Appmpny
rizici	rizik	Ncmpn
(	(	Z
odgovaraju	odgovarati	Vmr3p
ministarstva	ministarstvo	Ncnsg
i	i	Cc
druga	drugi	Mlonpa
tijela	tijelo	Ncnpa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sl
razini	razina	Ncfsl
