7.26.	7.26.	Mdo

Isključeni	isključiti	Appmsayn
račun	račun	Ncmsan

Članak	članak	Ncmsn
75.	75.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Isključeni	isključiti	Agpmsny
račun	račun	Ncmsn
podrazumijeva	podrazumijevati	Vmr3s
bilo	bilo	Qo
koji	koji	Pi-msn
od	od	Sg
računa	račun	Ncmpg
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
do	do	Sg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Isključeni	isključiti	Agpmsny
račun	račun	Ncmsn
podrazumijeva	podrazumijevati	Vmr3s
mirovinski	mirovinski	Agpmsayn
račun	račun	Ncmsan
koji	koji	Pi-msn
ispunjava	ispunjavati	Vmr3s
sljedeće	sljedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

1.	1.	Mdo
račun	račun	Ncmsan
podliježe	podlijegati	Vmr3s
reguliranju	reguliranje	Ncnsd
kao	kao	Cs
osobni	osoban	Agpmsayn
mirovinski	mirovinski	Agpmsayn
račun	račun	Ncmsan
ili	ili	Cc
dijelom	dio	Ncmsi
registriranog	registriran	Agpnsgy
ili	ili	Cc
reguliranog	regulirati	Agpmsgy
sustava	sustav	Ncmsg
mirovinskog	mirovinski	Agpnsgy
osiguranja	osiguranje	Ncnsg
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
prava	pravo	Ncnpg
na	na	Sa
mirovinu	mirovina	Ncfsa
,	,	Z
uključujući	uključivati	Rr
invalidninu	invalidnina	Ncfsa
ili	ili	Cc
naknadu	naknada	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
smrti	smrt	Ncfsg
,	,	Z

2.	2.	Mdo
na	na	Sa
račun	račun	Ncmsan
se	sebe	Px--sa
uplaćuju	uplaćivati	Vmr3p
iznosi	iznos	Ncmpn
koji	koji	Pi-mpn
ne	ne	Qz
podliježu	podlijegati	Vmr3p
oporezivanju	oporezivanje	Ncnsd
odnosno	odnosno	Rgp
,	,	Z
iznosi	iznositi	Vmr3s
uplaćeni	uplatiti	Appmpny
na	na	Sa
račun	račun	Ncmsan
,	,	Z
koji	koji	Pi-msn
bi	biti	Vaa3s
inače	inače	Rgp
bili	biti	Vap-pm
oporezovani	oporezovati	Appmpny
,	,	Z
priznaju	priznati	Vmr3p
se	sebe	Px--sa
kao	kao	Cs
porezni	porezni	Agpmsny
izdatak	izdatak	Ncmsn
ili	ili	Cc
su	biti	Var3p
isključeni	isključiti	Appmpny
iz	iz	Sg
brutodobiti	brutodobit	Ncfsg
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
ili	ili	Cc
se	sebe	Px--sa
