ih	oni	Pp3-pa
prosljeđuju	prosljeđivati	Vmr3p
Izvršnom	izvršan	Agpmsly
odboru	odbor	Ncmsl
Komore	komora	Ncfsg
,	,	Z

7.	7.	Mdo
predlažu	predlagati	Vmr3p
plan	plan	Ncmsan
potreba	potreba	Ncfpg
za	za	Si
liječnicima	liječnik	Ncmpi
u	u	Sl
području	područje	Ncnsl
nadležnosti	nadležnost	Ncfsg
svog	sav	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
,	,	Z

8.	8.	Mdo
redovno	redovno	Rgp
izvješćuju	izvješćivati	Vmr3p
svoje	svoj	Px-mpa
članove	član	Ncmpa
o	o	Sl
radu	rad	Ncmsl
Komore	komora	Ncfsg
,	,	Z

9.	9.	Mdo
Izvršnom	izvršan	Agpmsly
odboru	odbor	Ncmsl
dostavljaju	dostavljati	Vmr3p
podatke	podatak	Ncmpa
o	o	Sl
stanju	stanje	Ncnsl
zdravstva	zdravstvo	Ncnsg
na	na	Sl
području	područje	Ncnsl
pojedinog	pojedini	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
,	,	Z

10.	10.	Mdo
daju	dati	Vmr3p
stavove	stav	Ncmpa
o	o	Sl
opravdanosti	opravdanost	Ncfsl
osnivanja	osnivanje	Ncnsg
,	,	Z
proširenja	proširenje	Ncnsg
ili	ili	Cc
promjene	promjena	Ncfsg
djelatnosti	djelatnost	Ncfsg
pružatelja	pružatelj	Ncmpg
zdravstvenih	zdravstven	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
mreži	mreža	Ncfsl
na	na	Sl
svom	sav	Ncmsl
području	područje	Ncnsl
,	,	Z

11.	11.	Mdo
surađuju	surađivati	Vmr3p
s	sa	Si
podružnicama	podružnica	Ncfpi
Hrvatskog	hrvatski	Agpmsgy
liječničkog	liječnički	Agpmsgy
zbora	zbor	Ncmsg
,	,	Z

12.	12.	Mdo
obavljaju	obavljati	Vmr3p
i	i	Cc
druge	drugi	Agpmpay
poslove	posao	Ncmpa
određene	određen	Agpfsgy
ovim	ovaj	Pd-msi
Statutom	statut	Ncmsi
ili	ili	Cc
općim	opći	Agpmply
aktima	akt	Ncmpl
Komore	Komora	Npfsg
.	.	Z

IV	IV	Mrc
.	.	Z

STRUČNI	stručan	Agpmsny
NADZOR	nadzor	Ncmsn

Članak	članak	Ncmsn
48.	48.	Mdo

Komora	komora	Ncfsn
obavlja	obavljati	Vmr3s
stručni	stručan	Agpmsayn
nadzor	nadzor	Ncmsan
nad	nad	Si
radom	rad	Ncmsi
zdravstvenih	zdravstven	Agpfpgy
ustanova	ustanova	Ncfpg
,	,	Z
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
obavljaju	obavljati	Vmr3p
