kalcifikaciju	kalcifikacija	Ncfsa
,	,	Z
dovoza	dovoz	Ncmsg
i	i	Cc
rasipanja	rasipanje	Ncnsg
po	po	Sl
parceli	parcela	Ncfsl
)	)	Z
2.1.14.	2.1.14i	Agpnsny
planiranje	planiranje	Ncnsn
sadnje	sadnja	Ncfsg
(	(	Z
označavanje	označavanje	Ncnsn
sadnih	sadni	Agpnpgy
mjesta	mjesto	Ncnpg
,	,	Z
kopanje	kopanje	Ncnsn
rupa	rupa	Ncfpg
strojno	strojno	Rgp
ili	ili	Cc
ručno	ručno	Rgp
)	)	Z
2.1.15.	2.1.15.	Mdo
kupnja	kupnja	Ncfsn
cjepova	cijep	Ncmpg
/	/	Z
sadnica	sadnica	Ncfpg
/	/	Z
podloga	podloga	Ncfsn
vinove	vinov	Agpfsgy
loze	loza	Ncfsg
2.1.16.	2.1.16.	Mdo
sadnja	sadnja	Ncfsn
cjepova	cijep	Ncmpg
/	/	Z
sadnica	sadnica	Ncfpg
/	/	Z
podloge	podloga	Ncfsg
vinove	vinov	Agpfsgy
loze	loza	Ncfsg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.1.17.	2.1.17.	Mdo
cijepljenje	cijepljenje	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
nacjepljivanje	nacjepljivanje	Ncnsn
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
cijepljenja	cijepljenje	Ncnsg
u	u	Sl
vinogradu	vinograd	Ncmsl
–	–	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.1.18.	2.1.18.	Mdo
potporna	potporni	Agpfsny
struktura	struktura	Ncfsn
ili	ili	Cc
pojedini	pojedini	Agpmpny
dijelovi	dio	Ncmpn
(	(	Z
kolci	kolac	Ncmpn
,	,	Z
stupovi	stup	Ncmpn
,	,	Z
žica	žica	Ncfsn
,	,	Z
kuke	kuka	Ncfpn
,	,	Z
zatezači	zatezač	Ncmpn
,	,	Z
oprema	oprema	Ncfsn
za	za	Sa
fiksaciju	fiksacija	Ncfsa
)	)	Z
2.1.19.	2.1.19.	Mds
postavljanje	postavljanje	Ncnsa
nove	nov	Agpfsgy
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
ili	ili	Cc
pojedinih	pojedini	Agpmpgy
dijelova	dio	Ncmpg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.2.	2.2.	Mds
promjena	promjena	Ncfpg
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
2.2.1.	2.2.1.	Mdo
uklanjanje	uklanjanje	Ncnsa
i	i	Cc
odvoz	odvoz	Ncmsn
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
ili	ili	Cc
pojedinih	pojedini	Agpmpgy
dijelova	dio	Ncmpg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.2.2.	2.2.2.	Mds
kupnja	kupnja	Ncfpg
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
ili	ili	Cc
pojedinih	pojedini	Agpmpgy
dijelova	dio	Ncmpg
(	(	Z
kolci	kolac	Ncmpn
,	,	Z
stupovi	stup	Ncmpn
,	,	Z
žice	žica	Ncfpn
,	,	Z
kuke	kuka	Ncfpn
,	,	Z
zatezači	zatezač	Ncmpn
i	i	Cc
sl.	sl.	Y
)	)	Z
2.2.3.	2.2.3i	Agpnsny
postavljanje	postavljanje	Ncnsn
nove	nov	Agpfsgy
armature	armatura	Ncfsg
ili	ili	Cc
pojedinih	pojedini	Agpmpgy
dijelova	dio	Ncmpg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.3.	2.3.	Mds
promjena	promjena	Ncfpg
nagiba	nagib	Ncmsg
/	/	Z
razine	razina	Ncfsg
vinograda	vinograd	Ncmsg
2.3.1.	2.3.1.	Mdo
promjena	promjena	Ncfpg
nagiba	nagib	Ncmsg
terena	teren	Ncmsg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
ljudi	čovjek	Ncmpg
