Središnjem	središnji	Agpnsly
etičkom	etički	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
za	za	Sa
kliničko	klinički	Agpnsay
ispitivanje	ispitivanje	Ncnsa
djece	dijete	Ncnpg
(	(	Z
3	3	Mdc
)	)	Z

2.	2.	Mdo
Poznavanje	poznavanje	Ncnsn
osnova	osnova	Ncfpg
farmakokinetike	farmakokinetiki	Agpfsgy
djece	dijete	Ncnpg

–	–	Z
razumjeti	razumjeti	Vmn
i	i	Cc
koristiti	koristiti	Vmn
načela	načelo	Ncnpa
farmakokinetike	farmakokinetika	Ncfpa
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
optimiziralo	optimizirati	Vmp-sn
propisivanje	propisivanje	Ncnsn
i	i	Cc
učinci	učinak	Ncmpn
lijekova	lijek	Ncmpg
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
razumjeti	razumjeti	Vmn
različite	različit	Agpfpay
analitičke	analitički	Agpfpay
metode	metoda	Ncfpa
za	za	Sa
određivanje	određivanje	Ncnsa
koncentracije	koncentracija	Ncfsg
lijekova	lijek	Ncmpg
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
interpretirati	interpretirati	Vmn
nalaze	nalaz	Ncmpa
farmakološkog	farmakološki	Agpmsgy
i	i	Cc
toksikološkog	toksikološki	Agpmsgy
laboratorija	laboratorij	Ncmsg
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
objasniti	objasniti	Vmn
principe	princip	Ncmpa
pravilnog	pravilan	Agpmsgy
odabira	odabir	Ncmsg
puta	put	Ncmsg
primjene	primjena	Ncfsg
lijekova	lijek	Ncmpg
djece	dijete	Ncnpg
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
poznavati	poznavati	Vmn
uobičajene	uobičajen	Agpfpay
metode	metoda	Ncfpa
analize	analiza	Ncfsg
lijekova	lijek	Ncmpg
potrebne	potreban	Agpfpny
za	za	Sa
pedijatrijske	pedijatrijski	Agpfpay
studije	studija	Ncfpa
(	(	Z
3	3	Mdc
)	)	Z

–	–	I
znati	znati	Vmn
o	o	Sl
neinvazivnim	neinvazivan	Agpfply
metodama	metoda	Ncfpl
proučavanja	proučavanje	Ncnsg
metabolizma	metabolizam	Ncmsg
lijeka	lijek	Ncmsg
(	(	Z
3	3	Mdc
)	)	Z

–	–	I
moći	moći	Vmn
izračunati	izračunati	Vmn
kliničke	klinički	Agpmpay
farmakokinetičke	farmakokinetički	Agpmpay
parametre	parametar	Ncmpa
(	(	Z
3	3	Mdc
)	)	Z

–	–	I
moći	moći	Vmn
interpretirati	interpretirati	Vmn
koncentraciju	koncentracija	Ncfsa
lijekova	lijek	Ncmpg
u	u	Sl
tjelesnim	tjelesni	Agpfply
tekućinama	tekućina	Ncfpl
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
pripremiti	pripremiti	Vmn
i	i	Cc
adekvatno	adekvatno	Rgp
prilagođavati	prilagođavati	Vmn
terapijske	terapijski	Agpmpay
režime	režim	Ncmpa
(	(	Z
3	3	Mdc
)	)	Z

–		Npmpn
prepoznati	prepoznati	Vmn
potrebu	potreba	Ncfsa
za	za	Sa
individualizacijom	individualizacija	Ncfsi
terapije	terapija	Ncfsg
te	te	Cc
osnovne	osnovan	Agpmpay
principe	princip	Ncmpa
farmakogenetike	farmakogenetika	Ncfsg
(	(	Z
3	3	Mdc
)	)	Z

3.	3.	Mdo
Mehanizam	mehanizam	Ncmsn
djelovanja	djelovanje	Ncnsg
i	i	Cc
način	način	Ncmsan
uporabe	uporaba	Ncfsg
lijekove	lijek	Ncmpa
u	u	Sg
pedijatrijskih	pedijatrijski	Agpmpgy
pacijenata	pacijent	Ncmpg

–	–	I
razumjeti	razumjeti	Vmn
razlike	razlika	Ncfpa
između	između	Sg
pedijatrijskih	pedijatrijski	Agpmpgy
bolesnika	bolesnik	Ncmpg
i	i	Cc
odraslih	odrastao	Agpmpgy
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
način	način	Ncmsan
primjene	primjena	Ncfsg
lijeka	lijek	Ncmsg
,	,	Z
metabolizam	metabolizam	Ncmsn
i	i	Cc
djelovanje	djelovanje	Ncnsa
lijeka	lijek	Ncmsg
(	(	Z
3	3	Mdc
)	)	Z

–	–	I
razumjeti	razumjeti	Vmn
razlike	razlika	Ncfpa
u	u	Sa
pedijatrijskih	pedijatrijski	Agpmpgy
pacijenata	pacijent	Ncmpg
različite	različit	Agpfsgy
dobi	dob	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
farmakodinamski	farmakodinamski	Agpmsayn
odgovor	odgovor	Ncmsan
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
shvatiti	shvatiti	Vmn
razvoj	razvoj	Ncmsan
glavnih	glavni	Agpmpgy
metaboličkih	metabolički	Agpmpgy
puteva	put	Ncmpg
,	,	Z
uključujući	uključivati	Rr
aktivnost	aktivnost	Ncfsa
enzima	enzim	Ncmsg
P450	P450	Mdc
,	,	Z
glukuronidaciju	glukuronidacija	Ncfsa
i	i	Cc
sulfataciju	sulfatacija	Ncfsa
,	,	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dob	dob	Ncfsa
i	i	Cc
farmakogenetički	farmakogenetički	Agpmsayn
profil	profil	Ncmsan
od	od	Sg
prematurusa	prematurus	Ncmpg
do	do	Sg
adolescenata	adolescent	Ncmpg
(	(	Z
3	3	Mdc
)	)	Z

–	–	Z
razumjeti	razumjeti	Vmn
utjecaj	utjecaj	Ncmsan
razvojne	razvojan	Agpfsgy
fiziologije	fiziologija	Ncfsg
na	na	Sa
