radiofrekvencijskog	radiofrekvencijski	Agpmsgy
spektra	spektar	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dodatne	dodatan	Agpmpay
troškove	trošak	Ncmpa
međusobnog	međusoban	Agpnsgy
povezivanja	povezivanje	Ncnsg
(	(	Z
tranzit	tranzit	Ncmsn
poziva	pozivati	Vmr3s
)	)	Z
do	do	Sg
kojih	koji	Pi-mpg
dolazi	dolaziti	Vmr3s
prilikom	prilikom	Sg
usmjeravanja	usmjeravanje	Ncnsg
poziva	pozivati	Vmr3s
prema	prema	Sl
prenesenim	prenesen	Agpmply
brojevima	broj	Ncmpl
snosi	snositi	Vmr3s
operator	operator	Ncmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
operator	operator	Ncmsn
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
,	,	Z
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
započeo	započeti	Vmp-sm
poziv	poziv	Ncmsan
,	,	Z
nema	nemati	Vmr3s
prema	prema	Sl
prenesenom	prenesen	Agpmsly
broju	broj	Ncmsl
ostvareno	ostvariti	Appnsny
izravno	izravno	Rgp
međusobno	međusoban	Agpnsny
povezivanje	povezivanje	Ncnsn
s	sa	Si
operatorom	operator	Ncmsi
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
pozvani	pozvati	Appmpny
preneseni	prenesen	Agpmsny
broj	broj	Ncmsn
nalazi	nalaziti	Vmr3s
,	,	Z
operator	operator	Ncmsn
takve	takav	Pd-mpa
pozive	poziv	Ncmpa
neće	htjeti	Var3s
naplaćivati	naplaćivati	Vmn
po	po	Sl
većoj	velik	Agcfsly
cijeni	cijena	Ncfsl
od	od	Sg
one	onaj	Pd-fsg
koju	koji	Pi-fsa
operator	operator	Ncmsn
naplaćuje	naplaćivati	Vmr3s
za	za	Sa
pozive	poziv	Ncmpa
prema	prema	Sl
svim	sav	Agpmply
ostalim	ostali	Agpmply
brojevima	broj	Ncmpl
koji	koji	Pi-mpn
nisu	biti	Var3p
preneseni	prenijeti	Appmpny
u	u	Sa
tu	taj	Pd-fsa
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
mrežu	mreža	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Operatori	operator	Ncmpn
ne	ne	Qz
mogu	moći	Vmr3p
od	od	Sg
podnositelja	podnositelj	Ncmsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
zahtijevati	zahtijevati	Vmn
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
dodatnu	dodatan	Agpfsay
naknadu	naknada	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
uslugom	usluga	Ncfsi
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Operatori	operator	Ncmpn
ne	ne	Qz
mogu	moći	Vmr3p
pozive	poziv	Ncmpa
na	na	Sa
prenesene	prenesen	Agpmpay
brojeve	broj	Ncmpa
naplaćivati	naplaćivati	Vmn
više	mnogo	Rgc
od	od	Sg
poziva	poziv	Ncmpg
na	na	Sa
druge	drugi	Mlompa
brojeve	broj	Ncmpa
u	u	Sl
toj	taj	Pd-fsl
elektroničkoj	elektronički	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
koji	koji	Pi-mpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
pružanje	pružanje	Ncnsa
istih	isti	Agpfpgy
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
a	a	Cc
nisu	biti	Var3p
preneseni	prenijeti	Appmpny
iz	iz	Sg
njihove	njihov	Ps3fsg
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Operatori	operator	Ncmpn
ne	ne	Qz
mogu	moći	Vmr3p
primijeniti	primijeniti	Vmn
veće	velik	Agcfpay
cijene	cijena	Ncfpa
međusobnog	međusoban	Agpnsgy
povezivanja	povezivanje	Ncnsg
za	za	Sa
pozive	poziv	Ncmpa
prema	prema	Sl
prenesenim	prenesen	Agpmply
brojevima	broj	Ncmpl
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
pozive	poziv	Ncmpa
prema	prema	Sl
neprenesenim	neprenesen	Agpmply
brojevima	broj	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
pružanje	pružanje	Ncnsa
istih	isti	Agpfpgy
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Svaki	svaki	Pi-msn
operator	operator	Ncmsn
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
snosit	snositi	Vmn
će	htjeti	Var3s
vlastite	vlastit	Agpmpay
troškove	trošak	Ncmpa
prilagodbe	prilagodba	Ncfsg
i	i	Cc
uspostave	uspostava	Ncfsg
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
potrebnih	potreban	Agpnpgy
radi	radi	Sg
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
iz	iz	Sg
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
neće	htjeti	Var3s
snositi	snositi	Vmn
administrativne	administrativan	Agpmpay
troškove	trošak	Ncmpa
operatora	operator	Ncmsg
davatelja	davatelj	Ncmsg
broja	broj	Ncmsg
vezane	vezan	Agpfsgy
uz	uz	Sa
postupak	postupak	Ncmsan
prenosivosti	prenosivost	Ncfsg
broja	broj	Ncmsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
nema	nemati	Vmr3s
drugih	drugi	Mlompg
brojeva	broj	Ncmpg
u	u	Sl
sekundarnoj	sekundaran	Agpfsly
dodjeli	dodjela	Ncfsl
u	u	Sl
