izravnanja	izravnanje	Ncnsg
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
je	biti	Var3s
16,0	16,0	Mdc
%	%	Z
i	i	Cc
udio	udjel	Ncmsan
pozicije	pozicija	Ncfsg
za	za	Sa
pomoći	pomoć	Ncfpa
za	za	Sa
projekte	projekt	Ncmpa
sufinancirane	sufinancirati	Appmpay
sredstvima	sredstvo	Ncnpi
europskih	europski	Agpfpgy
strukturnih	strukturni	Agpfpgy
i	i	Cc
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
čiji	čiji	Pi-mpn
su	biti	Var3p
nositelji	nositelj	Ncmpn
općine	općina	Ncfsg
,	,	Z
gradovi	grad	Ncmpn
i	i	Cc
županije	županija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
njihovom	njihov	Agpnsly
većinskom	većinski	Agpnsly
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
suvlasništvu	suvlasništvo	Ncnsl
i	i	Cc
ustanovama	ustanova	Ncfpi
čiji	čiji	Pi-mpn
su	biti	Var3p
osnivači	osnivač	Ncmpn
je	on	Pp3fsa
propisano	propisati	Appnsny
1,5	1,5	Mdc
%	%	Z
.	.	Z

Predviđeno	predvidjeti	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
na	na	Sa
ovaj	ovaj	Pd-msan
način	način	Ncmsan
prikupljena	prikupiti	Appfsny
i	i	Cc
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
neutrošena	neutrošen	Agpnpay
sredstva	sredstvo	Ncnpa
prenose	prenositi	Vmr3p
u	u	Sa
narednu	naredan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Razvrstavanje	razvrstavanje	Ncnsn
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpa
prema	prema	Sl
stupnju	stupanj	Ncmsl
razvijenosti	razvijenost	Ncfsg
utječe	utjecati	Vmr3s
i	i	Qo
na	na	Sa
proračune	proračun	Ncmpa
onih	onaj	Pd-fpg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
,	,	Z
temeljem	temelj	Ncmsi
odredaba	odredba	Ncfpg
Zakona	zakon	Ncmsg
o	o	Sl
područjima	područje	Ncnpl
posebne	poseban	Agpfsgy
državne	državni	Agpfsgy
skrbi	skrb	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
86/2008	86/2008	Mdc
,	,	Z
57/2011	57/2011	Mds
,	,	Z
51	51	Mdc
A	a	Cc
/	/	Z
2013	2013	Mdc
,	,	Z
148/2013	148/2013	Mds
i	i	Cc
76/2014	76/2014	Mdc
)	)	Z
i	i	Cc
odredaba	odredba	Ncfpg
Zakona	zakon	Ncmsg
o	o	Sl
brdsko-planinskim	brdsko-planinski	Agpnply
područjima	područje	Ncnpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
12/2002	12/2002	Mdc
,	,	Z
32/2002	32/2002	Mds
,	,	Z
117/2003	117/2003	Mdc
,	,	Z
42/2005	42/2005	Mdc
,	,	Z
90/2005	90/2005	Mdc
,	,	Z
80/2008	80/2008	Mdc
