ostavljena	ostaviti	Appfsny
mogućnost	mogućnost	Ncfsn
donošenja	donošenje	Ncnsg
detaljnih	detaljan	Agpnpgy
rješenja	rješenje	Ncnpg
kako	kako	Cs
bi	biti	Vaa3p
osigurale	osigurati	Vmp-pf
da	da	Cs
se	sebe	Px--sa
njihovi	njihov	Ps3mpn
stručnjaci	stručnjak	Ncmpn
uključuju	uključivati	Vmr3p
u	u	Sa
programe	program	Ncmpa
stručnog	stručan	Agpnsgy
usavršavanja	usavršavanje	Ncnsg
i	i	Cc
redovito	redovito	Rgp
prate	pratiti	Vmr3p
najnovija	nov	Agsfsny
dostignuća	dostignuće	Ncnpa
u	u	Sl
području	područje	Ncnsl
znanosti	znanost	Ncfsg
i	i	Cc
tehnike	tehnika	Ncfsg
.	.	Z
«	«	Z

[	[	Z
4	4	Mdc
]	]	Z
Članak	članak	Ncmsn
26.	26.	Mdo
(	(	Z
1	1	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Države	država	Ncfpn
članice	članica	Ncfpn
će	htjeti	Var3p
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
Komisijom	komisija	Ncfsi
poduzeti	poduzeti	Vmn
prateće	prateći	Agpfpay
mjere	mjera	Ncfpa
da	da	Cs
bi	biti	Vaa3p
potakle	potaći	Vmp-pf
pružatelje	pružatelj	Ncmpa
da	da	Cs
poduzmu	poduzeti	Vmr3p
djelovanje	djelovanje	Ncnsa
na	na	Sl
dobrovoljnoj	dobrovoljan	Agpfsly
osnovi	osnova	Ncfsl
kako	kako	Cs
bi	biti	Vaa3p
osigurali	osigurati	Vmp-pm
kvalitetu	kvaliteta	Ncfsa
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
,	,	Z
posebice	posebice	Rgp
korištenjem	korištenje	Ncnsi
jedne	jedan	Mlcfsg
od	od	Sg
sljedećih	sljedeći	Agpfpgy
metoda	metoda	Ncfpg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
ovjerom	ovjera	Ncfsi
ili	ili	Cc
ocjenom	ocjena	Ncfsi
njihovih	njihov	Ps3fpg
djelatnosti	djelatnost	Ncfpg
od	od	Sg
strane	strana	Ncfsg
neovisnih	neovisan	Agpmpgy
ili	ili	Cc
akreditiranih	akreditiran	Agpnpgy
tijela	tijelo	Ncnpg
;	;	Z

(	(	Z
b	b	X
)	)	Z
sastavljanjem	sastavljanje	Ncnsi
vlastitog	vlastit	Agpmsgy
statusa	status	Ncmsg
vezanog	vezan	Agpnsgy
uz	uz	Sa
kvalitetu	kvaliteta	Ncfsa
ili	ili	Cc
sudjelovanje	sudjelovanje	Ncnsa
