kadeta-pilota	kadeta-pilota	Pi3n-n
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
ocjenom	ocjena	Ncfsi
nesposoban	nesposoban	Agpmsnn
kada	kada	Cs
se	sebe	Px--sa
ustanove	ustanoviti	Vmr3p
bitna	bitan	Agpnpny
odstupanja	odstupanje	Ncnpn
u	u	Sl
fizičkom	fizički	Agpmsly
i	i	Cc
psihologijskom	psihologijski	Agpmsly
statusu	status	Ncmsl
i	i	Cc
utvrde	utvrditi	Vmr3p
bolesti	bolest	Ncfpn
ili	ili	Cc
ozljede	ozljeda	Ncfpn
koje	koji	Pi-fpn
onemogućuju	onemogućivati	Vmr3p
sigurnost	sigurnost	Ncfsa
provođenja	provođenje	Ncnsg
i	i	Cc
završetak	završetak	Ncmsan
letačke	letački	Agpfsgy
izobrazbe	izobrazba	Ncfsg
ili	ili	Cc
kada	kada	Cs
postoji	postojati	Vmr3s
velika	velik	Agpfsny
vjerojatnost	vjerojatnost	Ncfsn
da	da	Cs
osoba	osoba	Ncfsn
neće	htjeti	Var3s
biti	biti	Van
u	u	Sl
stanju	stanje	Ncnsl
obavljati	obavljati	Vmn
letačku	letački	Agpfsay
djelatnost	djelatnost	Ncfsa
tijekom	tijekom	Sg
cijelog	cijel	Agpnsgy
letačkog	letački	Agpnsgy
radnog	radni	Agpnsgy
vijeka	vijek	Ncnsg
,	,	Z
tj.	tj.	Y
sljedećih	sljedeći	Agpfpgy
dvadeset	dvadeset	Mlc
do	do	Sg
dvadeset	dvadeset	Mlc
i	i	Cc
pet	pet	Mlc
godina	godina	Ncfpg
.	.	Z

Zrakoplovno	zrakoplovan	Agpnsny
osoblje	osoblje	Ncnsn
kojem	koji	Pi-msd
se	sebe	Px--sa
utvrde	utvrditi	Vmr3p
lakša	lak	Pi-npa
kronična	kroničan	Agpnpay
oboljenja	oboljenje	Ncnpa
,	,	Z
posljedice	posljedica	Ncfpn
oboljenja	oboljenje	Ncnsg
ili	ili	Cc
ozljeda	ozljeda	Ncfpg
ili	ili	Cc
odstupanja	odstupanje	Ncnsg
u	u	Sl
psihosomatskom	psihosomatski	Agpmsly
statusu	status	Ncmsl
koja	koji	Pi-fsn
ga	on	Pp3msa
ograničavaju	ograničavati	Vmr3p
u	u	Sl
podnošenju	podnošenje	Ncnsl
određenih	određen	Agpmpgy
čimbenika	čimbenik	Ncmpg
leta	let	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
letačkih	letački	Agpnpgy
opterećenja	opterećenje	Ncnpg
ocjenjuju	ocjenjivati	Vmr3p
se	sebe	Px--sa
ocjenom	ocjena	Ncfsi
sposoban	sposoban	Agpmsnn
uz	uz	Sa
obvezno	obvezan	Agpnsay
navođenje	navođenje	Ncnsa
uvjeta	uvjet	Ncmpg
sposobnosti	sposobnost	Ncfsg
.	.	Z

Zdravstvena	zdravstven	Agpfsny
komisija	komisija	Ncfsn
za	za	Sa
zrakoplovno	zrakoplovan	Agpnsay
osoblje	osoblje	Ncnsa
,	,	Z
prvostupanjska	prvostupanjski	Agpfsny
zdravstvena	zdravstven	Agpfsny
komisija	komisija	Ncfsn
i	i	Cc
viša	visok	Agpfsny
zdravstvena	zdravstven	Agpfsny
komisija	komisija	Ncfsn
mogu	moći	Vmr3p
razmotriti	razmotriti	Vmn
izdavanje	izdavanje	Ncnsa
Uvjerenja	uvjerenje	Ncnsg
odnosno	odnosno	Rgp
Odluke	odluka	Ncfsg
s	sa	Si
uvjetom	uvjet	Ncmsi
sposobnosti	sposobnost	Ncfsg
kada	kada	Cs
utvrđuju	utvrđivati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
sposobnost	sposobnost	Ncfsa
na	na	Sl
temelju	temelj	Ncmsl
zdravstvenih	zdravstven	Agpmpgy
standarda	standard	Ncmpg
za	za	Sa
dužnosti	dužnost	Ncfpa
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
.	.	Z

Ocjena	ocjena	Ncfsn
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
Uvjerenje	uvjerenje	Ncnsa
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
sposobnosti	sposobnost	Ncfsl
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
(	(	Z
tiskanica	tiskanica	Ncfsn
UZS-ZO	UZS-ZO	Npmsn
)	)	Z
.	.	Z

Uvjerenje	uvjerenje	Ncnsn
ne	ne	Qz
sadrži	sadržati	Vmr3s
utvrđenu	utvrditi	Agpfsay
točku	točka	Ncfsa
/	/	Z
e	e	Y
zdravstvenih	zdravstven	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
zrakoplovno	zrakoplovan	Agpnsay
osoblje	osoblje	Ncnsa
.	.	Z

Kada	kada	Rgp
se	sebe	Px--sa
za	za	Sa
djelatne	djelatan	Agpfpay
vojne	vojni	Agpfpay
osobe	osoba	Ncfpa
donosi	donositi	Vmr3s
Uvjerenje	uvjerenje	Ncnsn
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
sposobnosti	sposobnost	Ncfsl
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
izvršitelj	izvršitelj	Ncmsn
pregleda	pregled	Ncmsg
izdat	izdati	Vmn
će	htjeti	Var3s
i	i	Cc
novo	nov	Agpnsny
Uvjerenje	uvjerenje	Ncnsn
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
sposobnosti	sposobnost	Ncfsl
za	za	Sa
djelatnu	djelatan	Agpfsay
vojnu	vojni	Agpfsay
službu	služba	Ncfsa
ako	ako	Cs
u	u	Sl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
nastupa	nastupati	Vmr3s
istek	istek	Ncmsan
roka	rok	Ncmsg
valjanosti	valjanost	Ncfsg
važećeg	važeći	Agpnsgy
Uvjerenja	uvjerenje	Ncnsg
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
sposobnosti	sposobnost	Ncfsl
za	za	Sa
djelatnu	djelatan	Agpfsay
vojnu	vojni	Agpfsay
službu	služba	Ncfsa
.	.	Z

Uvjeti	uvjet	Ncmpn
sposobnosti	sposobnost	Ncfsg
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
su	biti	Var3p
:	:	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
1	1	Mdc
:	:	Z

TML	TML	Npmsn
–	–	Z
(	(	Z
VALID	VALID	Xf
ONLY	ONLY	Xf
FOR	FOR	Xf
_________	_________	Xf
MONTHS	MONTHS	Npmsn
)	)	Z

(	(	Z
ROK	rok	Ncmsn
VALJANOSTI	valjanost	Ncfsg
____	___a	Ncfsg
MJESECI	mjesec	Ncmpg
)	)	Z

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Razdoblje	razdoblje	Ncnsn
valjanosti	valjanost	Ncfsg
Uvjerenja	uvjerenje	Ncnsg
o	o	Sl
zdravstvenoj	zdravstven	Agpfsly
sposobnosti	sposobnost	Ncfsl
zrakoplovnog	zrakoplovan	Agpnsgy
osoblja	osoblje	Ncnsg
ograničeno	ograničiti	Appnsny
je	biti	Var3s
na	na	Sa
prikazano	prikazan	Agpnsay
razdoblje	razdoblje	Ncnsa
iz	iz	Sg
razloga	razlog	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
utvrdila	utvrditi	Vmp-sf
Zdravstvena	zdravstven	Agpfsny
komisija	komisija	Ncfsn
.	.	Z

Rok	rok	Ncmsn
valjanosti	valjanost	Ncfsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
prvim	prvi	Agpmsiy
danom	dan	Ncmsi
liječničkog	liječnički	Agpmsgy
pregleda	pregled	Ncmsg
.	.	Z

Svako	svaki	Pi-nsn
drugo	drugi	Mlonsa
razdoblje	razdoblje	Ncnsa
valjanosti	valjanost	Ncfsg
na	na	Sl
prijašnjem	prijašnji	Agpnsly
Uvjerenju	uvjerenje	Ncnsl
više	mnogo	Rgc
ne	ne	Qz
vrijedi	vrijediti	Vmr3s
.	.	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
2	2	Mdc
:	:	Z

VDL	VDL	Npmsn
–	–	Z
(	(	Z
SHALL	SHALL	Npmsn
WEAR	WEAR	Npmsn
CORRECTIVE	CORRECTIVE	Npmsn
LENSES	LENSES	Npmsn
)	)	Z

(	(	Z
MORA	morati	Vmr3s
NOSITI	nositi	Vmn
KOREKTIVNE	korektivan	Agpfpny
LEĆE	leća	Ncfpn
)	)	Z

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Mora	morati	Vmr3s
nositi	nositi	Vmn
korektivne	korektivan	Agpfpay
leće	leća	Ncfpa
za	za	Sa
daljinu	daljina	Ncfsa
,	,	Z
obvezno	obvezno	Rgp
nositi	nositi	Vmn
rezervni	rezervni	Agpmsayn
par	par	Ncmsan
naočala	naočale	Ncfpg
.	.	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
3	3	Mdc
:	:	Z

VML	VML	Npmsn
–	–	Z
(	(	Z
SHALL	SHALL	Npmsn
WEAR	WEAR	Npmsn
MULTIFOCAL	MULTIFOCAL	Npmsn
LENSES	LENSES	Npmsn
(	(	Z
AND	AND	Xf
CARRY	CARRY	Xf
A	a	Xf
SPARE	spariti	Vmr3p
SET	set	Ncmsan
OF	OF	Npmsn
SPECTACLES	SPECTACLES	Npmsn
))	))	Z

(	(	Z
MORA	morati	Vmr3s
NOSITI	nositi	Vmn
MULTIFOKALNE	multifokalni	Agpfpay
LEĆE	leća	Ncfpa
(	(	Z
I	i	Cc
NOSITI	nositi	Vmn
REZERVNE	rezervni	Agpfpay
NAOČALE	naočale	Ncfpa
))	))	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
4.	4.	Mdo

VNL	vnl	Mrc
–	–	Z
SHALL	SHALL	Npfsg
HAVE	HAVE	Npfsg
AVAILABLE	AVAILABLE	Npfsg
CORRECTIVE	CORRECTIVE	Npfsg
LENSES	LENSES	Npfsg
)	)	Z

(	(	Z
MORA	morati	Vmr3s
IMATI	imati	Vmn
DOSTUPNE	dostupan	Agpfpay
KOREKTIVNE	korektivan	Agpfpay
LEĆE	leća	Ncfpa
ZA	za	Sa
BLIZINU	blizina	Ncfsa
,	,	Z
OBVEZNO	obvezno	Rgp
NOSITI	nositi	Vmn
REZERVNI	rezervni	Agpmsayn
PAR	par	Ncmsan
NAOČALA	naočale	Ncfpg
)	)	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
5	5	Mdc

OML	OML	Npmsn
–	–	Z
(	(	Z
VALID	VALID	Npmsn
ONLY	ONLY	Xf
AS	as	Xf
OR	OR	Xf
FOR	FOR	Xf
WITH	WITH	Xf
QUALIFIED	QUALIFIED	Xf
CO-PILOT	CO-PILOT	Xf
)	)	Z

(	(	Z
VRIJEDI	vrijediti	Vmr3s
SAMO	samo	Rgp
KAO	kao	Cs
,	,	Z
ILI	ili	Cc
S	sa	Si
KVALIFICIRANIM	kvalificiran	Agpmsiy
KOPILOTOM	kopilot	Ncmsi
)	)	Z

(	(	Z
OPERATIONAL	OPERATIONAL	Xf
MULTICREW	MULTICREW	Xf
LIMITATION	LIMITATION	Xf
)	)	Z

(	(	Z
OPERATIVNO	operativan	Agpnsny
OGRANIČENJE	ograničenje	Ncnsn
U	u	Sl
VIŠEČLANOJ	višečlan	Agpfsly
POSADI	posada	Ncfsl
)	)	Z

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Ograničenje	ograničenje	Ncnsn
za	za	Sa
letenje	letenje	Ncnsa
u	u	Sl
višečlanoj	višečlan	Agpfsly
posadi	posada	Ncfsl
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
na	na	Sa
kategoriju	kategorija	Ncfsa
A	a	Cc
i	i	Qo
B	b	Ncfpn
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
.	.	Z

OML	omi	Agpnsny
ograničenje	ograničenje	Ncnsn
će	htjeti	Var3s
se	sebe	Px--sa
primjenjivati	primjenjivati	Vmn
kada	kada	Cs
imatelj	imatelj	Ncmsn
dozvole	dozvola	Ncfsg
vojni	vojni	Agpmsny
letač	letač	Ncmsn
u	u	Sl
potpunosti	potpunost	Ncfsl
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
zahtjevima	zahtjev	Ncmpd
za	za	Sa
kategoriju	kategorija	Ncfsa
A	a	Cc
i	i	Qo
B	b	Ncfpn
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
smatra	smatrati	Vmr3s
da	da	Cs
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
unutar	unutar	Sg
prihvatljivog	prihvatljiv	Agpmsgy
rizika	rizik	Ncmsg
za	za	Sa
letenje	letenje	Ncnsa
.	.	Z

Ovo	ovaj	Pd-nsn
ograničenje	ograničenje	Ncnsn
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
kontekstu	kontekst	Ncmsl
višepilotne	višepilotan	Agpfsgy
okoline	okolina	Ncfsg
.	.	Z

Drugi	drugi	Mlomsn
pilot	pilot	Ncmsn
u	u	Sl
višečlanoj	višečlan	Agpfsly
posadi	posada	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
osposobljen	osposobiti	Appmsnn
za	za	Sa
taj	taj	Pd-msan
tip	tip	Ncmsan
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
stariji	star	Agcmpny
od	od	Sg
50	50	Mdc
godina	godina	Ncfpg
,	,	Z
te	te	Cc
ne	ne	Qz
smije	smjeti	Vmr3s
imati	imati	Vmn
OML	omi	Agpnsay
ograničenje	ograničenje	Ncnsa
.	.	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
6	6	Mdc

OCL	OCL	Npmsn
–	–	Z
(	(	Z
VALID	VALID	Npmsn
ONLY	ONLY	Npmsn
AS	AS	Npmsn
CO-PILOT	CO-PILOT	Npmsn
)	)	Z

(	(	Z
VRIJEDI	vrijediti	Vmr3s
SAMO	samo	Rgp
KAO	kao	Cs
KOPILOT	kopilot	Ncmsn
)	)	Z

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Ovo	ovaj	Pd-nsn
ograničenje	ograničenje	Ncnsn
je	biti	Var3s
proširenje	proširenje	Ncnsn
OML	OML	Pi-nsg
ograničenja	ograničenje	Ncnsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
kada	kada	Cs
osoba	osoba	Ncfsn
zbog	zbog	Sg
zdravstvenog	zdravstven	Agpmsgy
razloga	razlog	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
zapovjednik	zapovjednik	Ncmsn
,	,	Z
ali	ali	Cc
može	moći	Vmr3s
biti	biti	Van
kopilot	kopilot	Ncmsn
.	.	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
7	7	Mdc

UVJET	uvjet	Ncmsn
ZA	za	Sa
