uvjete	uvjet	Ncmpa
,	,	Z
način	način	Ncmsan
i	i	Cc
postupak	postupak	Ncmsan
raspolaganja	raspolaganje	Ncnsg
tražbinama	tražbina	Agpfsgy
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
s	sa	Sg
naslova	naslov	Ncmsg
duga	dug	Ncmsg
po	po	Sl
kreditima	kredit	Ncmpl
i	i	Cc
protestiranim	protestirati	Appfply
državnim	državni	Agpnply
jamstvima	jamstvo	Ncnpl
u	u	Sl
predstečajnim	predstečajni	Agpmply
i	i	Cc
stečajnim	stečajni	Agpmply
postupcima	postupak	Ncmpl
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

IV	IV	Mrc
.	.	Z

POTICAJNE	poticajan	Agpfpay
MJERE	mjera	Ncfpa
U	u	Sl
GOSPODARSTVU	gospodarstvo	Ncnsl

Članak	članak	Ncmsn
36.	36.	Mdo

Za	za	Sa
temeljni	temeljan	Agpmsayn
kapital	kapital	Ncmsan
,	,	Z
udio	udjel	Ncmsn
u	u	Sl
kreditima	kredit	Ncmpl
i	i	Cc
jamstveni	jamstveni	Agpmsayn
fond	fond	Ncmsan
Hrvatske	hrvatski	Agpfsgy
banke	banka	Ncfsg
za	za	Sa
obnovu	obnova	Ncfsa
i	i	Cc
razvitak	razvitak	Ncmsan
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
osigurava	osiguravati	Vmr3s
se	sebe	Px--sa
53.000.000,00	53.000.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Članak	članak	Ncmsn
37.	37.	Mdo

Nadležno	nadležan	Agpnsny
ministarstvo	ministarstvo	Ncnsn
može	moći	Vmr3s
obustaviti	obustaviti	Vmn
državne	državni	Agpfpay
potpore	potpora	Ncfpa
korisnicima	korisnik	Ncmpd
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
nenamjensko	nenamjenski	Agpnsny
korištenje	korištenje	Ncnsn
sredstava	sredstvo	Ncnpg
,	,	Z
ako	ako	Cs
naknadnom	naknadan	Agpfsiy
provjerom	provjera	Ncfsi
utvrdi	utvrditi	Vmr3s
drukčije	drugačiji	Agpnsay
stanje	stanje	Ncnsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
ono	onaj	Pd-nsa
koje	koji	Pi-nsn
je	biti	Var3s
bilo	biti	Vap-sn
osnova	osnova	Ncfsn
za	za	Sa
odobrenje	odobrenje	Ncnsa
potpore	potpora	Ncfsg
te	te	Cc
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
korisnici	korisnik	Ncmpn
nisu	biti	Var3p
ispunjavali	ispunjavati	Vmp-pm
obveze	obveza	Ncfpa
prema	prema	Sl
državi	država	Ncfsl
za	za	Sa
proteklu	protekao	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Članak	članak	Ncmsn
38.	38.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
čiji	čiji	Pi-mpn
su	biti	Var3p
rezidenti	rezident	Ncmpn
ostvarili	ostvariti	Vmp-pm
pravo	pravo	Ncnsa
na	na	Sa
uvećani	uvećati	Agpmsayn
osobni	osoban	Agpmsayn
odbitak	odbitak	Ncmsan
temeljem	temelj	Ncmsi
članka	članak	Ncmsg
54.	54.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
177/04.	177/04.	Mds
,	,	Z
73/08.	73/08.	Mds
,	,	Z
80/10.	80/10.	Mds
,	,	Z
114/11.	114/11.	Mds
,	,	Z
22/12.	22/12.	Mds
,	,	Z
144/12.	144/12.	Mds
,	,	Z
43/13.	43/13.	Mds
,	,	Z
120/13.	120/13.	Mds
,	,	Z
125/13.	125/13.	Mds
,	,	Z
148/13.	148/13.	Mds
,	,	Z
83/14.	83/14.	Mdo
,	,	Z
143/14.	143/14.	Mds
i	i	Cc
136/15.	136/15.	Mdo
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
,	,	Z
Odlukom	odluka	Ncfsi
o	o	Sl
razvrstavanju	razvrstavanje	Ncnsl
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpa
prema	prema	Sl
stupnju	stupanj	Ncmsl
razvijenosti	razvijenost	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
158/13.	158/13.	Mds
)	)	Z
,	,	Z
razvrstane	razvrstati	Appfpny
u	u	Sl
I.	ia	Ncfsl
i	i	Cc
II	ii	Ncfsl
.	.	Z
skupinu	skupina	Ncfsa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
pomoć	pomoć	Ncfsn
iz	iz	Sg
razdjela	razdjel	Ncmsg
025	025	Mdc
–	–	Z
MINISTARSTVO	ministarstvo	Ncnsn
FINANCIJA	financije	Ncfpg
u	u	Sl
visini	visina	Ncfsl
izvršenog	izvršen	Agpmsgy
povrata	povrat	Ncmsg
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
po	po	Sl
godišnjoj	godišnji	Agpfsly
prijavi	prijava	Ncfsl
obveznicima	obveznik	Ncmpi
na	na	Sl
njihovu	njihov	Ps3nsl
području	područje	Ncnsl
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
status	status	Ncmsn
potpomognutog	potpomoći	Agpnsgy
područja	područje	Ncnsg
stekle	steći	Vmp-pf
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
pomoć	pomoć	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
isplaćivati	isplaćivati	Vmn
u	u	Sl
visini	visina	Ncfsl
izvršenog	izvršen	Agpmsgy
povrata	povrat	Ncmsg
