uključujući	uključivati	Rr
i	i	Cc
nastalu	nastao	Agpfsay
materijalnu	materijalan	Agpfsay
štetu	šteta	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
propisanom	propisati	Agpfsiy
stavkom	stavka	Ncfsi
5.	5.	Mdo
točkama	točka	Ncfpi
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

Prihvatilište	prihvatilište	Ncnsn
za	za	Sa
tražitelje	tražitelj	Ncmpa

Članak	članak	Ncmsn
56.	56.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prihvatilište	prihvatilište	Ncnsn
je	biti	Var3s
ustrojstvena	ustrojstven	Agpfsny
jedinica	jedinica	Ncfsn
Ministarstva	ministarstvo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
UNHCR	UNHCR	Npmsn
,	,	Z
Hrvatski	hrvatski	Agpmsny
crveni	crven	Agpmsny
križ	križ	Ncmsn
i	i	Cc
druge	drugi	Mlofpn
organizacije	organizacija	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
bave	baviti	Vmr3p
zaštitom	zaštita	Sg
prava	prav	Agpfsny
izbjeglica	izbjeglica	Ncfsn
ili	ili	Cc
humanitarnim	humanitaran	Agpmsiy
radom	rad	Ncmsi
mogu	moći	Ncfpg
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
provoditi	provoditi	Vmn
odgojne	odgojni	Agpmpay
,	,	Z
obrazovne	obrazovni	Agpmpay
i	i	Cc
slične	sličan	Agpmpay
programe	program	Ncmpa
te	te	Cc
pružati	pružati	Vmn
druge	drugi	Mlompa
oblike	oblik	Ncmpa
pomoći	pomoć	Ncfsg
,	,	Z
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
Ministarstva	ministarstvo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tražiteljima	tražitelj	Ncmpl
smještenim	smjestiti	Appmply
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
osigurat	osigurati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
materijalni	materijalan	Agpmpny
uvjeti	uvjet	Ncmpn
prihvata	prihvat	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prilikom	prilikom	Sg
smještaja	smještaj	Ncmsg
tražitelja	tražitelj	Ncmpg
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
posebno	posebno	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
spolu	spol	Ncmsl
,	,	Z
dobi	doba	Ncfsl
,	,	Z
položaju	položaj	Ncmsl
ranjivih	ranjiv	Agpfpgy
skupina	skupina	Ncfpg
,	,	Z
tražiteljima	tražitelj	Ncmpi
s	sa	Si
posebnim	poseban	Agpfpiy
prihvatnim	prihvatni	Agpfpiy
potrebama	potreba	Ncfpi
te	te	Cc
cjelovitosti	cjelovitost	Ncfsl
obitelji	obitelj	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pravila	pravilo	Ncnpn
boravka	boravak	Ncmsg
u	u	Sl
Prihvatilištu	prihvatilište	Ncnsl
određuju	određivati	Vmr3p
se	sebe	Px--sa
Kućnim	kućni	Agpmsiy
redom	red	Ncmsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
može	moći	Vmr3s
izbivati	izbivati	Vmn
izvan	izvan	Sg
Prihvatilišta	prihvatilište	Ncnsg
duže	dugo	Rgc
od	od	Sg
24	24	Mdc
sata	sat	Ncmsg
uz	uz	Sa
prethodno	prethodan	Agpnsay
odobrenje	odobrenje	Ncnsa
Prihvatilišta	prihvatilište	Ncnsg
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
individualne	individualan	Agpfsgy
procjene	procjena	Ncfsg
uskrati	uskratiti	Vmr3s
odobrenje	odobrenje	Ncnsa
,	,	Z
Prihvatilište	prihvatilište	Ncnsn
o	o	Sl
tome	taj	Pd-nsl
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Protiv	protiv	Sg
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
