ciljevi	cilj	Ncmpn
i	i	Cc
svrha	svrha	Ncfsn
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
korisnika	korisnik	Ncmpg
nije	biti	Var3s
u	u	Sl
mogućnosti	mogućnost	Ncfsl
prisustvovati	prisustvovati	Vmn
provedbi	provedba	Ncfsl
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
ima	imati	Vmr3s
obvezu	obveza	Ncfsa
pismeno	pismeno	Rgp
ovlastiti	ovlastiti	Vmn
drugu	drugi	Mlofsa
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
mora	morati	Vmr3s
prisustvovati	prisustvovati	Vmn
kontroli	kontrola	Ncfsd
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
će	htjeti	Var3s
imati	imati	Vmn
pravo	pravo	Ncnsa
davanja	davanje	Ncnsg
podataka	podatak	Ncmpg
i	i	Cc
sudjelovanja	sudjelovanje	Ncnsg
u	u	Sl
kontroli	kontrola	Ncfsl
za	za	Sa
vrijeme	vrijeme	Ncnsa
njene	njen	Ps3fsg
odsutnosti	odsutnost	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ovlaštene	ovlašten	Agpfpny
osobe	osoba	Ncfpn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužne	dužan	Agpfpny
su	biti	Var3p
prilikom	prilikom	Sg
kontrole	kontrola	Ncfsg
predočiti	predočiti	Vmn
identifikacijski	identifikacijski	Agpmsayn
dokument	dokument	Ncmsan
.	.	Z

VIII	viii	Mrc
.	.	Z

POVRAT	povrat	Ncmsn
SREDSTAVA	sredstvo	Ncnpg

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
od	od	Sg
korisnika	korisnik	Ncmpg
zahtijevati	zahtijevati	Vmn
povrat	povrat	Ncmsan
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

a	a	Cc
)	)	Z
administrativne	administrativan	Agpfpny
pogreške	pogreška	Ncfpn
/	/	Z
pogrešne	pogrešan	Agpfsgy
isplate	isplata	Ncfsg
;	;	Z

b	b	I
)	)	Z
nepravilnosti	nepravilnost	Ncfsg
utvrđene	utvrditi	Appfpny
nakon	nakon	Sg
isplate	isplata	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđene	utvrditi	Agpfsgy
administrativne	administrativan	Agpfsgy
pogreške	pogreška	Ncfsg
/	/	Z
pogrešne	pogrešan	Agpfsgy
isplate	isplata	Ncfsg
,	,	Z
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
preplate	preplata	Ncfsg
/	/	Z
krive	kriv	Agpfpay
isplate	isplata	Ncfpa
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-fsg
druge	drugi	Mlofsg
administrativne	administrativan	Agpfpay
greške	greška	Ncfpa
učinjene	učiniti	Appfpay
od	od	Sg
strane	strana	Ncfsg
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
Agencije	agencija	Ncfpn
za	za	Sa
plaćanja	plaćanje	Ncnpa
prilikom	prilikom	Sg
provedbe	provedba	Ncfsg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Natječaja	natječaj	Ncmsg
,	,	Z
kojom	koji	Pi-fsi
će	htjeti	Var3s
se	sebe	Px--sa
od	od	Sg
korisnika	korisnik	Ncmpg
zatražiti	zatražiti	Vmn
povrat	povrat	Ncmsan
tog	taj	Pd-msg
iznosa	iznos	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
vratiti	vratiti	Vmn
