ovlaštena	ovlastiti	Appfsny
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
trideset	trideset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
prestanku	prestanak	Ncmsl
djelovanja	djelovanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prijava	prijava	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
u	u	Sa
dva	dva	Mlc
istovjetna	istovjetan	Agpmsgn
primjerka	primjerak	Ncmsg
na	na	Sl
obrascu	obrazac	Ncmsl
broj	broj	Ncmsn
7.	7.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
se	sebe	Px--sa
popunjava	popunjavati	Vmr3s
uredno	uredan	Agpnsny
i	i	Cc
čitko	čitak	Agpnsny
,	,	Z
a	a	Cc
upisani	upisati	Agpmpny
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
istovjetni	istovjetan	Agpmpny
odredbama	odredba	Ncfpd
statuta	statut	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
odlukama	odluka	Ncfpl
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Prijavi	prijaviti	Vmm2s
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
:	:	Z

1	1	Mdc
)	)	Z
odluka	odluka	Ncfsn
o	o	Sl
prestanku	prestanak	Ncmsl
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
,	,	Z

2	2	Mdc
)	)	Z
zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Prilozi	prilog	Ncmpn
uz	uz	Sa
prijavu	prijava	Ncfsa
podnose	podnositi	Vmr3p
se	sebe	Px--sa
u	u	Sl
izvorniku	izvornik	Ncmsl
ili	ili	Cc
ovjerenom	ovjeriti	Agpmsly
prijepisu	prijepis	Ncmsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
iz	iz	Sg
čijeg	čiji	Pi-nsg
izvješća	izvješće	Ncnsg
o	o	Sl
održavanju	održavanje	Ncnsl
sjednice	sjednica	Ncfsg
najvišeg	visok	Agpnsgy
tijela	tijelo	Ncnsg
udruge	udruga	Ncfsg
i	i	Cc
podataka	podatak	Ncmpg
o	o	Sl
ukupnom	ukupan	Agpmsly
broju	broj	Ncmsl
članova	član	Ncmpg
udruge	udruga	Ncfsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
se	sebe	Px--sa
broj	broj	Ncmsn
članova	član	Ncmpg
udruge	udruga	Ncfsg
smanjio	smanjiti	Vmp-sm
ispod	ispod	Sg
broja	broj	Ncmsg
članova	član	Ncmpg
zakonom	zakon	Ncmsi
određenog	određen	Agpmsgy
za	za	Sa
utemeljenje	utemeljenje	Ncnsa
udruge	udruga	Ncfsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
postupa	postupati	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
o	o	Sl
upisu	upis	Ncmsl
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
koje	koji	Pi-nsn
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
,	,	Z
registarski	registarski	Agpmsny
broj	broj	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
sjedište	sjedište	Ncnsn
,	,	Z
datum	datum	Ncmsan
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
sudskom	sudski	Agpfsiy
odlukom	odluka	Ncfsi
,	,	Z
sud	sud	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
pravomoćnu	pravomoćan	Agpfsay
sudsku	sudski	Agpfsay
odluku	odluka	Ncfsa
,	,	Z
nakon	nakon	Sg
čega	što	Pi3n-g
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
o	o	Sl
brisanju	brisanje	Ncnsl
udruge	udruga	Ncfsg
iz	iz	Sg
registra	registar	Ncmsg
,	,	Z
koje	koji	Pi-nsn
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
,	,	Z
registarski	registarski	Agpmsny
broj	broj	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
sjedište	sjedište	Ncnsn
,	,	Z
oznaku	oznaka	Ncfsa
suda	sud	Ncmsg
,	,	Z
datum	datum	Ncmsn
donošenja	donošenje	Ncnsg
i	i	Cc
oznaku	oznaka	Ncfsa
pravomoćne	pravomoćan	Agpfsgy
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
.	.	Z

5.	5.	Mdo
ZBIRKA	zbirka	Ncfsn
ISPRAVA	isprava	Ncfsn

Vođenje	vođenje	Ncnsn
zbirke	zbirka	Ncfsg
isprava	isprava	Ncfpg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zbirka	zbirka	Ncfsn
isprava	isprava	Ncfpg
vodi	voditi	Vmr3s
se	sebe	Px--sa
uz	uz	Sa
registar	registar	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zbirka	zbirka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
za	za	Sa
svaku	svaki	Pi-fsa
udrugu	udruga	Ncfsa
upisanu	upisati	Appfsay
u	u	Sa
registar	registar	Ncmsan
i	i	Cc
čuva	čuvati	Vmr3s
u	u	Sl
posebnom	poseban	Agpmsly
omotu	omot	Ncmsl
na	na	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
u	u	Sl
gornjem	gornji	Agpmsly
desnom	desni	Agpmsly
kutu	kut	Ncmsl
upisuje	upisivati	Vmr3s
registarski	registarski	Agpmsny
broj	broj	Ncmsn
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
zbirku	zbirka	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
