domeni	domena	Ncfsd
radnog	radni	Agpnsgy
prava	pravo	Ncnsg
i	i	Cc
odnosa	odnos	Ncmsg
poslodavca	poslodavac	Ncmsg
i	i	Cc
radnika	radnik	Ncmpg
te	te	Cc
da	da	Cs
se	sebe	Px--sa
na	na	Sa
taj	taj	Pd-msan
odnos	odnos	Ncmsan
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
ZZTN	ZZTN	Npmsn
.	.	Z

Gemicro	Gemicro	Npmsn
ima	imati	Vmr3s
isključivo	isključiv	Agpnsay
pravo	pravo	Ncnsa
distribucije	distribucija	Ncfsg
[	[	Z
…	…	Z
]	]	Z
na	na	Sl
teritoriju	teritorij	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
Bosne	Bosna	Npfsg
i	i	Cc
Hercegovine	Hercegovina	Npfsg
te	te	Cc
je	biti	Var3s
uobičajeno	uobičajiti	Appnsny
da	da	Cs
licencu	licenca	Ncfsa
i	i	Cc
program	program	Ncmsan
održava	održavati	Vmr3s
poduzetnik	poduzetnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
prodao	prodati	Vmp-sm
program	program	Ncmsan
.	.	Z

Prema	prema	Sl
podacima	podatak	Ncmpl
HANFE	HANFE	Npfsg
,	,	Z
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
je	biti	Var3s
registrirano	registrirati	Appnsny
23	23	Mdc
leasing	leasing	Ncmpg
društva	društvo	Ncnsg
od	od	Sg
kojih	koji	Pi-fpg
s	sa	Si
Gemicrom	Gemicr	Npmsi
surađuje	surađivati	Vmr3s
njih	oni	Pp3-pg
12	12	Mdc
,	,	Z
što	što	Pi3n-n
čini	činiti	Vmr3s
52,14	52,14	Mdc
%	%	Z
leasing	leasing	Ncmsn
tržišta	tržište	Ncnsg
,	,	Z
a	a	Cc
čija	čiji	Pi-fsn
aktiva	aktiva	Ncfsn
predstavlja	predstavljati	Vmr3s
51,30	51,30	Mdc
%	%	Z
ukupne	ukupan	Agpfpny
aktive	aktiva	Ncfpn
registriranih	registriran	Agpmpgy
leasing	leasing	Ncmpg
društava	društvo	Ncnpg
u	u	Sl
6.	6.	Mdo
mjesecu	mjesec	Ncmsl
