osoba	osoba	Ncfsn
ili	ili	Cc
srednja	srednji	Agpfsny
škola	škola	Ncfsn
u	u	Sl
kojoj	koji	Pi-fsl
kandidat	kandidat	Ncmsn
izrađuje	izrađivati	Vmr3s
praktični	praktičan	Agpmsny
uradak	uradak	Ncmsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Članak	članak	Ncmsn
13.	13.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Ako	ako	Cs
kandidat	kandidat	Ncmsn
uspješno	uspješno	Rgp
ne	ne	Qz
obavi	obaviti	Vmr3s
praktični	praktičan	Agpmsny
uradak	uradak	Ncmsn
,	,	Z
ne	ne	Qz
može	moći	Vmr3s
pristupiti	pristupiti	Vmn
stručno-teorijskom	stručno-teorijski	Agpmsdy
dijelu	dio	Ncmsd
ispita	ispit	Ncmsg
i	i	Cc
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
nije	biti	Var3s
položio	položiti	Vmp-sm
pomoćnički	pomoćnički	Agpmsayn
ispit	ispit	Ncmsan
.	.	Z

Prilikom	prilikom	Sg
ponovnog	ponovan	Agpnsgy
polaganja	polaganje	Ncnsg
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
kandidatu	kandidat	Ncmsd
se	sebe	Px--sa
zadaje	zadavati	Vmr3s
novi	nov	Agpmsny
uradak	uradak	Ncmsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
14.	14.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
6.	6.	Mdo
te	te	Cc
se	sebe	Px--sa
mijenja	mijenjati	Vmr3s
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
6	6	Mdc
)	)	Z
Usmenom	usmen	Agpmsly
dijelu	dio	Ncmsl
ispita	ispit	Ncmpg
pristupa	pristupati	Vmr3s
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
na	na	Sl
pisanom	pisan	Agpmsly
dijelu	dio	Ncmsl
ispita	ispit	Ncmsg
postigne	postići	Vmr3s
od	od	Sg
30	30	Mdc
%	%	Z
do	do	Sg
60	60	Mdc
%	%	Z
mogućih	moguć	Agpmpgy
bodova	bod	Ncmpg
.	.	Z

Usmeni	usmen	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
trajati	trajati	Vmn
duže	dugo	Rgc
od	od	Sg
120	120	Mdc
minuta	minuta	Ncfpg
,	,	Z
a	a	Cc
vremenski	vremenski	Agpmsny
period	period	Ncmsn
između	između	Sg
pisanog	pisan	Agpnsgy
i	i	Cc
usmenog	usmen	Agpmsgy
dijela	dio	Ncmsg
pomoćničkog	pomoćnički	Agpmsgy
ispita	ispit	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
najmanje	malo	Rgs
dva	dva	Mlc
dana	dan	Ncmsg
.	.	Z
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
15.	15.	Mdo
stavci	stavak	Ncmpn
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Članak	članak	Ncmsn
16.	16.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
mora	morati	Vmr3s
popravnom	popravni	Agpmsdy
ispitu	ispit	Ncmsd
pristupiti	pristupiti	Vmn
u	u	Sl
prvom	prvi	Mlomsl
sljedećem	sljedeći	Agpmsly
ispitnom	ispitan	Agpmsly
roku	rok	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Popravni	popravni	Agpmsny
ispit	ispit	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
polagati	polagati	Vmn
najviše	mnogo	Rgs
dva	dva	Mlc
puta	puta	Rgp
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
16.	16.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
16.	16.	Mdo
a	a	Cc
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Uspjeh	uspjeh	Ncmsn
kandidata	kandidat	Ncmpg
na	na	Sl
pomoćničkom	pomoćnički	Agpmsly
ispitu	ispit	Ncmsl
