Zrno	zrno	Ncnsn
Zdenka	Zdenk	Npmsg
,	,	Z
M.	M.	Npfsn
Gavazzija	Gavazzija	Npfsn
21	21	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-II-3785	U-II-3785	X
/	/	Z
2014	2014	Mdc
–	–	Z
Kušmić	Kušmić	Npfsn
Brigita	Brigita	Npfsn
,	,	Z
V.	V.	Mro
Gortana	Gortan	Npmsay
95	95	Mdc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3786	U-II-3786	X
/	/	Z
2014	2014	Mdc
–	–	Z
Stolnik	Stolnik	Npmsn
Franjo	Franjo	Npmsn
,	,	Z
Jadranska	jadranski	Agpfsny
obala	obala	Ncfsn
21	21	Mdc
,	,	Z
51557	51557	Mdc
Cres	Cres	Npmsn

U-II-3787	U-II-3787	X
/	/	Z
2014	2014	Mdc
–	–	Z
Mohorovičić	Mohorovičić	Npmsn
Barbara	Barbara	Npfsn
,	,	Z
Trg	trg	Ncmsn
Zagazinjine	Zagazinjina	Npfsg
4	4	Mdc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3788	U-II-3788	X
/	/	Z
2014	2014	Mdc
–	–	Z
Varšava	Varšava	Npfsn
Edina	Edina	Npfsn
,	,	Z
Cerera	Cerer	Npmsay
40	40	Mdc
,	,	Z
52210	52210	Mdc
Rovinj	Rovinj	Npmsan

U-II-3789	U-II-3789	X
/	/	Z
2014	2014	Mdc
–	–	Z
Siketić	Siketić	Npfsn
Anka	Anka	Npfsn
,	,	Z
Rudolfa	Rudolfa	Npfsn
Matza	Matza	Npfsn
4	4	Mdc
,	,	Z
10360	10360	Mdc
Sesvete	Sesveta	Npfpn

U-II-3790	U-II-3790	X
/	/	Z
2014	2014	Mdc
–	–	Z
Šegarić	Šegarić	Npfsn
Ljiljana	Ljiljana	Npfsn
,	,	Z
V.	V.	Mro
Gortana	Gortan	Npmsay
97	97	Mdc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3791	U-II-3791	X
/	/	Z
2014	2014	Mdc
–	–	Z
Živković	Živković	Npmsn
Ankica	Ankica	Npfsn
,	,	Z
Kaštel	Kaštel	Npmsn
41	41	Mdc
A	a	Cc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3792	U-II-3792	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vujnović	Vujnović	Npfsn
Katarina	Katarina	Npfsn
,	,	Z
Vujnovići	Vujnovići	Npfsn
2	2	Mdc
,	,	Z
Novo	nov	Agpnsny
Brdo	brdo	Ncnsn
,	,	Z
10413	10413	Mdc
Kravarsko	kravarski	Agpnsny

U-II-3793	U-II-3793	X
/	/	Z
2014	2014	Mdc
–	–	Z
Knezić	Knezić	Npfsn
Dragica	Dragica	Npfsn
,	,	Z
Velopin	Velopin	Npmsn
16	16	Mdc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3794	U-II-3794	X
/	/	Z
2014	2014	Mdc
–	–	Z
Žiška	žižak	Ncmsg
Đurđica	đurđica	Ncfsn
,	,	Z
Vanje	Vanja	Npmsg
Radauša	Radauš	Npmsg
6	6	Mdc
,	,	Z
34000	34000	Mdc
Požega	Požega	Npfsn

U-II-3795	U-II-3795	X
/	/	Z
2014	2014	Mdc
–	–	Z
Keršić	Keršić	Npfsn
Mirela	Mirela	Npfsn
,	,	Z
Sv.	Sv.	Y
Sidar	Sidar	Npmsn
32	32	Mdc
,	,	Z
51557	51557	Mdc
Cres	Cres	Npmsn

U-II-3796	U-II-3796	X
/	/	Z
2014	2014	Mdc
–	–	Z
Šibila	Šibil	Npmsg
Helena	Helen	Npmsg
,	,	Z
Redovka	Redovka	Npfsn
20	20	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-II-3797	U-II-3797	X
/	/	Z
2014	2014	Mdc
–	–	Z
Vukotić	Vukotić	Npmsn
Jasna	jasan	Agpfsny
,	,	Z
Pod	pod	Si
urom	ur	Ncmsi
8	8	Mdc
,	,	Z
51557	51557	Mdc
Cres	Cres	Npmsn

U-II-3798	U-II-3798	X
/	/	Z
2014	2014	Mdc
–	–	Z
Stolnik	stolnik	Ncmsn
Sandra	Sandra	Npfsn
,	,	Z
Jadranska	jadranski	Agpfsny
obala	obala	Ncfsn
21	21	Mdc
,	,	Z
51557	51557	Mdc
Cres	Cres	Npmsn

U-II-3799	U-II-3799	X
/	/	Z
2014	2014	Mdc
–	–	Z
Beraković	Berakovi	Npmsg
Roberta	Robert	Npmsg
,	,	Z
Kovačine	Kovačina	Npfsg
55	55	Mdc
,	,	Z
51557	51557	Mdc
Cres	Cres	Npmsn

U-II-3800	U-II-3800	X
/	/	Z
2014	2014	Mdc
–	–	Z
Blagonić	Blagonić	Npmsn
Jadranka	Jadranka	Npfsn
,	,	Z
Pagubice	Pagubice	Npfsn
2	2	Mdc
,	,	Z
52402	52402	Mdc
Cerovlje	Cerovlje	Npnsa

U-II-3801	U-II-3801	X
/	/	Z
2014	2014	Mdc
–	–	Z
Ferrari	Ferrari	Npmsn
Latus	Latus	Npmsn
Snježana	Snježana	Npfsn
,	,	Z
Creska	creski	Agpfsny
7	7	Mdc
,	,	Z
51550	51550	Mdc
Mali	mali	Agpmsny
Lošinj	Lošinj	Npmsn

U-II-3802	U-II-3802	X
/	/	Z
2014	2014	Mdc
–	–	Z
Matić	Matić	Npmsn
