stečena	steći	Appfsny
ili	ili	Cc
pseudofakija	pseudofakija	Ncfsn
na	na	Sl
jednom	jedan	Agpnsly
oku	oko	Ncnsl
ili	ili	Cc
na	na	Sa
oba	oba	Ncnsa
oka	oko	Ncnsg
(	(	Z
H27	H27	X
,	,	Z
Z96	Z96	Mds
.	.	Z
1	1	Mdc
)	)	Z
1.	1.	Mdo
Novootkriveni	novootkriven	Agpmsny
poremećaj	poremećaj	Ncmsn
leće	leća	Ncfsg
i	i	Cc
liječenje	liječenje	Ncnsa
u	u	Sl
tijeku	tijek	Ncmsl
O	o	Sl
#	a	Ncfsl
#	#	Z
#	#	Z
#	#	Z
#	#	Z
2.	2.	Mdo
Nakon	nakon	Sg
završetka	završetak	Ncmsg
liječenja	liječenje	Ncnsg
O	o	Sl
1,4	1,e	Ncnsl
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
41.	41.	Mdo
*	*	Z
Entropij	entropij	Ncmsn
(	(	Z
H02	H02	Mds
.	.	Z
0	0	Mdc
)	)	Z
ili	ili	Cc
ektropij	ektropij	Ncmsan
(	(	Z
H02	H02	Mds
.	.	Z
1	1	Mdc
)	)	Z
jednog	jedan	Mlcmsg
ili	ili	Cc
oba	oba	Ncmpg
oka	oko	Ncnsg
1.	1.	Mdo
Lakši	lak	Agcmsayn
oblik	oblik	Ncmsan
O	o	Sl
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Teži	težak	Agcmsayn
oblik	oblik	Ncmsan
O	o	Sl
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
42.	42.	Mdo

Lagoftalmus	Lagoftalmus	Qz
na	na	Sl
jednom	jedan	Agpnsly
oku	oko	Ncnsl
ili	ili	Cc
na	na	Sa
oba	oba	Ncnsa
oka	oko	Ncnsg
(	(	Z
H02	H02	Qr
.	.	Z
2	2	Mdc
)	)	Z
O	o	Sl
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
43.	43.	Mdo

Trajna	trajan	Agpfsny
