M.	m	Agpnsiy
iskorištavanjem	iskorištavanje	Ncnsi
službenog	služben	Agpmsgy
položaja	položaj	Ncmsg
posredovao	posredovati	Vmp-sm
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
obavi	obaviti	Vmr3s
službena	služben	Agpfsny
radnja	radnja	Ncfsn
koja	koji	Pi-fsn
bi	biti	Vaa3s
se	sebe	Px--sa
morala	morati	Vmp-sf
obaviti	obaviti	Vmn
te	te	Cc
za	za	Sa
posredovanje	posredovanje	Ncnsa
primio	primiti	Vmp-sm
imovinsku	imovinski	Agpfsay
korist	korist	Ncfsa
od	od	Sg
700,00	700,00	Mdc
kn	KN	Y
koja	koji	Pi-fsn
je	biti	Var3s
ogleda	ogled	Ncmsg
u	u	Sl
razlici	razlika	Ncfsl
prave	prav	Agpfsgy
cijene	cijena	Ncfsg
servisa	servis	Ncmsg
na	na	Sl
automobilu	automobil	Ncmsl
u	u	Sl
tvrtci	tvrtka	Ncfsl
‘	‘	Z
…	…	Z
’	’	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
onu	onaj	Pd-fsa
cijenu	cijena	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
platio	platiti	Vmp-sm
opt	opt	Ncmsan
.	.	Z

M.	M.	Y
M.	M.	Y

Međutim	međutim	Rgp
,	,	Z
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
utvrdio	utvrditi	Vmp-sm
je	biti	Var3s
da	da	Cs
opt	opt	Ncmsn
.	.	Z

M.	M.	Y
M.	M.	Y
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
poduzimao	poduzimati	Vmp-sm
inkriminiranu	inkriminiran	Agpfsay
radnju	radnja	Ncfsa
nije	biti	Var3s
znao	znati	Vmp-sm
niti	niti	Qo
očekivao	očekivati	Vmp-sm
bilo	bilo	Qo
kakav	kakav	Pi-msan
dar	dar	Ncmsan
ili	ili	Cc
imovinsku	imovinski	Agpfsay
korist	korist	Ncfsa
koju	koji	Pi-fsa
bi	biti	Vaa3s
eventualno	eventualno	Rgp
pribavio	pribaviti	Vmp-sm
iskorištavanjem	iskorištavanje	Ncnsi
svog	svoj	Px-msg
službenog	služben	Agpmsgy
položaja	položaj	Ncmsg
.	.	Z

A	a	Cc
kako	kako	Cs
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
protuzakonitog	protuzakonit	Agpnsgy
posredovanja	posredovanje	Ncnsg
iz	iz	Sg
čl.	čl.	Y
343.	343.	Mdo

KZ	KZ	Npmsn
/	/	Z
97	97	Mdc
može	moći	Vmr3s
počiniti	počiniti	Vmn
samo	samo	Rgp
onaj	onaj	Pd-msn
tko	tko	Pi3m-n
zahtijeva	zahtijevati	Vmr3s
ili	ili	Cc
primi	primiti	Vmr3s
dar	dar	Ncmsan
ili	ili	Cc
kakvu	kakav	Pi-fsa
drugu	drugi	Mlofsa
korist	korist	Ncfsa
ili	ili	Cc
tko	tko	Pi3m-n
primi	primiti	Vmr3s
ponudu	ponuda	Ncfsa
ili	ili	Cc
obećanje	obećanje	Ncnsa
dara	dar	Ncmpg
ili	ili	Cc
kakve	kakav	Pi-fsg
druge	drugi	Mlofsg
koristi	korist	Ncfsg
za	za	Sa
sebe	sebe	Px--sa
ili	ili	Cc
drugu	drugi	Mlofsa
fizičku	fizički	Agpfsay
ili	ili	Cc
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
da	da	Cs
iskorištavanjem	iskorištavanje	Ncnsi
svoga	svoj	Px-msg
službeničkog	službenički	Agpmsgy
ili	ili	Cc
društvenog	društven	Agpmsgy
