Odgovarajuće	odgovarajući	Agpmpay
podatke	podatak	Ncmpa
za	za	Sa
izračun	izračun	Ncmsan
i	i	Cc
rezultate	rezultat	Ncmpa
tog	taj	Pd-msg
izračuna	izračun	Ncmsg
dostavlja	dostavljati	Vmr3s
Agenciji	agencija	Ncfsd
kao	kao	Cs
nadzornom	nadzorni	Agpnsly
tijelu	tijelo	Ncnsl
grupe	grupa	Ncfsg
sudjelujuće	sudjelujući	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ili	ili	Cc
,	,	Z
ako	ako	Cs
grupa	grupa	Ncfsn
nije	biti	Var3s
predvođena	predvođen	Agpfsny
društvom	društvo	Ncnsi
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
osigurateljni	osigurateljni	Agpmsayn
holding	holding	Ncmsan
ili	ili	Cc
mješoviti	mješovit	Agpmsayn
financijski	financijski	Agpmsayn
holding	holding	Ncmsan
ili	ili	Cc
društvo	društvo	Ncnsn
u	u	Sl
grupi	grupa	Ncfsl
koje	koji	Pi-nsn
utvrdi	utvrditi	Vmr3s
Agencija	agencija	Ncfsn
kao	kao	Cs
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
grupe	grupa	Ncfsg
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpnply
nadzornim	nadzorni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
samom	sam	Agpfsiy
grupom	grupa	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
osigurateljni	osigurateljni	Agpmsayn
holding	holding	Ncmsan
i	i	Cc
mješoviti	mješovit	Agpmsny
financijski	financijski	Agpmsny
holding	holding	Ncmsn
kontinuirano	kontinuirano	Rgp
nadziru	nadzirati	Vmr3p
potrebni	potreban	Agpmsayn
solventni	solventan	Agpmsayn
kapital	kapital	Ncmsan
grupe	grupa	Ncfsg
.	.	Z

Ako	ako	Cs
profil	profil	Ncmsn
rizičnosti	rizičnost	Ncfsg
grupe	grupa	Ncfsg
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
posljednji	posljednji	Agpmsny
prijavljeni	prijaviti	Agpmsny
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
,	,	Z
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
grupe	grupa	Ncfsg
se	sebe	Px--sa
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
ponovo	ponovo	Rgp
izračunava	izračunavati	Vmr3s
te	te	Cc
se	sebe	Px--sa
Agenciji	agencija	Ncfsl
kao	kao	Cs
nadzornom	nadzorni	Agpnsly
tijelu	tijelo	Ncnsl
grupe	grupa	Ncfsg
podnosi	podnositi	Vmr3s
izvješće	izvješće	Ncnsa
o	o	Sl
rezultatu	rezultat	Ncmsl
tog	taj	Pd-msg
izračuna	izračun	Ncmsg
.	.	Z

Ako	ako	Cs
postoje	postojati	Vmr3p
