sastavnica	sastavnica	Ncfsn
prostornih	prostoran	Agpmpgy
planova	plan	Ncmpg
u	u	Sl
čijoj	čiji	Pi-fsl
je	biti	Var3s
izradi	izrada	Ncfsl
sudjelovao	sudjelovati	Vmp-sm
,	,	Z
ugovori	ugovoriti	Vmr3s
o	o	Sl
djelu	djelo	Ncnsl
ili	ili	Cc
drugi	drugi	Mlomsn
dokaz	dokaz	Ncmsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
svih	sav	Agpmpgy
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
može	moći	Vmr3s
umjesto	umjesto	Sg
dokaza	dokaz	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
predati	predati	Vmn
dokaz	dokaz	Ncmsn
da	da	Cs
ima	imati	Vmr3s
zaposlenog	zaposlen	Agpmsayn
još	još	Rgp
jednog	jedan	Agpnsgy
(	(	Z
drugog	drugi	Mlomsg
)	)	Z
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmsg
i	i	Cc
to	taj	Pd-nsn
:	:	Z

a	a	Cc
)	)	Z
rješenje	rješenje	Ncnsn
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
imenik	imenik	Ncmsan
ovlaštenih	ovlašten	Agpmpgy
arhitekata	arhitekt	Ncmpg
urbanista	urbanist	Ncmpg
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
zaposlen	zaposliti	Appmsnn
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc

b	b	Npmsn
)	)	Z
izvornik	izvornik	Ncmsan
potvrde	potvrda	Ncfsg
o	o	Sl
podacima	podatak	Ncmpl
evidentiranim	evidentirati	Appmply
u	u	Sl
matičnoj	matičan	Agpfsly
evidenciji	evidencija	Ncfsl
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
starije	staro	Rgc
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
za	za	Sa
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
zaposlen	zaposliti	Appmsnn
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
.	.	Z

Dokumentacija	dokumentacija	Ncfsn
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
izrade	izrada	Ncfsg
nacrta	nacrt	Ncmsg
urbanističkih	urbanistički	Agpmpgy
planova	plan	Ncmpg
uređenja	uređenje	Ncnsg

Članak	članak	Ncmsn
5.	5.	Mdo

Podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
suglasnosti	suglasnost	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
izrade	izrada	Ncfsg
nacrta	nacrt	Ncmsg
urbanističkih	urbanistički	Agpmpgy
planova	plan	Ncmpg
uređenja	uređenje	Ncnsg
predaje	predaja	Ncfsg
:	:	Z

1.	1.	Mdo
dokaz	dokaz	Ncmsn
da	da	Cs
je	biti	Var3s
registriran	registrirati	Appmsnn
za	za	Sa
obavljanje	obavljanje	Ncnsa
stručnih	stručan	Agpmpgy
poslova	posao	Ncmpg
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
(	(	Z
fotokopiju	fotokopija	Ncfsa
rješenja	rješenje	Ncnsg
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
ili	ili	Cc
izvoda	izvod	Ncmsg
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
)	)	Z
i	i	Cc

2.	2.	Mdo
dokaze	dokaz	Ncmpa
da	da	Cs
ima	imati	Vmr3s
zaposlenog	zaposlen	Agpmsayn
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
urbanista	urbanist	Ncmsg
i	i	Cc
to	taj	Pd-nsn
:	:	Z

a	a	Cc
)	)	Z
rješenje	rješenje	Ncnsn
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
imenik	imenik	Ncmsan
ovlaštenih	ovlašten	Agpmpgy
arhitekata	arhitekt	Ncmpg
urbanista	urbanist	Ncmpg
ovlaštenog	ovlašten	Agpmsgy
arhitekta	arhitekt	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
zaposlen	zaposliti	Appmsnn
kod	kod	Sg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc

b	b	Npmsn
)	)	Z
izvornik	izvornik	Ncmsan
potvrde	potvrda	Ncfsg
o	o	Sl
podacima	podatak	Ncmpl
evidentiranim	evidentirati	Appmply
u	u	Sl
matičnoj	matičan	Agpfsly
