načela	načeti	Vmp-sf
Stručnih	stručan	Agpfpgy
smjernica	smjernica	Ncfpg
za	za	Sa
izradu	izrada	Ncfsa
mišljenja	mišljenje	Ncnsg
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
i	i	Cc
psihologa	psiholog	Ncmpg
o	o	Sl
promjeni	promjena	Ncfsl
spola	spol	Ncmsg
i	i	Cc
životu	život	Ncmsl
u	u	Sl
drugom	drugi	Mlomsl
rodnom	rodan	Agpmsly
identitetu	identitet	Ncmsl

U	u	Sl
dijagnostici	dijagnostika	Ncfsl
i	i	Cc
tretmanu	tretman	Ncmsl
složenih	složen	Agpmpgy
i	i	Cc
rijetkih	rijedak	Agpnpgy
stanja	stanje	Ncnpg
kao	kao	Cs
što	što	Cs
je	biti	Var3s
rodna	rodan	Agpfsny
disforija	disforija	Ncfsn
temeljni	temeljan	Agpmsny
je	biti	Var3s
pristup	pristup	Ncmsn
konsenzus	konsenzus	Ncmsn
.	.	Z

Rodna	rodan	Agpfsny
disforija	disforija	Ncfsn
još	još	Rgp
uvijek	uvijek	Rgp
izaziva	izazivati	Vmr3s
kontroverze	kontroverza	Ncfpa
u	u	Sl
stručnoj	stručan	Agpfsly
javnosti	javnost	Ncfsl
.	.	Z

Iako	iako	Cs
je	biti	Var3s
neusklađenost	neusklađenost	Ncfsn
rodnog	rodan	Agpmsgy
identiteta	identitet	Ncmsg
sa	sa	Si
spolom	spol	Ncmsi
pripisanim	pripisati	Appmsiy
pri	pri	Sl
rođenju	rođenje	Ncnsl
poznata	poznat	Agpfsny
još	još	Rgp
iz	iz	Sg
pretpovijesnih	pretpovijestan	Agpnpgy
vremena	vrijeme	Ncnpg
,	,	Z
odnos	odnos	Ncmsn
društva	društvo	Ncnsg
je	biti	Var3s
određivao	određivati	Vmp-sm
stupanj	stupanj	Ncmsan
i	i	Cc
vrstu	vrsta	Ncfsa
patologizacije	patologizacija	Ncfsg
koja	koji	Pi-fsn
mu	on	Pp3msd
je	biti	Var3s
pridavana	pridavati	Appfsny
(	(	Z
Richards	Richards	Npmsn
i	i	Cc
sur	sur	Agpmsnn
.	.	Z
,	,	Z
2015	2015	Mdc
)	)	Z
.	.	Z

U	u	Sl
nekim	neki	Pi-mpl
kulturalnim	kulturalan	Agpmply
kontekstima	kontekst	Ncmpl
se	sebe	Px--sa
na	na	Sa
rodnu	rodan	Agpfsay
nenormativnost	nenormativnost	Ncfsa
gledalo	gledati	Vmp-sn
sa	sa	Si
štovanjem	štovanje	Ncnsi
,	,	Z
a	a	Cc
pojedinci	pojedinac	Ncmpn
su	biti	Var3p
zauzimali	zauzimati	Vmp-pm
