iznad	iznad	Sg
150	150	Mdc
g	g	Y
ili	ili	Cc
ispod	ispod	Sg
100	100	Mdc
g	g	Y
mase	masa	Ncfsg
obroka	obrok	Ncmpg
po	po	Sl
učeniku	učenik	Ncmsl
na	na	Sl
mjesečnoj	mjesečan	Agpfsly
razini	razina	Ncfsl
neće	htjeti	Var3s
se	sebe	Px--sa
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn
isporučenih	isporučiti	Agpfpgy
količina	količina	Ncfpg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
mjesečnoj	mjesečan	Agpfsly
razini	razina	Ncfsl
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Za	za	Sa
sve	sav	Agpmpay
prihvatljive	prihvatljiv	Agpmpay
troškove	trošak	Ncmpa
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
porez	porez	Ncmsan
na	na	Sa
dodanu	dodati	Appfsay
vrijednost	vrijednost	Ncfsa
(	(	Z
PDV	PDV	Npmsn
)	)	Z
isplatit	isplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
iz	iz	Sg
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplatit	isplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
iznosu	iznos	Ncmsl
do	do	Sg
:	:	Z

–	–	Z
90	90	Mdc
%	%	Z
iz	iz	Sg
Europskog	europski	Agpmsgy
poljoprivrednog	poljoprivredni	Agpmsgy
jamstvenog	jamstveni	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc

–	–	Z
10	10	Mdc
%	%	Z
iz	iz	Sg
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Europski	europski	Agpmsny
plakat	plakat	Ncmsn
Shema	shema	Ncfsn
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg

Članak	članak	Ncmsn
8.	8.	Mdo

Europski	europski	Agpmsny
plakat	plakat	Ncmsn
Shema	shema	Ncfsn
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
izrađuje	izrađivati	Vmr3s
tijelo	tijelo	Ncnsa
odobreno	odobren	Agpnsay
za	za	Sa
promociju	promocija	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Prilogom	prilog	Ncmsi
Delegirane	delegiran	Agpfsgy
Uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2016/247.	2016/247.	Mdo

Javni	javan	Agpmsny
poziv	poziv	Ncmsn

